350,select
2019-09-21 00:09:00,3
2019-09-21 00:12:00,3
2019-09-21 00:26:00,3
2019-09-21 00:41:00,3
2019-09-21 00:54:00,3
2019-09-21 01:00:00,1
2019-09-21 01:01:00,2
2019-09-21 01:10:00,2
2019-09-21 01:11:00,1
2019-09-21 01:26:00,3
2019-09-21 01:45:00,3
2019-09-21 02:11:00,1
2019-09-21 02:12:00,2
2019-09-21 02:22:00,3
2019-09-21 02:30:00,3
2019-09-21 02:32:00,3
2019-09-21 02:34:00,1
2019-09-21 02:35:00,2
2019-09-21 02:40:00,2
2019-09-21 02:41:00,1
2019-09-21 02:43:00,3
2019-09-21 02:53:00,3
2019-09-21 02:56:00,3
2019-09-21 02:59:00,3
2019-09-21 03:16:00,3
2019-09-21 03:19:00,3
2019-09-21 03:34:00,3
2019-09-21 03:37:00,3
2019-09-21 03:46:00,3
2019-09-21 04:23:00,3
2019-09-21 04:33:00,3
2019-09-21 04:48:00,1
2019-09-21 04:49:00,2
2019-09-21 04:55:00,3
2019-09-21 05:10:00,3
2019-09-21 05:15:00,2
2019-09-21 05:16:00,1
2019-09-21 05:25:00,1
2019-09-21 05:26:00,2
2019-09-21 05:32:00,3
2019-09-21 06:12:00,3
2019-09-21 06:22:00,1
2019-09-21 06:23:00,2
2019-09-21 06:29:00,3
2019-09-21 06:43:00,3
2019-09-21 07:06:00,3
2019-09-21 07:43:00,1
2019-09-21 07:45:00,1
2019-09-21 07:49:00,3
2019-09-21 08:02:00,3
2019-09-21 08:08:00,3
2019-09-21 08:19:00,3
2019-09-21 08:45:00,3
2019-09-21 08:54:00,3
2019-09-21 09:06:00,3
2019-09-21 09:17:00,1
2019-09-21 09:18:00,2
2019-09-21 09:44:00,3
2019-09-21 09:51:00,3
2019-09-21 10:01:00,3
2019-09-21 10:04:00,3
2019-09-21 10:36:00,1
2019-09-21 10:37:00,2
2019-09-21 10:43:00,1
2019-09-21 10:44:00,2
2019-09-21 10:48:00,3
2019-09-21 11:02:00,3
2019-09-21 11:08:00,2
2019-09-21 11:09:00,1
2019-09-21 11:15:00,3
2019-09-21 11:21:00,3
2019-09-21 11:28:00,3
2019-09-21 11:42:00,3
2019-09-21 11:55:00,3
2019-09-21 11:59:00,3
2019-09-21 12:34:00,3
2019-09-21 13:08:00,1
2019-09-21 13:09:00,2
2019-09-21 13:12:00,3
2019-09-21 13:16:00,3
2019-09-21 13:33:00,3
2019-09-21 13:36:00,3
2019-09-21 13:48:00,3
2019-09-21 14:00:00,1
2019-09-21 14:01:00,2
2019-09-21 14:18:00,3
2019-09-21 14:24:00,3
2019-09-21 14:31:00,1
2019-09-21 14:32:00,2
2019-09-21 14:34:00,3
2019-09-21 14:44:00,3
2019-09-21 15:08:00,1
2019-09-21 15:09:00,2
2019-09-21 15:28:00,1
2019-09-21 15:29:00,2
2019-09-21 15:41:00,3
2019-09-21 15:46:00,3
2019-09-21 16:06:00,3
2019-09-21 16:19:00,1
2019-09-21 16:20:00,2
2019-09-21 17:05:00,3
2019-09-21 17:08:00,3
2019-09-21 17:21:00,3
2019-09-21 17:24:00,3
2019-09-21 17:28:00,3
2019-09-21 17:40:00,3
2019-09-21 17:43:00,3
2019-09-21 18:37:00,2
2019-09-21 18:38:00,1
2019-09-21 18:41:00,3
2019-09-21 18:51:00,1
2019-09-21 18:52:00,2
2019-09-21 19:06:00,3
2019-09-21 19:22:00,3
2019-09-21 19:33:00,3
2019-09-21 19:35:00,3
2019-09-21 19:54:00,3
2019-09-21 20:10:00,1
2019-09-21 20:11:00,2
2019-09-21 20:17:00,3
2019-09-21 20:22:00,3
2019-09-21 20:34:00,3
2019-09-21 20:36:00,1
2019-09-21 20:37:00,2
2019-09-21 20:47:00,3
2019-09-21 20:55:00,3
2019-09-21 21:25:00,3
2019-09-21 21:31:00,1
2019-09-21 21:32:00,2
2019-09-21 21:43:00,3
2019-09-21 21:52:00,3
2019-09-21 21:56:00,3
2019-09-21 22:39:00,3
2019-09-21 22:46:00,3
2019-09-21 23:00:00,3
2019-09-21 23:09:00,3
2019-09-21 23:17:00,3
2019-09-21 23:35:00,3
2019-09-21 23:41:00,3
2019-09-21 23:49:00,6
2019-09-21 23:57:00,3
