45,"SELECT DISTINCT p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.extinction_u, p.extinction_g, p.extinction_r, p.extinction_i, p.extinction_z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #e-#))"
2019-01-24 06:58:00,1
2019-01-24 06:59:00,1
2019-01-24 07:17:00,1
2019-01-24 07:18:00,2
2019-01-24 07:20:00,1
2019-01-24 07:21:00,1
2019-01-24 07:23:00,1
2019-01-24 07:25:00,1
2019-01-24 07:27:00,1
2019-01-24 07:28:00,1
2019-01-24 07:29:00,1
2019-01-24 07:30:00,1
2019-01-24 07:32:00,1
2019-01-24 07:33:00,1
2019-01-24 07:34:00,1
2019-01-24 07:35:00,1
2019-01-24 07:36:00,1
2019-01-24 07:37:00,2
2019-01-24 07:38:00,1
2019-01-24 07:39:00,1
2019-01-24 07:40:00,1
2019-01-24 07:41:00,1
2019-01-24 07:43:00,1
2019-01-24 07:45:00,1
2019-01-24 07:47:00,1
2019-01-24 07:48:00,1
2019-01-24 07:50:00,1
2019-01-24 07:51:00,1
2019-01-24 07:53:00,1
2019-01-24 07:54:00,1
2019-01-24 07:55:00,1
2019-01-24 07:57:00,1
2019-01-24 07:58:00,1
2019-01-24 08:00:00,1
2019-01-24 08:01:00,1
2019-01-24 08:02:00,1
2019-01-24 08:03:00,1
2019-01-24 08:05:00,1
2019-01-24 08:06:00,1
2019-01-24 08:07:00,1
2019-01-24 08:08:00,1
2019-01-24 08:09:00,1
2019-01-24 08:11:00,1
