192120,select fieldid from field where cccol_u between # and # and skyframes_r between # and #
2019-01-24 13:28:00,167
2019-01-24 13:29:00,169
2019-01-24 13:32:00,114
2019-01-24 13:33:00,135
2019-01-24 13:34:00,198
2019-01-24 13:35:00,251
2019-01-24 13:36:00,296
2019-01-24 13:37:00,63
2019-01-24 13:38:00,226
2019-01-24 13:39:00,397
2019-01-24 13:40:00,380
2019-01-24 13:41:00,388
2019-01-24 13:42:00,326
2019-01-24 13:43:00,318
2019-01-24 13:44:00,335
2019-01-24 13:45:00,284
2019-01-24 13:46:00,358
2019-01-24 13:47:00,406
2019-01-24 13:48:00,222
2019-01-24 13:49:00,151
2019-01-24 13:50:00,286
2019-01-24 13:51:00,144
2019-01-24 13:52:00,73
2019-01-24 13:53:00,207
2019-01-24 13:54:00,199
2019-01-24 13:55:00,295
2019-01-24 13:56:00,435
2019-01-24 13:57:00,352
2019-01-24 13:58:00,349
2019-01-24 13:59:00,163
2019-01-24 14:00:00,78
2019-01-24 14:01:00,28
2019-01-24 14:02:00,14
2019-01-24 14:03:00,36
2019-01-24 14:04:00,70
2019-01-24 14:05:00,88
2019-01-24 14:06:00,353
2019-01-24 14:07:00,390
2019-01-24 14:08:00,350
2019-01-24 14:09:00,408
2019-01-24 14:10:00,400
2019-01-24 14:11:00,264
2019-01-24 14:12:00,305
2019-01-24 14:13:00,188
2019-01-24 14:14:00,222
2019-01-24 14:15:00,421
2019-01-24 14:16:00,334
2019-01-24 14:17:00,311
2019-01-24 14:18:00,263
2019-01-24 14:19:00,347
2019-01-24 14:20:00,422
2019-01-24 14:21:00,208
2019-01-24 14:22:00,388
2019-01-24 14:23:00,357
2019-01-24 14:24:00,302
2019-01-24 14:25:00,394
2019-01-24 14:26:00,416
2019-01-24 14:27:00,361
2019-01-24 14:28:00,389
2019-01-24 14:29:00,184
2019-01-24 14:30:00,254
2019-01-24 14:31:00,298
2019-01-24 14:32:00,401
2019-01-24 14:33:00,391
2019-01-24 14:34:00,353
2019-01-24 14:35:00,373
2019-01-24 14:36:00,383
2019-01-24 14:37:00,336
2019-01-24 14:38:00,355
2019-01-24 14:39:00,375
2019-01-24 14:40:00,393
2019-01-24 14:41:00,382
2019-01-24 14:42:00,335
2019-01-24 14:43:00,313
2019-01-24 14:44:00,385
2019-01-24 14:45:00,370
2019-01-24 14:46:00,341
2019-01-24 14:47:00,388
2019-01-24 14:48:00,307
2019-01-24 14:49:00,382
2019-01-24 14:50:00,330
2019-01-24 14:51:00,55
2019-01-24 14:52:00,360
2019-01-24 14:53:00,406
2019-01-24 14:54:00,366
2019-01-24 14:55:00,378
2019-01-24 14:56:00,362
2019-01-24 14:57:00,376
2019-01-24 14:58:00,398
2019-01-24 14:59:00,392
2019-01-24 15:00:00,387
2019-01-24 15:01:00,164
2019-01-24 15:02:00,295
2019-01-24 15:03:00,338
2019-01-24 15:04:00,284
2019-01-24 15:05:00,396
2019-01-24 15:06:00,157
2019-01-24 15:07:00,149
2019-01-24 15:08:00,149
2019-01-24 15:09:00,308
2019-01-24 15:10:00,389
2019-01-24 15:11:00,468
2019-01-24 15:12:00,417
2019-01-24 15:13:00,387
2019-01-24 15:14:00,343
2019-01-24 15:15:00,354
2019-01-24 15:16:00,376
2019-01-24 15:17:00,433
2019-01-24 15:18:00,426
2019-01-24 15:19:00,366
2019-01-24 15:20:00,297
2019-01-24 15:21:00,273
2019-01-24 15:22:00,331
2019-01-24 15:23:00,347
2019-01-24 15:24:00,341
2019-01-24 15:25:00,317
2019-01-24 15:26:00,320
2019-01-24 15:27:00,310
