23,"SELECT g.objID, g.ra, g.dec, q.z, q.zErr, q.class, q.subclass FROM GALAXY as g, SpecObjAll as q WHERE g.objID = q.bestObjID and (g.ra between # and #) and (g.dec between # and #)"
2019-12-23 01:40:00,1
2019-12-23 01:46:00,1
2019-12-23 02:10:00,2
2019-12-23 02:38:00,1
2019-12-23 15:04:00,1
2019-12-23 15:09:00,1
2019-12-23 15:12:00,1
2019-12-23 15:18:00,1
2019-12-23 15:20:00,1
2019-12-23 15:23:00,1
2019-12-23 15:25:00,1
2019-12-23 15:27:00,1
2019-12-23 15:30:00,1
2019-12-23 15:32:00,1
2019-12-23 15:35:00,1
2019-12-23 15:37:00,1
2019-12-23 15:42:00,1
2019-12-23 15:45:00,1
2019-12-23 15:47:00,1
2019-12-23 15:50:00,1
2019-12-23 15:52:00,1
2019-12-23 15:55:00,1
