186,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE"
2019-04-10 00:41:00,1
2019-04-10 01:24:00,1
2019-04-10 01:49:00,1
2019-04-10 01:56:00,1
2019-04-10 03:07:00,1
2019-04-10 03:08:00,1
2019-04-10 03:11:00,1
2019-04-10 03:12:00,1
2019-04-10 03:15:00,2
2019-04-10 03:33:00,2
2019-04-10 03:45:00,1
2019-04-10 03:48:00,1
2019-04-10 03:54:00,1
2019-04-10 04:01:00,1
2019-04-10 04:02:00,1
2019-04-10 04:03:00,1
2019-04-10 04:10:00,1
2019-04-10 04:11:00,1
2019-04-10 04:15:00,2
2019-04-10 04:25:00,2
2019-04-10 04:28:00,1
2019-04-10 04:29:00,1
2019-04-10 04:34:00,1
2019-04-10 05:50:00,1
2019-04-10 05:54:00,1
2019-04-10 06:07:00,1
2019-04-10 06:08:00,2
2019-04-10 06:15:00,1
2019-04-10 06:16:00,1
2019-04-10 06:20:00,1
2019-04-10 06:32:00,1
2019-04-10 06:36:00,1
2019-04-10 06:39:00,1
2019-04-10 06:43:00,1
2019-04-10 06:44:00,1
2019-04-10 06:47:00,1
2019-04-10 06:52:00,2
2019-04-10 06:55:00,2
2019-04-10 06:56:00,1
2019-04-10 06:58:00,1
2019-04-10 07:09:00,1
2019-04-10 07:12:00,1
2019-04-10 07:13:00,1
2019-04-10 07:16:00,1
2019-04-10 07:35:00,1
2019-04-10 07:36:00,1
2019-04-10 07:40:00,1
2019-04-10 07:44:00,1
2019-04-10 07:50:00,1
2019-04-10 07:55:00,1
2019-04-10 08:04:00,1
2019-04-10 08:06:00,1
2019-04-10 08:14:00,1
2019-04-10 08:17:00,1
2019-04-10 08:20:00,2
2019-04-10 08:25:00,1
2019-04-10 08:26:00,1
2019-04-10 08:29:00,2
2019-04-10 08:32:00,1
2019-04-10 08:34:00,1
2019-04-10 08:36:00,1
2019-04-10 08:37:00,2
2019-04-10 08:40:00,1
2019-04-10 08:41:00,1
2019-04-10 08:44:00,1
2019-04-10 08:45:00,1
2019-04-10 08:54:00,1
2019-04-10 08:55:00,1
2019-04-10 08:58:00,1
2019-04-10 09:17:00,2
2019-04-10 09:34:00,1
2019-04-10 09:38:00,1
2019-04-10 09:41:00,1
2019-04-10 09:46:00,1
2019-04-10 10:03:00,1
2019-04-10 10:04:00,1
2019-04-10 10:18:00,1
2019-04-10 10:20:00,1
2019-04-10 10:21:00,1
2019-04-10 10:22:00,1
2019-04-10 10:28:00,1
2019-04-10 10:29:00,1
2019-04-10 10:31:00,2
2019-04-10 10:32:00,1
2019-04-10 10:34:00,1
2019-04-10 10:35:00,1
2019-04-10 10:43:00,1
2019-04-10 10:46:00,1
2019-04-10 10:51:00,1
2019-04-10 10:52:00,1
2019-04-10 10:53:00,1
2019-04-10 10:54:00,1
2019-04-10 10:55:00,1
2019-04-10 11:01:00,1
2019-04-10 11:10:00,1
2019-04-10 11:12:00,1
2019-04-10 11:13:00,1
2019-04-10 11:14:00,1
2019-04-10 11:15:00,2
2019-04-10 11:16:00,1
2019-04-10 11:21:00,1
2019-04-10 11:28:00,2
2019-04-10 11:30:00,2
2019-04-10 11:31:00,1
2019-04-10 11:43:00,2
2019-04-10 11:47:00,1
2019-04-10 11:51:00,1
2019-04-10 12:02:00,1
2019-04-10 12:03:00,1
2019-04-10 12:33:00,1
2019-04-10 12:34:00,1
2019-04-10 12:35:00,2
2019-04-10 12:38:00,2
2019-04-10 12:40:00,2
2019-04-10 12:42:00,1
2019-04-10 13:00:00,1
2019-04-10 13:01:00,1
2019-04-10 13:04:00,1
2019-04-10 13:05:00,1
2019-04-10 13:10:00,1
2019-04-10 13:13:00,1
2019-04-10 13:32:00,1
2019-04-10 13:41:00,1
2019-04-10 13:46:00,1
2019-04-10 13:55:00,1
2019-04-10 13:57:00,1
2019-04-10 13:58:00,1
2019-04-10 17:50:00,1
2019-04-10 17:54:00,1
2019-04-10 17:55:00,1
2019-04-10 17:56:00,1
2019-04-10 17:59:00,1
2019-04-10 20:37:00,1
2019-04-10 20:41:00,1
2019-04-10 21:22:00,1
2019-04-10 21:32:00,1
2019-04-10 21:37:00,1
2019-04-10 22:19:00,1
2019-04-10 22:29:00,1
2019-04-10 22:30:00,1
2019-04-10 22:31:00,2
2019-04-10 22:33:00,1
2019-04-10 22:34:00,1
2019-04-10 22:38:00,1
2019-04-10 22:44:00,1
2019-04-10 22:45:00,1
2019-04-10 22:46:00,1
2019-04-10 23:04:00,1
2019-04-10 23:08:00,2
2019-04-10 23:09:00,1
2019-04-10 23:12:00,1
2019-04-10 23:16:00,1
2019-04-10 23:20:00,1
2019-04-10 23:21:00,1
2019-04-10 23:24:00,1
2019-04-10 23:26:00,1
2019-04-10 23:28:00,1
2019-04-10 23:29:00,1
2019-04-10 23:30:00,1
2019-04-10 23:31:00,1
2019-04-10 23:32:00,1
2019-04-10 23:33:00,1
2019-04-10 23:36:00,1
2019-04-10 23:37:00,1
2019-04-10 23:41:00,1
