116,"SELECT TOP # p.ra,p.dec,p.type,p.modelmag_g,p.modelmag_r,p.modelmag_i,p.run,p.rerun,p.camcol,p.field,p.obj,p.objid,dbo.fIAUFromEq(p.ra,p.dec) FROM Star as p WHERE p.modelmag_r># and p.modelmag_r<# and p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-02-18 03:03:00,1
2019-02-18 03:04:00,2
2019-02-18 03:05:00,3
2019-02-18 03:07:00,1
2019-02-18 03:08:00,1
2019-02-18 03:15:00,3
2019-02-18 03:17:00,6
2019-02-18 03:24:00,2
2019-02-18 03:25:00,3
2019-02-18 03:26:00,3
2019-02-18 03:27:00,2
2019-02-18 03:31:00,4
2019-02-18 03:33:00,3
2019-02-18 03:34:00,1
2019-02-18 03:35:00,3
2019-02-18 03:36:00,1
2019-02-18 03:37:00,2
2019-02-18 03:41:00,2
2019-02-18 03:42:00,2
2019-02-18 03:43:00,5
2019-02-18 03:44:00,4
2019-02-18 03:45:00,7
2019-02-18 03:46:00,3
2019-02-18 03:48:00,6
2019-02-18 03:51:00,1
2019-02-18 03:55:00,1
2019-02-18 03:56:00,2
2019-02-18 03:57:00,2
2019-02-18 03:58:00,3
2019-02-18 04:00:00,1
2019-02-18 04:10:00,1
2019-02-18 19:30:00,2
2019-02-18 19:31:00,3
2019-02-18 19:33:00,4
2019-02-18 19:35:00,9
2019-02-18 19:40:00,3
2019-02-18 20:26:00,1
2019-02-18 20:27:00,1
2019-02-18 20:28:00,6
2019-02-18 20:29:00,3
2019-02-18 21:31:00,1
2019-02-18 21:43:00,1
2019-02-18 21:44:00,1
