982,"SELECT DISTINCT p.objID, p.skyVersion, p.mode, p.clean, p.type, p.ra, p.dec, p.type_r, p.petroRad_r, p.deVRad_r, p.deVAB_r, p.deVPhi_r, p.expRad_r, p.expAB_r, p.expPhi_r, p.lnLExp_r, p.lnLDeV_r, psfMag_r, p.type_g, p.petroRad_g, p.deVRad_g, p.deVAB_g, p.deVPhi_g, p.expRad_g, p.expAB_g, p.expPhi_g, p.lnLExp_g, p.lnLDeV_g, psfMag_g FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-08 19:11:00,1
2019-05-08 19:12:00,2
2019-05-08 19:13:00,2
2019-05-08 19:14:00,2
2019-05-08 19:15:00,2
2019-05-08 19:16:00,2
2019-05-08 19:17:00,1
2019-05-08 19:18:00,2
2019-05-08 19:19:00,4
2019-05-08 19:20:00,4
2019-05-08 19:21:00,4
2019-05-08 19:22:00,4
2019-05-08 19:23:00,4
2019-05-08 19:24:00,4
2019-05-08 19:25:00,4
2019-05-08 19:26:00,4
2019-05-08 19:27:00,4
2019-05-08 19:28:00,5
2019-05-08 19:29:00,4
2019-05-08 19:30:00,3
2019-05-08 19:31:00,3
2019-05-08 19:32:00,2
2019-05-08 19:33:00,4
2019-05-08 19:34:00,5
2019-05-08 19:35:00,2
2019-05-08 19:36:00,1
2019-05-08 19:37:00,1
2019-05-08 19:38:00,3
2019-05-08 19:39:00,2
2019-05-08 19:40:00,3
2019-05-08 19:41:00,2
2019-05-08 19:42:00,1
2019-05-08 19:43:00,2
2019-05-08 19:44:00,2
2019-05-08 19:45:00,2
2019-05-08 19:46:00,2
2019-05-08 19:47:00,1
2019-05-08 19:48:00,2
2019-05-08 19:49:00,2
2019-05-08 19:50:00,2
2019-05-08 19:51:00,2
2019-05-08 19:52:00,2
2019-05-08 19:53:00,2
2019-05-08 19:54:00,2
2019-05-08 19:55:00,2
2019-05-08 19:56:00,2
2019-05-08 19:57:00,2
2019-05-08 19:58:00,1
2019-05-08 19:59:00,2
2019-05-08 20:00:00,2
2019-05-08 20:01:00,2
2019-05-08 20:02:00,5
2019-05-08 20:03:00,4
2019-05-08 20:04:00,4
