384,"select top # p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(#,#,#) n  where p.objId=n.objId"
2019-03-02 00:00:00,1
2019-03-02 01:00:00,1
2019-03-02 02:00:00,1
2019-03-02 02:21:00,1
2019-03-02 02:59:00,1
2019-03-02 04:00:00,1
2019-03-02 04:59:00,1
2019-03-02 05:45:00,18
2019-03-02 05:58:00,1
2019-03-02 06:58:00,1
2019-03-02 07:58:00,1
2019-03-02 08:15:00,3
2019-03-02 08:16:00,15
2019-03-02 08:32:00,9
2019-03-02 08:58:00,1
2019-03-02 09:59:00,1
2019-03-02 10:30:00,18
2019-03-02 10:59:00,1
2019-03-02 11:19:00,1
2019-03-02 11:34:00,122
2019-03-02 11:35:00,131
2019-03-02 11:58:00,1
2019-03-02 12:39:00,3
2019-03-02 12:40:00,6
2019-03-02 12:58:00,1
2019-03-02 13:24:00,3
2019-03-02 13:25:00,6
2019-03-02 13:42:00,1
2019-03-02 13:57:00,1
2019-03-02 14:58:00,1
2019-03-02 15:58:00,1
2019-03-02 16:58:00,1
2019-03-02 17:43:00,9
2019-03-02 17:58:00,1
2019-03-02 18:09:00,9
2019-03-02 18:44:00,9
2019-03-02 18:59:00,1
