94,"select count(*) as count from galaxy p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid"
2019-03-12 04:33:00,1
2019-03-12 04:34:00,1
2019-03-12 04:37:00,1
2019-03-12 04:38:00,4
2019-03-12 04:39:00,3
2019-03-12 04:40:00,1
2019-03-12 04:41:00,2
2019-03-12 04:42:00,4
2019-03-12 04:43:00,4
2019-03-12 04:44:00,3
2019-03-12 04:45:00,4
2019-03-12 04:46:00,2
2019-03-12 04:49:00,4
2019-03-12 04:50:00,3
2019-03-12 04:51:00,5
2019-03-12 04:52:00,3
2019-03-12 04:53:00,3
2019-03-12 04:54:00,4
2019-03-12 04:55:00,5
2019-03-12 04:56:00,5
2019-03-12 04:57:00,5
2019-03-12 04:58:00,2
2019-03-12 04:59:00,2
2019-03-12 05:00:00,2
2019-03-12 05:01:00,2
2019-03-12 05:02:00,3
2019-03-12 05:03:00,2
2019-03-12 05:04:00,1
2019-03-12 15:37:00,1
2019-03-12 17:30:00,1
2019-03-12 18:37:00,2
2019-03-12 18:38:00,1
2019-03-12 18:39:00,2
2019-03-12 18:40:00,1
2019-03-12 18:46:00,2
2019-03-12 18:47:00,1
2019-03-12 18:48:00,1
2019-03-12 18:49:00,1
