740,"select p.ra, p.dec, s.z, s.mjd, s.plate, s.fiberid FROM fGetNearbyObjEq (#, #, #) n, PhotoObjAll p, SpecObjAll s WHERE n.objID = p.objID and p.objID = s.bestobjID"
2019-08-25 01:16:00,1
2019-08-25 01:17:00,10
2019-08-25 01:18:00,22
2019-08-25 01:19:00,23
2019-08-25 01:20:00,17
2019-08-25 01:21:00,20
2019-08-25 01:22:00,24
2019-08-25 01:23:00,22
2019-08-25 01:24:00,14
2019-08-25 01:29:00,5
2019-08-25 01:30:00,24
2019-08-25 01:31:00,24
2019-08-25 01:32:00,23
2019-08-25 01:33:00,24
2019-08-25 01:34:00,23
2019-08-25 01:35:00,23
2019-08-25 01:36:00,6
2019-08-25 01:38:00,5
2019-08-25 01:39:00,24
2019-08-25 01:40:00,24
2019-08-25 01:41:00,25
2019-08-25 01:42:00,26
2019-08-25 01:43:00,26
2019-08-25 01:44:00,22
2019-08-29 05:10:00,11
2019-08-29 05:19:00,12
2019-08-29 05:20:00,22
2019-08-29 05:21:00,21
2019-08-29 05:22:00,21
2019-08-29 05:23:00,23
2019-08-29 05:24:00,23
2019-08-29 05:25:00,13
2019-08-29 12:55:00,17
2019-08-29 12:56:00,24
2019-08-29 12:57:00,21
2019-08-29 12:58:00,23
2019-08-29 12:59:00,23
2019-08-29 13:00:00,22
2019-08-29 13:01:00,7
