29,"SELECT p.ra , p.dec , p.dered_u, p.dered_r , s.z FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.z BETWEEN # and # AND s.zWarning = # AND s.class = #"
2019-05-07 13:59:00,1
2019-05-07 14:01:00,1
2019-05-07 14:02:00,1
2019-05-07 14:03:00,1
2019-05-07 14:07:00,1
2019-05-07 14:08:00,1
2019-05-07 14:09:00,1
2019-05-07 14:10:00,1
2019-05-07 14:11:00,1
2019-05-07 14:13:00,1
2019-05-07 14:16:00,1
2019-05-07 14:17:00,1
2019-05-08 10:08:00,1
2019-05-08 10:11:00,1
2019-05-08 10:12:00,2
2019-05-08 10:13:00,1
2019-05-08 10:15:00,1
2019-05-08 10:16:00,1
2019-05-08 10:17:00,2
2019-05-08 10:18:00,1
2019-05-08 10:21:00,1
2019-05-08 10:22:00,1
2019-05-08 10:23:00,1
2019-05-08 10:25:00,1
2019-05-08 10:26:00,1
2019-05-08 10:27:00,1
2019-05-08 10:28:00,1
