10952,select fieldid from field where cccol_u between .# and .# and skyframes_r between # and #
2019-01-24 13:28:00,14
2019-01-24 13:29:00,10
2019-01-24 13:32:00,5
2019-01-24 13:33:00,11
2019-01-24 13:34:00,7
2019-01-24 13:35:00,3
2019-01-24 13:36:00,9
2019-01-24 13:37:00,5
2019-01-24 13:38:00,10
2019-01-24 13:39:00,1
2019-01-24 13:45:00,1
2019-01-24 13:48:00,140
2019-01-24 13:49:00,237
2019-01-24 13:50:00,70
2019-01-24 13:51:00,184
2019-01-24 13:52:00,230
2019-01-24 13:53:00,174
2019-01-24 13:54:00,138
2019-01-24 13:55:00,11
2019-01-24 13:56:00,3
2019-01-24 14:20:00,1
2019-01-24 14:33:00,22
2019-01-24 14:36:00,2
2019-01-24 14:37:00,3
2019-01-24 14:38:00,4
2019-01-24 14:42:00,2
2019-01-24 14:43:00,7
2019-01-24 14:44:00,42
2019-01-24 14:45:00,3
2019-01-24 14:52:00,5
2019-01-24 15:04:00,1
2019-01-24 15:12:00,12
2019-01-24 15:13:00,7
2019-01-24 15:14:00,6
2019-01-24 15:47:00,10
2019-01-24 15:48:00,4
2019-01-24 15:49:00,3
2019-01-24 16:07:00,13
2019-01-24 16:08:00,37
2019-01-24 16:09:00,57
2019-01-24 16:10:00,35
2019-01-24 16:11:00,70
2019-01-24 16:12:00,33
2019-01-24 16:13:00,28
2019-01-24 16:14:00,21
2019-01-24 16:15:00,2
2019-01-24 16:28:00,4
2019-01-24 16:29:00,21
2019-01-24 16:30:00,104
2019-01-24 16:31:00,24
2019-01-24 16:36:00,2
2019-01-24 16:42:00,4
2019-01-24 17:09:00,2
2019-01-24 17:10:00,13
2019-01-24 17:11:00,4
2019-01-24 17:12:00,2
2019-01-24 17:13:00,15
2019-01-24 17:14:00,7
2019-01-24 17:20:00,1
2019-01-24 17:23:00,65
2019-01-24 17:24:00,251
2019-01-24 17:25:00,158
2019-01-24 17:26:00,51
2019-01-24 17:27:00,204
2019-01-24 17:28:00,236
2019-01-24 17:29:00,154
2019-01-24 17:30:00,63
2019-01-24 17:31:00,9
2019-01-24 17:32:00,2
2019-01-24 17:49:00,2
2019-01-24 18:02:00,21
2019-01-24 18:03:00,3
2019-01-24 18:05:00,4
2019-01-24 18:06:00,3
2019-01-24 18:07:00,5
2019-01-24 18:12:00,7
2019-01-24 18:13:00,27
2019-01-24 18:14:00,14
2019-01-24 18:22:00,6
2019-01-24 18:34:00,1
2019-01-24 18:41:00,4
2019-01-24 18:42:00,6
