24,"SELECT EID, [Drive_faster_than_motorway_speed_limit_#], [Duration_of_heavy_DIY_#], [Duration_of_light_DIY_#], [Duration_of_moderate_activity_#], [Duration_of_moderate_physical_activity_pilot__#], [Duration_of_other_exercises_#], [Duration_of_strenuous_sports_#], [Duration_of_vigorous_activity_#], [Duration_of_vigorous_phys"
2019-04-15 13:24:00,1
2019-04-15 13:34:00,1
2019-04-16 08:56:00,1
2019-04-16 08:58:00,1
2019-04-16 10:12:00,1
2019-04-16 10:14:00,1
2019-04-16 10:17:00,1
2019-04-16 10:34:00,1
2019-04-16 10:35:00,1
2019-04-17 11:26:00,1
2019-04-17 11:27:00,1
2019-04-23 09:44:00,1
2019-04-23 10:47:00,1
2019-04-23 10:51:00,1
2019-04-24 09:48:00,1
2019-04-24 09:54:00,1
2019-04-24 13:19:00,1
2019-04-29 11:38:00,1
2019-04-30 11:43:00,1
2019-04-30 15:36:00,1
2019-05-01 09:25:00,1
2019-05-02 09:32:00,1
2019-05-02 10:33:00,1
2019-05-09 10:26:00,1
