76,"SELECT sp.ra, sp.dec, sp.z as redshift, sp.modelMag_g as g, sp.modelMagerr_g as err_g, sp.modelMag_i as i, sp.modelMagerr_i as err_i, gs.h_alpha_eqw, gs.oii_#_eqw FROM GalSpecLine AS gs JOIN SpecPhoto AS sp ON sp.specobjid = gs.specobjid JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS GN ON GN.specobjID = gs.specobjid JOIN Galaxy as gal ON gal.specobjId = gs.specobjid WHERE h_alpha_eqw between # and # and oii_#_eqw between # and # and sp.modelMag_g-sp.modelMag_i > # and sp.z between # and # and sp.modelMag_i-#*log1# (#E+#*sp.z) < # and gal.petroR9#_i/gal.petroR5#_i > #"
2019-01-25 19:35:00,1
2019-01-25 19:39:00,1
2019-01-25 19:46:00,2
2019-01-25 19:47:00,2
2019-01-25 23:46:00,1
2019-01-25 23:47:00,1
2019-01-25 23:48:00,3
2019-01-25 23:50:00,1
2019-01-25 23:52:00,1
2019-01-25 23:53:00,2
2019-01-26 00:04:00,1
2019-01-26 00:05:00,1
2019-01-26 00:06:00,3
2019-01-26 00:07:00,3
2019-01-26 00:08:00,5
2019-01-26 00:09:00,1
2019-01-31 11:55:00,1
2019-01-31 11:58:00,1
2019-01-31 12:00:00,1
2019-01-31 12:04:00,1
2019-01-31 12:06:00,1
2019-01-31 12:08:00,1
2019-01-31 12:21:00,1
2019-01-31 12:23:00,1
2019-01-31 12:24:00,2
2019-01-31 12:26:00,1
2019-01-31 12:27:00,1
2019-01-31 12:30:00,1
2019-01-31 12:31:00,1
2019-01-31 12:35:00,1
2019-01-31 12:36:00,1
2019-01-31 12:43:00,1
2019-01-31 12:44:00,1
2019-01-31 12:45:00,3
2019-01-31 12:46:00,4
2019-01-31 12:47:00,5
2019-02-04 18:04:00,1
2019-02-04 18:06:00,2
2019-02-04 18:08:00,1
2019-02-04 18:09:00,1
2019-02-04 19:37:00,1
2019-02-04 19:40:00,1
2019-02-04 19:55:00,1
2019-02-04 19:56:00,1
2019-02-04 20:00:00,1
2019-02-04 20:04:00,1
2019-02-04 20:07:00,1
2019-02-04 20:13:00,1
2019-02-04 23:07:00,1
2019-02-04 23:20:00,1
2019-02-04 23:24:00,1
2019-02-04 23:26:00,1
