91,SELECT Count (*)
2019-02-11 23:09:00,1
2019-02-11 23:14:00,1
2019-02-11 23:18:00,1
2019-02-11 23:19:00,1
2019-02-11 23:35:00,2
2019-02-11 23:44:00,1
2019-02-11 23:50:00,1
2019-02-11 23:51:00,1
2019-02-11 23:54:00,2
2019-02-11 23:56:00,1
2019-02-19 09:53:00,1
2019-02-19 09:56:00,1
2019-02-19 10:27:00,1
2019-03-08 11:15:00,1
2019-03-08 11:16:00,1
2019-03-08 11:17:00,1
2019-03-08 11:18:00,1
2019-03-08 11:19:00,1
2019-03-10 18:02:00,1
2019-03-28 16:58:00,1
2019-11-14 19:59:00,2
2019-11-14 20:00:00,2
2019-11-14 20:01:00,1
2019-11-14 20:02:00,2
2019-11-14 20:03:00,2
2019-11-14 20:04:00,1
2019-11-14 20:09:00,3
2019-11-14 20:10:00,2
2019-11-14 20:12:00,3
2019-11-14 20:13:00,3
2019-11-14 20:14:00,2
2019-11-14 20:24:00,1
2019-11-14 20:25:00,3
2019-11-14 20:26:00,2
2019-11-14 20:27:00,3
2019-11-14 20:28:00,1
2019-11-14 20:32:00,2
2019-11-14 20:33:00,3
2019-11-14 20:34:00,3
2019-11-14 20:35:00,2
2019-11-14 20:38:00,1
2019-11-14 20:39:00,3
2019-11-14 20:40:00,2
2019-11-14 20:41:00,3
2019-11-14 20:42:00,1
2019-11-14 20:44:00,2
2019-11-14 20:45:00,2
2019-11-14 20:47:00,1
2019-11-14 20:50:00,1
2019-11-14 20:51:00,3
2019-11-14 20:52:00,2
2019-11-14 20:54:00,1
2019-11-14 20:55:00,1
2019-11-14 21:29:00,1
2019-11-14 23:12:00,1
2019-11-19 19:01:00,1
