47,"SELECT objID, u, g, r, i, z, petroR5#_r, petroR9#_r, Err_u, Err_g, Err_r, Err_i, Err_z, petroR5#Err_r, petroR9#Err_r into mydb.MyTable_# from Galaxy WHERE clean = # and r > = # and r < #"
2019-11-10 11:31:00,2
2019-11-10 11:42:00,2
2019-11-10 11:56:00,1
2019-11-10 11:57:00,1
2019-11-10 12:19:00,2
2019-11-10 12:31:00,2
2019-11-10 12:38:00,2
2019-11-11 03:44:00,2
2019-11-11 03:48:00,1
2019-11-11 03:52:00,1
2019-11-11 04:08:00,2
2019-11-11 04:35:00,1
2019-11-11 04:36:00,1
2019-11-11 04:40:00,1
2019-11-11 04:41:00,1
2019-11-11 04:56:00,1
2019-11-11 08:42:00,1
2019-11-11 08:43:00,2
2019-11-11 09:01:00,1
2019-11-11 09:15:00,1
2019-11-11 09:29:00,1
2019-11-11 09:33:00,1
2019-11-11 09:38:00,1
2019-11-11 09:48:00,1
2019-11-11 10:00:00,2
2019-11-11 10:11:00,1
2019-11-11 10:22:00,1
2019-11-11 10:34:00,1
2019-11-11 10:47:00,1
2019-11-12 04:27:00,2
2019-11-12 04:41:00,1
2019-11-12 04:54:00,1
2019-11-12 05:10:00,1
2019-11-12 05:21:00,1
2019-11-12 05:40:00,1
2019-11-12 06:14:00,1
2019-11-12 06:25:00,1
