51,"SELECT p.objid, p.ra, p.dec, f.fieldid, p.field, p.InsideMask, p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z, p.type, f.quality, p.specObjID, s.specObjID, s.class, s.subclass, s.ra, s.dec, s.plate, s.mjd, s.fiberID, s.run2d, dbo.fGetUrlSpecImg (s.specObjID) as png_url, dbo.fGetUrlFitsSpectrum (s.specObjID) as fits_url FROM PhotoPrimary AS p JOIN Field AS f ON f.fieldid = p.fieldid JOIN SpecObj as s ON p.objid = s.BestObjID WHERE (p.ra BETWEEN # AND #) AND p.dec BETWEEN # AND # AND (#/p.err_u > #) AND (#/p.err_g > #) AND (#/p.err_r > #) AND (#/p.err_i > #) AND (#/p.err_z > #) AND (p.type = dbo.fPhotoType (#) ) AND (s.SNMEDIAN > #)"
2019-02-25 18:34:00,1
2019-02-25 18:38:00,2
2019-02-25 18:39:00,2
2019-02-25 18:40:00,4
2019-02-25 18:41:00,3
2019-02-25 18:42:00,3
2019-02-25 18:43:00,3
2019-02-25 18:54:00,1
2019-02-25 18:55:00,1
2019-02-25 19:07:00,1
2019-03-08 09:56:00,1
2019-03-08 09:58:00,1
2019-03-08 10:02:00,1
2019-03-14 23:28:00,1
2019-03-14 23:34:00,1
2019-03-14 23:38:00,1
2019-03-14 23:39:00,1
2019-03-14 23:42:00,1
2019-03-14 23:43:00,1
2019-03-15 18:09:00,1
2019-03-15 21:08:00,1
2019-03-15 21:11:00,1
2019-03-15 21:12:00,1
2019-03-15 22:40:00,1
2019-03-19 21:47:00,2
2019-03-19 21:48:00,2
2019-03-19 21:49:00,1
2019-03-19 21:50:00,2
2019-03-19 21:51:00,1
2019-03-19 21:52:00,2
2019-03-19 21:54:00,1
2019-03-19 21:57:00,1
2019-03-19 21:59:00,1
2019-03-19 22:00:00,1
2019-03-19 22:33:00,1
2019-03-19 22:36:00,1
