78,"SELECT TOP # gsi.z, gsl.oiii_#_flux, gsl.oiii_#_flux_err, gsl.nii_#_flux, gsl.nii_#_flux_err, gsl.h_alpha_flux, gsl.h_alpha_flux_err, gsl.h_beta_flux, gsl.h_beta_flux_err, p.objid, p.ra, p.dec, p.petror9#_r, p.dered_z, p.dered_r, p.dered_g FROM Galaxy as p JOIN galSpecLine AS gsl ON p.specobjid = gsl.specobjid JOIN galSpecInfo AS gsi ON p.specobjid = gsi.specobjid WHERE gsl.oiii_#_flux > # AND gsl.nii_#_flux > # AND gsl.h_alpha_flux > # AND gsl.h_beta_flux > # AND gsl.oiii_#_flux/gsl.oiii_#_flux_err > # AND gsl.nii_#_flux/gsl.nii_#_flux_err > # AND gsl.h_alpha_flux/gsl.h_alpha_flux_err > # AND gsl.h_beta_flux/gsl.h_beta_flux_err > # AND gsi.z BETWEEN # AND #"
2019-05-04 13:59:00,1
2019-05-04 14:01:00,1
2019-05-04 14:07:00,1
2019-05-04 14:12:00,1
2019-05-04 14:14:00,1
2019-05-04 14:16:00,1
2019-05-04 14:20:00,1
2019-05-04 14:22:00,1
2019-05-04 14:25:00,1
2019-05-04 14:27:00,1
2019-05-04 14:30:00,1
2019-05-04 14:31:00,1
2019-05-05 12:56:00,1
2019-05-05 14:15:00,1
2019-05-05 14:16:00,1
2019-05-05 14:17:00,2
2019-05-05 14:46:00,1
2019-05-06 11:34:00,1
2019-05-06 11:35:00,3
2019-05-06 14:43:00,1
2019-05-06 15:33:00,1
2019-05-06 15:44:00,1
2019-05-06 15:57:00,1
2019-05-06 16:04:00,1
2019-05-06 16:07:00,1
2019-05-06 16:17:00,1
2019-05-06 16:18:00,1
2019-05-06 16:19:00,1
2019-05-06 16:20:00,3
2019-05-06 16:40:00,1
2019-05-06 16:45:00,1
2019-05-06 16:49:00,1
2019-05-07 08:59:00,10
2019-05-07 09:03:00,4
2019-05-07 09:04:00,6
2019-05-07 10:46:00,1
2019-05-07 10:47:00,12
2019-05-07 10:57:00,4
2019-05-07 10:58:00,4
