21144,"select s.z, p.petroRad_z from photoObj p JOIN specObj s ON s.bestObjID = p.objID where s.bestObjID = #"
2019-01-08 15:59:00,1
2019-01-08 16:08:00,2
2019-01-08 16:09:00,1
2019-01-08 16:11:00,1
2019-01-10 13:19:00,2
2019-01-10 13:20:00,6
2019-01-10 13:22:00,1
2019-01-10 13:23:00,2
2019-01-10 13:24:00,1
2019-01-10 13:25:00,2
2019-01-10 13:29:00,2
2019-01-10 13:31:00,8
2019-01-10 13:56:00,14
2019-01-10 13:57:00,1
2019-01-10 13:58:00,1
2019-01-10 14:00:00,1
2019-01-10 14:03:00,14
2019-01-10 14:04:00,1
2019-01-10 14:05:00,8
2019-01-10 14:06:00,9
2019-01-13 13:48:00,9
2019-01-13 13:51:00,9
2019-01-13 13:55:00,9
2019-01-13 14:00:00,3
2019-01-13 14:02:00,51
2019-01-13 14:03:00,28
2019-01-13 14:06:00,69
2019-01-13 14:27:00,17
2019-01-13 14:28:00,52
2019-01-13 14:31:00,21
2019-01-13 14:33:00,8
2019-01-13 14:49:00,60
2019-01-13 14:50:00,9
2019-01-14 16:47:00,15
2019-01-14 16:48:00,14
2019-01-14 16:49:00,57
2019-01-14 16:50:00,17
2019-01-14 16:51:00,17
2019-01-14 16:52:00,8
2019-01-14 16:53:00,3
2019-01-14 16:56:00,3
2019-01-14 16:57:00,65
2019-01-14 16:58:00,4
2019-01-14 17:00:00,69
2019-01-14 17:01:00,69
2019-01-14 17:04:00,83
2019-01-19 14:40:00,2
2019-01-19 14:41:00,4
2019-01-19 14:42:00,5
2019-01-19 15:51:00,3
2019-01-19 15:56:00,3
2019-01-19 15:57:00,20
2019-01-19 15:58:00,20
2019-01-19 15:59:00,29
2019-01-20 16:28:00,4
2019-01-20 16:29:00,31
2019-01-20 16:30:00,14
2019-01-20 16:39:00,5
2019-01-20 16:40:00,6
2019-01-20 16:42:00,6
2019-01-20 16:43:00,4
2019-01-20 16:44:00,12
2019-01-20 16:45:00,24
2019-02-21 13:14:00,6
2019-02-21 13:15:00,41
2019-02-21 13:16:00,43
2019-02-21 13:17:00,46
2019-02-21 13:18:00,1
2019-02-21 13:20:00,25
2019-02-21 13:21:00,49
2019-02-21 13:22:00,52
2019-02-21 13:23:00,9
2019-02-21 13:24:00,14
2019-02-21 13:25:00,49
2019-02-21 13:26:00,49
2019-02-21 13:27:00,25
2019-02-21 13:28:00,49
2019-02-21 13:29:00,54
2019-02-21 13:30:00,43
2019-02-21 13:31:00,40
2019-02-21 13:32:00,42
2019-02-21 13:33:00,44
2019-02-21 13:34:00,29
2019-02-21 13:35:00,41
2019-02-21 13:36:00,42
2019-02-21 13:37:00,47
2019-02-21 13:38:00,43
2019-02-21 13:39:00,46
2019-02-21 13:40:00,28
2019-02-21 16:15:00,1
2019-02-21 19:09:00,28
2019-02-21 19:10:00,46
2019-02-21 19:11:00,46
2019-02-21 19:12:00,40
2019-02-21 19:13:00,34
2019-02-21 19:14:00,44
2019-02-21 19:15:00,38
2019-02-21 19:16:00,46
2019-02-21 19:17:00,44
2019-02-21 19:18:00,46
2019-02-21 19:19:00,45
2019-02-21 19:20:00,47
2019-02-21 19:21:00,35
2019-02-21 19:22:00,21
2019-02-21 19:23:00,41
2019-02-21 19:24:00,43
2019-02-21 19:25:00,37
2019-02-21 19:26:00,41
2019-02-21 19:27:00,44
2019-02-21 19:28:00,23
2019-02-21 19:39:00,11
2019-02-21 19:40:00,47
2019-02-21 19:41:00,39
2019-02-21 19:42:00,43
2019-02-21 19:43:00,37
2019-02-21 19:44:00,42
2019-02-21 19:45:00,38
2019-02-21 19:46:00,22
2019-02-21 19:50:00,15
2019-02-21 19:51:00,36
2019-02-21 19:52:00,40
2019-02-21 19:53:00,12
2019-02-21 20:25:00,18
2019-02-21 20:26:00,47
2019-02-21 20:27:00,49
2019-02-21 20:28:00,46
2019-02-21 20:29:00,44
2019-02-21 20:30:00,39
2019-02-21 20:31:00,40
2019-02-21 20:32:00,43
2019-02-21 20:33:00,45
2019-02-21 20:34:00,44
2019-02-21 20:35:00,45
2019-02-21 20:36:00,45
2019-02-21 20:37:00,50
2019-02-21 20:38:00,50
2019-02-21 20:39:00,40
2019-02-21 20:40:00,33
2019-02-21 20:52:00,26
2019-02-21 20:53:00,39
2019-02-21 20:54:00,44
2019-02-21 20:55:00,42
2019-02-21 20:56:00,44
2019-02-21 20:57:00,1
2019-02-21 21:04:00,6
2019-02-21 21:05:00,38
2019-02-21 21:06:00,47
2019-02-21 21:07:00,45
2019-02-21 21:08:00,49
2019-02-21 21:09:00,46
2019-02-21 21:10:00,43
2019-02-21 21:11:00,45
2019-02-21 21:12:00,43
2019-02-21 21:13:00,42
2019-02-21 21:14:00,45
2019-02-21 21:15:00,44
2019-02-21 21:16:00,45
2019-02-21 21:17:00,46
2019-02-21 21:18:00,45
2019-02-21 21:19:00,47
2019-02-21 21:20:00,45
2019-02-21 21:21:00,48
2019-02-21 21:22:00,49
2019-02-21 21:23:00,49
2019-02-21 21:24:00,50
2019-02-21 21:25:00,48
2019-02-21 21:26:00,48
2019-02-21 21:27:00,51
2019-02-21 21:28:00,48
2019-02-21 21:29:00,49
2019-02-21 21:30:00,43
2019-02-21 21:31:00,47
2019-02-21 21:32:00,48
2019-02-21 21:33:00,48
2019-02-21 21:34:00,4
2019-02-21 21:36:00,23
2019-02-21 21:37:00,44
2019-02-21 21:38:00,46
2019-02-21 21:39:00,45
2019-02-21 21:40:00,42
2019-02-21 21:41:00,40
2019-02-21 21:42:00,45
2019-02-21 21:43:00,44
2019-02-21 21:44:00,45
2019-02-21 21:45:00,44
2019-02-21 21:46:00,43
2019-02-21 21:47:00,5
2019-03-11 09:38:00,13
2019-03-11 09:39:00,76
2019-03-11 09:40:00,81
2019-03-11 09:41:00,39
2019-03-11 09:42:00,21
2019-03-11 09:43:00,80
2019-03-11 09:44:00,80
2019-03-11 09:45:00,28
2019-03-11 09:48:00,39
2019-03-11 09:49:00,74
2019-03-11 09:50:00,80
2019-03-11 09:51:00,66
2019-03-11 09:52:00,63
2019-03-11 09:53:00,6
2019-03-11 12:16:00,18
2019-03-11 12:17:00,48
2019-03-11 12:18:00,69
2019-03-11 12:19:00,70
2019-03-11 12:20:00,53
2019-03-11 12:21:00,54
2019-03-11 12:24:00,30
2019-03-11 12:25:00,63
