90,"SELECT sp.plate, sp.fiberid, sp.mjd, sp.z as redshift, sp.zwarning, g.h_beta_flux, g.h_beta_flux_err, g.h_alpha_flux, g.h_alpha_flux_err, g.h_alpha_eqw, g.oii_#_eqw, sp.ra, sp.dec, sp.modelMag_g as g, sp.modelMag_i as i, sp.modelmagerr_g as err_g, sp.modelMagerr_i as err_i FROM GalSpecLine AS g JOIN SpecPhoto AS sp ON sp.specobjid = g.specobjid JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS GN ON GN.specobjID = g.specobjid JOIN Galaxy as gal ON gal.specobjId = g.specobjid WHERE h_alpha_eqw between # and # and oii_#_eqw between # and # and sp.modelMag_g-sp.modelMag_i > # and sp.z between # and # and sp.modelMag_i-#*log1# (#E+#*sp.z) < # and gal.petroR9#_i/gal.petroR5#_i > #"
2019-01-22 22:08:00,1
2019-01-22 23:44:00,1
2019-01-23 00:12:00,1
2019-01-23 00:14:00,1
2019-01-23 00:16:00,1
2019-01-23 00:17:00,1
2019-01-23 00:20:00,1
2019-01-23 00:23:00,1
2019-01-23 10:10:00,1
2019-01-23 10:11:00,1
2019-01-23 10:12:00,1
2019-01-23 10:20:00,1
2019-01-23 10:27:00,1
2019-01-23 10:34:00,1
2019-01-23 10:35:00,1
2019-01-23 10:38:00,2
2019-01-23 10:44:00,1
2019-01-23 10:47:00,1
2019-01-24 12:00:00,1
2019-01-24 12:01:00,1
2019-01-24 12:37:00,1
2019-01-24 12:45:00,1
2019-01-24 13:03:00,1
2019-01-24 13:06:00,3
2019-01-24 13:13:00,1
2019-01-24 13:14:00,1
2019-01-24 13:15:00,1
2019-01-24 13:16:00,2
2019-01-24 13:17:00,3
2019-01-24 13:18:00,4
2019-01-24 13:21:00,1
2019-01-24 13:22:00,1
2019-01-24 13:23:00,1
2019-01-24 13:26:00,1
2019-01-24 13:27:00,1
2019-01-24 13:31:00,1
2019-01-24 13:42:00,1
2019-01-24 13:44:00,1
2019-01-24 13:49:00,1
2019-01-24 13:50:00,3
2019-01-24 19:50:00,1
2019-01-24 19:51:00,1
2019-01-24 19:53:00,1
2019-01-24 20:00:00,1
2019-01-24 20:51:00,3
2019-01-24 20:53:00,1
2019-01-24 20:56:00,1
2019-01-24 21:00:00,1
2019-01-24 21:02:00,1
2019-01-24 21:03:00,1
2019-01-25 10:04:00,1
2019-01-25 16:42:00,1
2019-01-25 16:45:00,1
2019-01-25 16:46:00,1
2019-01-25 16:50:00,1
2019-01-25 16:52:00,1
2019-01-25 16:57:00,1
2019-01-25 17:00:00,1
2019-01-25 17:06:00,1
2019-01-25 17:09:00,1
2019-01-25 17:10:00,1
2019-01-25 18:10:00,1
2019-01-25 18:12:00,1
2019-01-25 18:15:00,1
2019-01-25 18:17:00,1
2019-01-25 18:20:00,1
2019-01-25 18:21:00,1
2019-01-25 18:24:00,1
2019-01-25 18:28:00,1
2019-01-25 18:29:00,1
2019-01-25 18:32:00,2
2019-01-25 18:33:00,1
2019-01-25 18:34:00,1
2019-01-25 19:16:00,1
2019-01-25 19:18:00,1
2019-01-25 19:30:00,1
