35,"SELECT TOP # # + cast (p.objId as varchar (#) ) +# + cast (p.objId as varchar (#) ) + # as objID, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetObjFromRect (#, #, #, #) n, PhotoPrimary p WHERE n.objID = p.objID AND p.r between # AND #"
2019-02-07 04:48:00,1
2019-02-18 05:50:00,1
2019-02-18 05:52:00,2
2019-02-18 05:54:00,1
2019-02-18 06:17:00,2
2019-02-18 06:21:00,1
2019-02-18 08:10:00,1
2019-02-18 08:11:00,2
2019-02-18 08:15:00,1
2019-02-18 08:18:00,3
2019-02-18 08:28:00,2
2019-02-18 09:26:00,1
2019-02-27 05:40:00,1
2019-03-02 05:49:00,1
2019-03-02 06:05:00,1
2019-03-02 07:41:00,1
2019-03-02 07:48:00,1
2019-03-02 07:50:00,1
2019-03-02 09:01:00,2
2019-03-02 09:02:00,1
2019-03-02 10:55:00,1
2019-03-02 12:19:00,1
2019-03-02 12:20:00,1
2019-03-02 12:21:00,2
2019-08-17 03:34:00,1
2019-09-28 02:18:00,1
2019-09-28 02:19:00,1
