204,"SELECT TOP # mangaid, nvisits, objra, objdec, input_teff, input_teff, input_logg, input_fe_h, input_alpha_m FROM MaStar_goodstars WHERE POWER (objra - #, #) + POWER (objdec - #, #) < POWER (#, #) AND nvisits > #"
2019-01-03 11:20:00,1
2019-01-03 18:34:00,1
2019-01-07 06:45:00,1
2019-01-08 02:54:00,1
2019-01-08 18:14:00,1
2019-01-09 14:19:00,1
2019-01-10 02:45:00,1
2019-01-14 11:52:00,1
2019-01-16 00:20:00,1
2019-01-17 23:47:00,1
2019-01-19 20:47:00,1
2019-01-22 16:12:00,1
2019-01-26 23:19:00,1
2019-01-27 21:20:00,1
2019-01-28 16:51:00,1
2019-01-30 19:28:00,2
2019-01-31 02:07:00,1
2019-02-02 00:21:00,1
2019-02-02 13:57:00,1
2019-02-08 08:17:00,1
2019-02-12 18:12:00,1
2019-02-13 16:34:00,1
2019-02-14 12:52:00,1
2019-02-14 15:31:00,1
2019-02-18 08:51:00,1
2019-02-21 16:01:00,1
2019-02-21 18:54:00,1
2019-02-26 01:12:00,1
2019-02-28 07:48:00,1
2019-03-01 10:27:00,1
2019-03-03 05:46:00,1
2019-03-04 16:39:00,1
2019-03-06 17:22:00,1
2019-03-07 11:03:00,1
2019-03-09 01:40:00,1
2019-03-11 17:17:00,1
2019-03-13 08:35:00,1
2019-03-14 17:19:00,1
2019-03-15 01:38:00,1
2019-03-19 17:37:00,2
2019-03-20 21:22:00,1
2019-03-25 12:10:00,1
2019-03-25 13:18:00,1
2019-03-26 08:44:00,1
2019-03-26 12:23:00,1
2019-03-27 09:40:00,1
2019-03-27 19:55:00,1
2019-03-31 18:44:00,1
2019-04-02 13:03:00,1
2019-04-07 15:10:00,1
2019-04-15 20:03:00,1
2019-04-16 03:45:00,1
2019-04-18 17:19:00,1
2019-04-19 00:28:00,1
2019-04-22 12:47:00,1
2019-04-24 07:09:00,1
2019-04-27 11:57:00,1
2019-04-28 01:43:00,1
2019-04-28 11:04:00,1
2019-04-28 12:05:00,1
2019-04-30 17:37:00,1
2019-05-02 23:28:00,1
2019-05-06 20:11:00,1
2019-05-07 02:48:00,1
2019-05-13 09:10:00,1
2019-05-13 10:55:00,1
2019-05-14 01:45:00,1
2019-05-21 06:18:00,1
2019-05-21 13:10:00,1
2019-05-21 20:04:00,1
2019-05-23 04:26:00,1
2019-05-23 07:09:00,1
2019-05-23 09:58:00,1
2019-05-24 23:02:00,1
2019-05-25 00:05:00,1
2019-05-27 12:49:00,1
2019-05-29 03:47:00,1
2019-05-31 00:11:00,1
2019-05-31 04:15:00,1
2019-06-04 15:29:00,1
