102,"select p.objid, p.l, p.b, p.u, p.g, p.r, p.i, p.z from star p where p.b BETWEEN # AND # AND p.l BETWEEN # AND #"
2019-07-11 02:45:00,1
2019-07-11 02:50:00,1
2019-07-11 04:24:00,2
2019-07-11 04:27:00,1
2019-07-11 04:59:00,1
2019-07-11 05:04:00,1
2019-07-11 05:06:00,1
2019-07-11 05:07:00,1
2019-07-11 05:08:00,2
2019-07-11 05:09:00,1
2019-07-11 05:10:00,2
2019-07-11 05:11:00,1
2019-07-11 05:12:00,2
2019-07-11 05:13:00,1
2019-07-11 05:15:00,1
2019-07-11 05:16:00,2
2019-07-11 05:17:00,1
2019-07-11 05:19:00,2
2019-07-11 05:22:00,1
2019-07-11 05:24:00,1
2019-07-11 05:26:00,1
2019-07-11 05:28:00,1
2019-07-11 05:30:00,1
2019-07-11 05:32:00,1
2019-07-11 05:38:00,1
2019-07-11 05:40:00,1
2019-07-11 05:42:00,1
2019-07-11 05:50:00,1
2019-07-11 05:52:00,1
2019-07-11 05:53:00,1
2019-07-11 05:55:00,1
2019-07-11 05:57:00,1
2019-07-11 05:59:00,1
2019-07-11 07:15:00,1
2019-07-11 07:17:00,1
2019-07-11 07:22:00,1
2019-07-11 07:25:00,2
2019-07-11 07:27:00,1
2019-07-11 07:28:00,1
2019-07-11 07:30:00,1
2019-07-11 07:33:00,1
2019-07-12 05:07:00,1
2019-07-12 05:08:00,1
2019-07-12 05:10:00,1
2019-07-12 05:13:00,1
2019-07-12 05:14:00,1
2019-07-12 05:20:00,1
2019-07-12 05:22:00,1
2019-07-12 05:24:00,1
2019-07-12 05:26:00,2
2019-07-12 05:27:00,1
2019-07-12 05:28:00,1
2019-07-12 05:29:00,1
2019-07-12 05:30:00,1
2019-07-12 05:33:00,1
2019-07-12 05:41:00,1
2019-07-12 05:42:00,2
2019-07-12 05:43:00,1
2019-07-12 05:44:00,1
2019-07-12 05:45:00,1
2019-07-12 05:48:00,1
2019-07-12 05:49:00,1
2019-07-12 05:50:00,1
2019-07-12 05:51:00,1
2019-07-12 05:52:00,1
2019-07-12 05:54:00,1
2019-07-12 05:55:00,1
2019-07-12 05:57:00,1
2019-07-12 05:58:00,1
2019-07-12 05:59:00,1
2019-07-12 06:26:00,1
2019-07-12 06:27:00,1
2019-07-12 06:28:00,1
2019-07-12 06:29:00,1
2019-07-12 06:30:00,4
2019-07-12 06:31:00,1
2019-07-12 06:34:00,1
2019-07-12 06:35:00,1
2019-07-12 06:36:00,1
2019-07-12 06:37:00,1
2019-07-12 06:38:00,1
2019-07-12 06:39:00,1
2019-07-12 06:40:00,1
2019-07-12 06:41:00,1
2019-07-12 06:42:00,1
2019-07-12 06:43:00,1
2019-07-12 06:44:00,1
2019-07-12 06:45:00,2
2019-07-12 06:46:00,1
