6756,"select ra, dec, l, b, extinction_u, #*LOG1# (psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1# (psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1# (psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1# (psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #*LOG1# (psfFlux_z) + # - extinction_z + # as psfPogCorr_z, #/SQRT (psfFluxIvar_u) /psfFlux_u as psfPogErr_u, #/SQRT (psfFluxIvar_g) /psfFlux_g as psfPogErr_g, #/SQRT (psfFluxIvar_r) /psfFlux_r as psfPogErr_r, #/SQRT (psfFluxIvar_i) /psfFlux_i as psfPogErr_i, #/SQRT (psfFluxIvar_z) /psfFlux_z as psfPogErr_z from star as s where ra between # and # and dec between # and # and s.clean = # and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfFlux_z > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < # and psfMagErr_z < #"
2019-02-06 17:06:00,4
2019-02-06 17:07:00,5
2019-02-06 17:08:00,6
2019-02-06 17:09:00,6
2019-02-06 17:10:00,8
2019-02-06 17:11:00,6
2019-02-06 17:12:00,6
2019-02-06 17:13:00,9
2019-02-06 17:14:00,9
2019-02-06 17:15:00,10
2019-02-06 17:16:00,8
2019-02-06 17:17:00,18
2019-02-06 17:18:00,4
2019-03-07 16:39:00,1
2019-03-07 16:40:00,3
2019-03-07 16:41:00,3
2019-03-07 16:42:00,1
2019-03-07 16:52:00,1
2019-03-07 16:54:00,4
2019-03-07 16:55:00,5
2019-03-07 16:56:00,5
2019-03-07 16:57:00,2
2019-03-07 16:58:00,5
2019-03-07 16:59:00,6
2019-03-07 17:00:00,4
2019-03-07 17:01:00,4
2019-03-07 17:02:00,5
2019-03-07 17:03:00,4
2019-03-07 17:04:00,6
2019-03-07 17:05:00,5
2019-03-07 17:06:00,5
2019-03-07 17:07:00,5
2019-03-07 17:08:00,3
2019-03-07 17:09:00,6
2019-03-07 17:10:00,5
2019-03-07 17:11:00,5
2019-03-07 17:12:00,8
2019-03-07 17:13:00,5
2019-03-07 17:14:00,7
2019-03-07 17:15:00,4
2019-03-07 17:16:00,6
2019-03-07 17:17:00,6
2019-03-07 17:18:00,5
2019-03-07 17:19:00,5
2019-03-07 17:20:00,6
2019-03-07 17:21:00,6
2019-03-07 17:22:00,5
2019-03-07 17:23:00,6
2019-03-07 17:24:00,3
2019-03-07 17:25:00,8
2019-03-07 17:26:00,7
2019-03-07 17:27:00,7
2019-03-07 17:28:00,8
2019-03-07 17:29:00,4
2019-03-07 17:30:00,7
2019-03-07 17:31:00,6
2019-03-07 17:32:00,6
2019-03-07 17:33:00,5
2019-03-07 17:34:00,5
2019-03-07 17:35:00,8
2019-03-07 17:36:00,8
2019-03-07 17:37:00,8
2019-03-07 17:38:00,5
2019-03-07 17:39:00,7
2019-03-07 17:40:00,7
2019-03-07 17:41:00,6
2019-03-07 17:42:00,6
2019-03-07 17:43:00,7
2019-03-07 17:44:00,7
2019-03-07 17:45:00,6
2019-03-07 17:46:00,8
2019-03-07 17:47:00,7
2019-03-07 17:48:00,5
2019-03-07 17:49:00,7
2019-03-07 17:50:00,8
2019-03-07 17:51:00,8
2019-03-07 17:52:00,8
2019-03-07 17:53:00,6
2019-03-07 17:54:00,8
2019-03-07 17:55:00,7
2019-03-07 17:56:00,6
2019-03-07 17:57:00,8
2019-03-07 17:58:00,6
2019-03-07 17:59:00,6
2019-03-07 18:00:00,8
2019-03-07 18:01:00,9
2019-03-07 18:02:00,8
2019-03-07 18:03:00,6
2019-03-07 18:04:00,5
2019-03-07 18:05:00,8
2019-03-07 18:06:00,7
2019-03-07 18:07:00,8
2019-03-07 18:08:00,8
2019-03-07 18:09:00,5
2019-03-07 18:10:00,7
2019-03-07 18:11:00,7
2019-03-07 18:12:00,7
