288,"SELECT s.*, dbo.fDistanceArcMinEq (s.RA+ ((s.pmra/cos (radians (s.Dec) )) /#.) * (s.mjd_f-s.mjd) /#, s.Dec+ (s.pmdec/#.) * (s.mjd_f-s.mjd) /#, s.ra2, s.dec2) *#. as Separation from MyDB.gaia_neigh_galex_mjd as s WHERE dbo.fDistanceArcMinEq (s.RA+ ((s.pmra/cos (radians (s.Dec) )) /#.) * (s.mjd_f-s.mjd) /#, s.Dec+ (s.pmdec/#.) * (s.mjd_f-s.mjd) /#, s.ra2, s.dec2) *#.< =# -- cone search #/arcsec INTO gaia_X_galex_test1"
2019-05-17 11:45:00,1
2019-05-17 11:48:00,1
2019-05-17 12:01:00,2
2019-05-17 12:02:00,5
2019-05-17 12:06:00,1
2019-05-17 12:08:00,4
2019-05-17 12:10:00,4
2019-05-17 12:13:00,1
2019-05-17 12:14:00,6
2019-05-17 12:27:00,1
2019-05-17 12:30:00,1
2019-05-17 12:37:00,1
2019-05-17 12:41:00,1
2019-05-17 12:45:00,1
2019-05-17 12:49:00,1
2019-05-17 12:53:00,1
2019-05-17 12:57:00,1
2019-05-17 13:01:00,1
2019-05-17 13:05:00,1
2019-05-17 13:10:00,1
2019-05-17 13:14:00,1
2019-05-17 13:16:00,1
2019-05-17 14:55:00,1
2019-05-17 15:02:00,1
2019-05-17 15:38:00,1
2019-05-17 15:45:00,1
2019-05-17 15:51:00,1
2019-05-17 15:59:00,1
2019-05-17 16:07:00,1
2019-05-17 16:15:00,1
2019-05-17 16:25:00,1
2019-05-17 16:33:00,1
2019-05-17 16:40:00,1
2019-05-17 16:47:00,1
2019-05-17 16:55:00,1
2019-05-17 17:02:00,1
2019-05-17 17:09:00,1
2019-05-17 17:16:00,1
2019-05-17 18:30:00,1
2019-05-17 18:51:00,1
2019-05-17 19:03:00,1
2019-05-17 19:17:00,1
2019-05-17 19:30:00,1
2019-05-17 19:44:00,1
2019-05-17 19:57:00,1
2019-05-18 10:29:00,1
2019-05-18 10:41:00,1
2019-05-18 10:52:00,1
2019-05-18 11:03:00,1
2019-05-18 11:16:00,1
2019-05-18 11:27:00,1
2019-05-18 11:39:00,1
2019-05-18 11:50:00,1
2019-05-18 12:02:00,1
2019-05-18 12:14:00,1
2019-05-18 12:26:00,1
2019-05-18 12:38:00,1
2019-05-18 12:50:00,1
2019-05-18 13:02:00,1
2019-05-18 13:14:00,1
2019-05-18 13:25:00,1
2019-05-18 13:36:00,1
2019-05-18 13:48:00,1
2019-05-18 13:59:00,1
2019-05-18 14:11:00,1
2019-05-18 14:23:00,1
2019-05-18 14:35:00,1
2019-05-18 14:47:00,1
2019-05-18 14:59:00,1
2019-05-18 15:11:00,1
2019-05-18 15:22:00,1
2019-05-18 15:34:00,1
2019-05-18 15:45:00,1
2019-05-18 15:56:00,1
2019-05-18 16:08:00,1
2019-05-18 16:19:00,1
2019-05-18 16:29:00,1
2019-05-18 16:40:00,1
2019-05-18 16:51:00,1
2019-05-18 17:02:00,1
2019-05-18 17:13:00,1
2019-05-18 17:23:00,1
2019-05-18 17:34:00,1
2019-05-18 17:45:00,1
2019-05-18 17:55:00,1
2019-05-18 18:05:00,1
2019-05-18 18:15:00,1
