621,select fieldid from field where cccol_u between # and # and skyframes_r between -.# and .#
2019-01-25 02:04:00,9
2019-01-25 02:05:00,4
2019-01-25 02:08:00,6
2019-01-25 04:30:00,1
2019-01-25 15:47:00,1
2019-01-25 15:58:00,2
2019-01-25 16:05:00,7
2019-01-25 16:13:00,2
2019-01-25 16:25:00,3
2019-01-25 16:49:00,2
2019-01-25 17:13:00,12
2019-01-27 10:47:00,1
2019-01-27 10:50:00,4
2019-01-27 10:51:00,6
2019-01-28 08:18:00,13
2019-01-28 13:25:00,11
2019-01-28 13:29:00,7
2019-01-28 13:30:00,14
2019-01-28 13:31:00,3
2019-01-28 14:16:00,1
2019-01-28 14:23:00,6
2019-01-28 14:30:00,10
2019-01-28 14:31:00,11
2019-01-28 14:32:00,6
2019-01-28 14:35:00,11
2019-01-28 14:36:00,8
2019-01-28 14:53:00,60
2019-01-28 15:41:00,17
2019-01-28 15:43:00,5
2019-01-28 15:44:00,22
2019-01-28 15:45:00,15
2019-01-28 15:59:00,9
2019-01-28 16:45:00,1
2019-01-28 19:40:00,1
2019-01-28 19:56:00,1
2019-01-28 20:04:00,1
2019-01-28 20:27:00,12
2019-01-28 20:28:00,1
2019-01-28 20:29:00,12
2019-01-28 20:30:00,1
2019-01-28 20:31:00,12
2019-01-28 20:35:00,22
2019-01-28 20:36:00,6
2019-01-28 20:40:00,1
2019-01-28 20:41:00,8
2019-01-28 21:22:00,4
2019-01-28 21:27:00,5
2019-01-28 22:21:00,10
2019-01-28 23:27:00,11
2019-02-26 11:15:00,19
2019-02-26 11:16:00,96
2019-02-26 11:17:00,94
2019-02-26 12:50:00,7
2019-02-26 12:54:00,7
