1156,select fieldid from field where skyslope_r between -.# and -.# and medianpsfcolor_r between # and #
2019-01-24 14:16:00,1
2019-01-24 14:18:00,1
2019-01-24 14:21:00,4
2019-01-24 14:24:00,1
2019-01-24 14:34:00,1
2019-01-24 14:51:00,1
2019-01-24 16:49:00,3
2019-01-24 16:50:00,22
2019-01-24 16:51:00,3
2019-01-24 16:52:00,2
2019-01-24 17:46:00,1
2019-01-24 17:48:00,1
2019-01-24 17:51:00,3
2019-01-24 17:53:00,3
2019-01-24 18:03:00,3
2019-01-24 18:21:00,2
2019-01-24 20:18:00,3
2019-01-24 20:19:00,8
2019-01-24 20:20:00,9
2019-01-24 20:21:00,2
2019-01-24 20:45:00,4
2019-01-24 20:46:00,1
2019-01-24 20:48:00,1
2019-01-24 21:13:00,1
2019-01-24 21:17:00,3
2019-01-24 21:22:00,3
2019-01-24 21:36:00,1
2019-01-24 22:34:00,2
2019-01-24 22:35:00,2
2019-01-24 22:36:00,5
2019-01-24 22:44:00,2
2019-01-24 22:47:00,3
2019-01-24 22:48:00,2
2019-01-24 22:49:00,9
2019-01-24 22:50:00,5
2019-01-24 22:52:00,4
2019-01-24 22:53:00,3
2019-01-24 22:55:00,2
2019-01-24 22:56:00,4
2019-01-24 22:57:00,5
2019-01-24 22:58:00,4
2019-01-24 22:59:00,3
2019-01-24 23:00:00,10
2019-01-24 23:01:00,1
2019-01-24 23:04:00,6
2019-01-24 23:05:00,4
2019-01-24 23:07:00,1
2019-01-24 23:23:00,1
2019-01-24 23:26:00,1
2019-01-25 00:22:00,4
2019-01-25 00:33:00,2
2019-01-25 00:36:00,3
2019-01-25 00:37:00,1
2019-01-25 00:42:00,2
2019-01-25 00:58:00,2
2019-01-25 00:59:00,2
2019-01-25 01:01:00,3
2019-01-25 01:04:00,3
2019-01-25 01:30:00,2
2019-01-25 01:33:00,3
2019-01-25 01:34:00,10
2019-01-25 01:36:00,4
2019-01-25 01:44:00,1
2019-01-25 02:15:00,10
2019-01-25 02:16:00,3
2019-01-25 02:17:00,3
2019-01-25 02:20:00,2
2019-01-25 03:02:00,7
2019-01-25 03:04:00,2
2019-01-25 03:05:00,1
2019-01-25 03:21:00,3
2019-01-25 03:52:00,4
2019-01-25 03:53:00,1
2019-01-25 03:55:00,1
2019-01-25 04:14:00,2
2019-01-25 04:18:00,7
2019-01-25 04:19:00,8
2019-01-25 04:20:00,8
2019-01-25 04:21:00,6
2019-01-25 04:22:00,2
2019-01-25 04:52:00,1
2019-01-25 04:54:00,1
2019-01-25 05:06:00,4
2019-01-25 05:13:00,8
2019-01-25 05:15:00,1
2019-01-25 05:52:00,2
2019-01-25 06:07:00,6
2019-01-25 06:08:00,1
2019-01-25 06:11:00,4
2019-01-25 06:12:00,6
2019-01-25 06:13:00,4
2019-01-25 06:14:00,2
2019-01-25 06:15:00,6
2019-01-25 06:16:00,2
2019-01-25 08:18:00,1
2019-01-25 08:19:00,1
2019-01-25 08:20:00,3
2019-01-25 08:21:00,6
2019-01-25 08:22:00,1
2019-01-25 08:23:00,2
2019-01-25 08:26:00,2
2019-01-25 08:27:00,1
2019-01-25 08:33:00,5
2019-01-25 08:34:00,1
2019-01-25 09:07:00,1
2019-01-25 09:09:00,4
2019-01-25 09:10:00,1
2019-01-25 09:11:00,1
2019-01-25 09:13:00,2
2019-01-25 09:15:00,5
2019-01-25 09:16:00,1
2019-01-25 09:17:00,3
2019-01-25 09:18:00,1
2019-01-25 09:19:00,2
2019-01-25 09:21:00,2
2019-01-25 09:22:00,2
2019-01-25 09:23:00,1
2019-01-25 09:24:00,1
2019-01-25 09:25:00,2
2019-01-25 09:26:00,1
2019-01-25 09:27:00,4
2019-01-25 09:28:00,1
2019-01-25 09:29:00,3
2019-01-25 09:31:00,6
2019-01-25 09:33:00,1
2019-01-25 09:34:00,2
2019-01-25 09:35:00,1
2019-01-25 09:37:00,3
2019-01-25 09:38:00,3
2019-01-25 09:40:00,4
2019-01-25 09:41:00,1
2019-01-25 09:42:00,4
2019-01-25 09:43:00,1
2019-01-25 09:44:00,5
2019-01-25 09:45:00,1
2019-01-25 09:46:00,1
2019-01-25 09:47:00,1
2019-01-25 09:48:00,3
2019-01-25 09:49:00,2
2019-01-25 09:51:00,1
2019-01-25 09:52:00,1
2019-01-25 09:53:00,3
2019-01-25 09:54:00,2
2019-01-25 09:55:00,2
2019-01-25 09:56:00,3
2019-01-25 09:57:00,2
2019-01-25 09:58:00,2
2019-01-25 09:59:00,2
2019-01-25 10:00:00,2
2019-01-25 10:01:00,1
2019-01-25 10:02:00,1
2019-01-25 10:04:00,4
2019-01-25 10:05:00,3
2019-01-25 10:06:00,1
2019-01-25 10:07:00,4
2019-01-25 10:08:00,2
2019-01-25 10:10:00,1
2019-01-25 10:14:00,3
2019-01-25 10:15:00,3
2019-01-25 10:16:00,1
2019-01-25 10:17:00,1
2019-01-25 10:19:00,6
2019-01-25 10:21:00,5
2019-01-25 10:22:00,1
2019-01-25 10:23:00,2
2019-01-25 10:24:00,1
2019-01-25 10:27:00,5
2019-01-25 10:28:00,2
2019-01-25 10:29:00,1
2019-01-25 10:30:00,1
2019-01-25 10:31:00,2
2019-01-25 10:32:00,1
2019-01-25 10:33:00,2
2019-01-25 10:34:00,1
2019-01-25 10:36:00,1
2019-01-25 10:37:00,1
2019-01-25 10:40:00,2
2019-01-25 10:42:00,2
2019-01-25 10:44:00,2
2019-01-25 10:46:00,3
2019-01-25 10:47:00,1
2019-01-25 10:48:00,3
2019-01-25 10:49:00,2
2019-01-25 10:50:00,1
2019-01-25 10:51:00,2
2019-01-25 10:52:00,9
2019-01-25 10:55:00,3
2019-01-25 10:56:00,1
2019-01-25 10:57:00,2
2019-01-25 10:59:00,1
2019-01-25 11:00:00,1
2019-01-25 11:02:00,3
2019-01-25 11:03:00,2
2019-01-25 11:04:00,2
2019-01-25 11:05:00,2
2019-01-25 11:07:00,1
2019-01-25 11:08:00,2
2019-01-25 11:09:00,1
2019-01-25 11:10:00,1
2019-01-25 11:11:00,1
2019-01-25 11:12:00,9
2019-01-25 11:13:00,2
2019-01-25 11:15:00,2
2019-01-25 11:16:00,1
2019-01-25 11:18:00,6
2019-01-25 11:19:00,1
2019-01-25 11:20:00,2
2019-01-25 11:21:00,1
2019-01-25 11:22:00,2
2019-01-25 11:23:00,3
2019-01-25 11:26:00,2
2019-01-25 11:27:00,1
2019-01-25 11:28:00,1
2019-01-25 11:29:00,1
2019-01-25 11:30:00,3
2019-01-25 11:33:00,2
2019-01-25 11:35:00,1
2019-01-25 11:39:00,4
2019-01-25 11:40:00,1
2019-01-25 11:43:00,1
