4032,"SELECT TOP # G.ra, G.dec, G.modelMag_r, G.modelMagErr_r, G.extinction_r, pz.z, pz.zErr, G.modelFlux_u, G.modelFlux_g, G.modelFlux_r, G.modelFlux_i, G.modelFlux_z, G.modelFluxIvar_u, G.modelFluxIvar_g, G.modelFluxIvar_r, G.modelFluxIvar_i, G.modelFluxIvar_z, GN.distance FROM dbo.fGetNearbyObjEq (#, #, #) AS GN JOIN Galaxy AS G ON GN.objID = G.objID JOIN PhotoTag AS pt ON pt.objID = G.objID JOIN Photoz AS pz ON GN.objID = pz.objID ORDER by distance"
2019-03-27 15:12:00,1
2019-03-27 15:17:00,3
2019-03-27 15:18:00,25
2019-03-27 15:19:00,26
2019-03-27 15:20:00,25
2019-03-27 15:21:00,26
2019-03-27 15:22:00,25
2019-03-27 15:23:00,26
2019-03-27 15:24:00,25
2019-03-27 15:25:00,20
2019-03-27 15:26:00,22
2019-03-27 15:27:00,24
2019-03-27 15:28:00,22
2019-03-27 15:29:00,24
2019-03-27 15:30:00,20
2019-03-27 15:31:00,26
2019-03-27 15:32:00,18
2019-03-27 16:00:00,24
2019-03-27 16:01:00,21
2019-03-27 16:02:00,28
2019-03-27 16:03:00,25
2019-03-27 16:04:00,22
2019-03-27 16:05:00,26
2019-03-27 16:06:00,28
2019-03-27 16:07:00,28
2019-03-27 16:08:00,27
2019-03-27 16:09:00,28
2019-03-27 16:10:00,28
2019-03-27 16:11:00,27
2019-03-27 16:12:00,28
2019-03-27 16:13:00,27
2019-03-27 16:14:00,25
2019-03-27 16:15:00,20
2019-03-27 21:13:00,2
2019-03-27 21:14:00,21
2019-03-27 21:15:00,26
2019-03-27 21:16:00,25
2019-03-27 21:17:00,26
2019-03-27 21:18:00,25
2019-03-27 21:19:00,26
2019-03-27 21:20:00,25
2019-03-27 21:21:00,26
2019-03-27 21:22:00,26
2019-03-27 21:23:00,14
2019-03-28 04:44:00,15
2019-03-28 04:45:00,25
2019-03-28 04:46:00,27
2019-03-28 04:47:00,26
2019-03-28 04:48:00,26
2019-03-28 04:49:00,26
2019-03-28 04:50:00,27
2019-03-28 04:51:00,25
2019-03-28 04:52:00,27
2019-03-28 04:53:00,26
2019-03-28 04:54:00,27
2019-03-28 04:55:00,24
2019-03-28 04:56:00,27
2019-03-28 04:57:00,25
2019-03-28 04:58:00,27
2019-03-28 04:59:00,25
2019-03-28 05:00:00,7
2019-03-28 05:05:00,26
2019-03-28 05:06:00,27
2019-03-28 05:07:00,26
2019-03-28 05:08:00,27
2019-03-28 05:09:00,25
2019-03-28 05:10:00,27
2019-03-28 05:11:00,26
2019-03-28 05:12:00,27
2019-03-28 05:13:00,21
2019-03-28 05:14:00,2
2019-03-28 08:11:00,1
2019-03-28 08:12:00,1
2019-03-28 08:17:00,1
2019-03-28 09:30:00,1
2019-03-28 09:32:00,1
2019-03-28 09:33:00,4
2019-03-28 09:34:00,4
2019-03-28 09:35:00,3
2019-03-28 09:36:00,4
2019-03-28 09:37:00,3
2019-03-28 09:38:00,2
2019-03-28 09:39:00,1
2019-03-28 09:40:00,5
2019-03-28 09:41:00,11
2019-03-28 09:42:00,10
2019-03-28 09:43:00,25
2019-03-28 09:44:00,17
2019-03-28 09:45:00,16
2019-03-28 09:46:00,9
2019-03-28 09:47:00,11
2019-03-28 09:48:00,16
2019-03-28 09:49:00,7
2019-03-28 09:50:00,13
2019-03-28 09:51:00,13
2019-03-28 09:52:00,14
2019-03-28 09:53:00,17
2019-03-28 09:54:00,15
2019-03-28 09:55:00,13
2019-03-28 09:56:00,24
2019-03-28 09:57:00,14
2019-03-28 09:58:00,14
2019-03-28 09:59:00,14
2019-03-28 10:00:00,11
2019-03-28 10:01:00,21
2019-03-28 10:02:00,15
2019-03-28 10:03:00,6
2019-03-28 10:04:00,6
2019-03-28 10:05:00,12
2019-03-28 10:06:00,8
2019-03-28 10:07:00,5
2019-03-28 10:08:00,6
2019-03-28 10:09:00,8
2019-03-28 10:10:00,10
2019-03-28 10:11:00,9
2019-03-28 10:12:00,9
2019-03-28 10:13:00,1
2019-03-28 10:14:00,5
2019-03-28 10:15:00,8
2019-03-28 10:16:00,3
2019-03-28 10:17:00,6
2019-03-28 10:18:00,5
2019-03-28 10:19:00,2
2019-03-28 10:20:00,10
2019-03-28 10:21:00,3
2019-03-28 10:22:00,6
2019-03-28 10:23:00,8
2019-03-28 10:24:00,5
2019-03-28 10:25:00,2
2019-03-28 10:26:00,3
2019-03-28 10:27:00,5
2019-03-28 10:28:00,4
2019-03-28 10:29:00,4
2019-03-28 10:30:00,7
2019-03-28 10:31:00,5
2019-03-28 10:32:00,4
2019-03-28 10:33:00,1
2019-03-28 10:34:00,4
2019-03-28 10:35:00,7
2019-03-28 10:36:00,11
2019-03-28 10:37:00,12
2019-03-28 10:38:00,12
2019-03-28 10:39:00,8
2019-03-28 10:40:00,3
2019-03-28 10:41:00,3
2019-03-28 10:42:00,3
2019-03-28 10:43:00,6
2019-03-28 10:44:00,5
2019-03-28 10:45:00,5
2019-03-28 10:46:00,3
2019-03-28 10:47:00,4
2019-03-28 10:48:00,5
2019-03-28 10:49:00,3
2019-03-28 10:50:00,1
2019-03-28 11:00:00,2
2019-03-28 11:02:00,1
2019-03-28 11:11:00,1
2019-03-28 11:20:00,3
2019-03-28 11:21:00,1
2019-03-28 11:22:00,1
2019-03-28 11:24:00,1
2019-03-28 11:25:00,1
2019-03-28 11:27:00,1
2019-03-28 11:29:00,1
2019-03-28 11:30:00,1
2019-03-28 11:31:00,1
2019-03-28 11:32:00,1
2019-03-28 11:33:00,2
2019-03-28 11:34:00,1
2019-03-28 11:35:00,1
2019-03-28 11:45:00,1
2019-03-28 11:46:00,1
2019-03-28 11:49:00,1
2019-03-28 11:50:00,1
2019-03-28 11:51:00,2
2019-03-28 11:52:00,2
2019-03-28 11:53:00,1
2019-03-28 11:54:00,1
2019-03-28 11:55:00,1
2019-03-28 11:56:00,1
2019-03-28 11:59:00,1
2019-03-28 12:01:00,1
2019-03-28 12:02:00,2
2019-03-28 12:03:00,1
2019-03-28 12:04:00,1
2019-03-28 12:05:00,2
2019-03-28 12:06:00,1
2019-03-28 12:07:00,2
2019-03-28 12:08:00,1
2019-03-28 12:12:00,3
2019-03-28 12:13:00,6
2019-03-28 12:14:00,4
2019-03-28 12:15:00,2
2019-04-03 03:11:00,15
2019-04-03 03:12:00,25
2019-04-03 03:13:00,23
2019-04-03 03:14:00,22
2019-04-03 03:15:00,4
2019-04-03 03:26:00,9
2019-04-03 03:27:00,27
2019-04-03 03:28:00,24
2019-04-03 03:29:00,28
2019-04-03 03:30:00,23
2019-04-03 03:31:00,25
2019-04-03 03:32:00,24
2019-04-03 03:33:00,25
2019-04-03 03:34:00,40
2019-04-03 03:35:00,56
2019-04-03 03:36:00,43
2019-04-03 03:37:00,56
2019-04-03 03:38:00,52
2019-04-03 03:39:00,52
2019-04-03 03:40:00,32
2019-04-03 03:41:00,26
2019-04-03 03:42:00,18
2019-04-03 04:56:00,19
2019-04-03 04:57:00,26
2019-04-03 04:58:00,27
2019-04-03 04:59:00,28
2019-04-03 05:00:00,26
2019-04-03 05:01:00,25
2019-04-03 05:02:00,26
2019-04-03 05:03:00,23
2019-04-03 05:04:00,22
2019-04-03 05:05:00,26
2019-04-03 05:06:00,26
2019-04-03 05:07:00,25
2019-04-03 05:08:00,26
2019-04-03 05:09:00,25
2019-04-03 05:10:00,27
2019-04-03 05:11:00,19
2019-04-03 07:06:00,9
2019-04-03 07:07:00,12
2019-04-03 07:08:00,15
2019-04-03 07:09:00,13
2019-04-03 07:10:00,8
2019-04-03 07:11:00,12
2019-04-03 07:12:00,14
2019-04-03 07:13:00,9
2019-04-03 07:14:00,15
2019-04-03 07:15:00,10
2019-04-03 07:16:00,14
2019-04-03 07:17:00,11
2019-04-03 07:18:00,13
2019-04-03 07:19:00,13
2019-04-03 07:20:00,7
2019-04-03 07:21:00,16
2019-04-03 07:22:00,10
2019-04-03 07:23:00,10
2019-04-03 07:24:00,12
2019-04-03 07:25:00,11
2019-04-03 07:26:00,6
2019-04-03 07:27:00,11
2019-04-03 07:28:00,20
2019-04-03 07:29:00,13
2019-04-03 07:30:00,16
2019-04-03 07:31:00,11
2019-04-03 07:32:00,20
2019-04-03 07:33:00,17
2019-04-03 07:34:00,13
2019-04-03 07:35:00,11
2019-04-03 07:36:00,14
2019-04-03 07:37:00,3
2019-04-03 07:38:00,3
2019-04-03 07:39:00,11
2019-04-03 07:40:00,8
