392,"SELECT sp.ra, sp.dec, sp.z as redshift, sp.modelMag_g as g, sp.modelMagerr_g as err_g, sp.modelMag_i as i, sp.modelMagerr_i as err_i, gs.h_alpha_eqw, gs.oii_#_eqw, p.aperFlux7_g, p.aperFlux7Ivar_g as var_g, p.aperFlux7_i, p.aperFlux7Ivar_i as var_i FROM GalSpecLine AS gs JOIN SpecPhoto AS sp ON sp.specobjid = gs.specobjid JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS GN ON GN.specobjID = gs.specobjid JOIN Galaxy as gal ON gal.specobjId = gs.specobjid JOIN PhotoObjAll as p ON p.specObjId = gs.specobjID WHERE h_alpha_eqw between # and # and oii_#_eqw between # and # and sp.modelMag_g-sp.modelMag_i between # and # and sp.z between # and # and sp.modelMag_i-#*log1# (#E+#*sp.z) < #"
2019-02-19 10:33:00,1
2019-02-19 10:35:00,1
2019-02-19 18:58:00,1
2019-02-19 19:10:00,1
2019-02-19 19:12:00,1
2019-02-19 19:13:00,1
2019-02-19 19:14:00,1
2019-02-19 19:15:00,2
2019-02-19 19:16:00,1
2019-02-19 19:17:00,1
2019-02-19 19:18:00,2
2019-02-19 19:19:00,3
2019-02-19 19:21:00,1
2019-02-19 19:22:00,1
2019-02-19 19:23:00,1
2019-02-19 19:27:00,1
2019-02-19 19:28:00,2
2019-02-19 19:34:00,1
2019-02-19 19:35:00,1
2019-02-19 19:36:00,2
2019-02-19 19:37:00,2
2019-02-19 19:38:00,2
2019-02-19 19:39:00,2
2019-02-19 19:40:00,1
2019-02-19 19:41:00,1
2019-02-19 19:42:00,2
2019-02-19 19:45:00,1
2019-02-19 19:46:00,3
2019-02-19 19:47:00,3
2019-02-19 19:51:00,1
2019-02-19 20:03:00,1
2019-02-19 20:06:00,1
2019-02-19 20:07:00,1
2019-02-19 20:09:00,1
2019-02-19 20:20:00,1
2019-02-19 20:23:00,1
2019-02-19 20:27:00,1
2019-02-19 20:28:00,1
2019-02-19 20:30:00,1
2019-02-19 20:32:00,1
2019-02-19 20:33:00,2
2019-02-19 20:34:00,1
2019-02-19 20:35:00,1
2019-02-19 20:36:00,1
2019-02-19 20:37:00,3
2019-02-19 20:38:00,2
2019-02-19 20:39:00,2
2019-02-19 20:40:00,3
2019-02-19 20:58:00,1
2019-02-19 20:59:00,3
2019-02-19 21:00:00,2
2019-02-19 21:01:00,2
2019-02-19 21:02:00,1
2019-02-19 21:03:00,2
2019-02-19 21:05:00,2
2019-02-19 21:06:00,1
2019-02-19 21:07:00,2
2019-02-19 21:08:00,1
2019-02-19 21:09:00,2
2019-02-19 21:10:00,2
2019-02-19 21:11:00,1
2019-02-19 21:12:00,2
2019-02-19 21:13:00,1
2019-02-19 21:14:00,2
2019-02-19 21:16:00,2
2019-02-19 21:18:00,1
2019-02-19 21:19:00,1
2019-02-19 21:20:00,2
2019-02-19 21:21:00,2
2019-02-19 21:22:00,1
2019-02-19 21:24:00,2
2019-02-19 21:25:00,1
2019-02-24 16:06:00,1
2019-02-24 16:23:00,1
2019-02-24 16:25:00,1
2019-02-24 16:41:00,1
2019-02-24 17:07:00,1
2019-02-24 21:47:00,1
2019-02-28 16:52:00,1
2019-02-28 16:53:00,1
2019-03-01 02:48:00,1
2019-03-01 02:54:00,1
2019-03-01 02:55:00,1
2019-03-01 03:01:00,1
2019-03-01 03:04:00,1
2019-03-01 03:06:00,1
2019-03-01 03:10:00,1
2019-03-01 03:24:00,1
2019-03-01 03:29:00,1
2019-03-01 09:03:00,1
2019-03-12 14:41:00,1
2019-03-12 14:43:00,1
2019-03-12 14:48:00,1
2019-03-12 14:49:00,1
2019-03-12 14:50:00,1
2019-03-12 14:51:00,1
2019-03-12 14:52:00,2
2019-03-12 14:54:00,1
2019-03-12 14:59:00,3
2019-03-14 22:04:00,1
2019-03-14 22:07:00,1
2019-03-14 22:12:00,1
2019-03-14 22:23:00,1
2019-03-14 22:26:00,1
2019-03-14 22:46:00,1
2019-03-14 22:48:00,1
2019-03-14 22:49:00,1
2019-03-14 22:50:00,1
