165,"SELECT DISTINCT p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.extinction_u, p.extinction_g, p.extinction_r, p.extinction_i, p.extinction_z FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-01-23 07:48:00,1
2019-01-23 15:28:00,1
2019-01-23 15:34:00,2
2019-01-23 15:35:00,1
2019-01-23 15:36:00,3
2019-01-23 15:39:00,2
2019-01-23 18:55:00,1
2019-01-23 18:56:00,2
2019-01-23 18:57:00,1
2019-01-23 18:58:00,2
2019-01-23 18:59:00,1
2019-01-23 19:00:00,1
2019-01-23 19:01:00,2
2019-01-23 19:02:00,1
2019-01-23 19:03:00,2
2019-01-23 19:04:00,1
2019-01-23 19:05:00,2
2019-01-23 19:06:00,2
2019-01-23 19:07:00,1
2019-01-23 19:08:00,2
2019-01-23 19:09:00,1
2019-01-23 19:10:00,1
2019-01-24 06:57:00,1
2019-01-24 06:58:00,1
2019-01-24 06:59:00,3
2019-01-24 07:00:00,2
2019-01-24 07:01:00,2
2019-01-24 07:17:00,3
2019-01-24 07:18:00,3
2019-01-24 07:19:00,2
2019-01-24 07:20:00,2
2019-01-24 07:21:00,3
2019-01-24 07:22:00,1
2019-01-24 07:23:00,3
2019-01-24 07:24:00,1
2019-01-24 07:25:00,3
2019-01-24 07:26:00,2
2019-01-24 07:27:00,2
2019-01-24 07:28:00,4
2019-01-24 07:29:00,4
2019-01-24 07:30:00,4
2019-01-24 07:31:00,4
2019-01-24 07:32:00,3
2019-01-24 07:33:00,4
2019-01-24 07:34:00,4
2019-01-24 07:35:00,3
2019-01-24 07:36:00,4
2019-01-24 07:37:00,2
2019-01-24 07:39:00,2
2019-01-24 07:40:00,1
2019-01-24 07:41:00,3
2019-01-24 07:42:00,2
2019-01-24 07:43:00,2
2019-01-24 07:44:00,3
2019-01-24 07:45:00,2
2019-01-24 07:46:00,3
2019-01-24 07:47:00,1
2019-01-24 07:48:00,3
2019-01-24 07:49:00,2
2019-01-24 07:50:00,2
2019-01-24 07:51:00,3
2019-01-24 07:52:00,4
2019-01-24 07:53:00,1
2019-01-24 07:54:00,3
2019-01-24 07:55:00,4
2019-01-24 07:56:00,3
2019-01-24 07:57:00,2
2019-01-24 07:58:00,3
2019-01-24 07:59:00,3
2019-01-24 08:00:00,2
2019-01-24 08:01:00,3
2019-01-24 08:09:00,1
2019-01-24 08:10:00,1
2019-01-24 08:12:00,1
2019-01-24 09:32:00,1
2019-01-24 09:38:00,1
