246015,"SELECT d.*, s.class, s.subclass FROM dbo.fGetNearestSpecObjAllEq (#, #, #) as d, SpecObjAll as s WHERE d.specObjID = s.specObjID"
2019-01-15 01:00:00,2
2019-01-15 01:18:00,101
2019-01-15 01:22:00,102
2019-01-15 01:23:00,101
2019-01-15 01:24:00,88
2019-01-15 01:25:00,34
2019-01-15 01:33:00,270
2019-01-15 01:34:00,373
2019-01-15 01:35:00,413
2019-01-15 01:37:00,692
2019-01-15 01:39:00,842
2019-01-15 01:40:00,872
2019-01-15 01:41:00,957
2019-01-15 01:42:00,925
2019-01-15 01:43:00,931
2019-01-15 01:44:00,867
2019-01-15 01:45:00,922
2019-01-15 01:46:00,932
2019-01-15 01:47:00,985
2019-01-15 01:48:00,966
2019-01-15 01:49:00,979
2019-01-15 01:50:00,1009
2019-01-15 01:51:00,453
2019-01-15 01:55:00,402
2019-01-15 01:56:00,1063
2019-01-15 01:57:00,1102
2019-01-15 01:58:00,1073
2019-01-15 01:59:00,1016
2019-01-15 02:00:00,965
2019-01-15 02:01:00,1004
2019-01-15 02:02:00,880
2019-01-15 02:03:00,182
2019-01-15 02:49:00,440
2019-01-15 02:50:00,944
2019-01-15 02:51:00,1011
2019-01-15 02:52:00,1024
2019-01-15 02:53:00,1098
2019-01-15 02:54:00,1133
2019-01-15 02:55:00,1095
2019-01-15 02:56:00,1106
2019-01-15 02:57:00,1058
2019-01-15 02:58:00,998
2019-01-15 02:59:00,1075
2019-01-15 03:00:00,1113
2019-01-15 03:01:00,852
2019-01-15 03:02:00,1071
2019-01-15 03:03:00,1008
2019-01-15 03:04:00,1027
2019-01-15 03:05:00,1021
2019-01-15 03:06:00,981
2019-01-15 03:07:00,871
2019-01-15 03:08:00,905
2019-01-15 03:09:00,953
2019-01-15 03:10:00,970
2019-01-15 03:11:00,910
2019-01-15 03:12:00,317
2019-01-15 16:48:00,120
2019-01-15 16:49:00,986
2019-01-15 16:50:00,973
2019-01-15 16:51:00,1060
2019-01-15 16:52:00,979
2019-01-15 16:53:00,978
2019-01-15 16:54:00,836
2019-01-15 16:55:00,918
2019-01-15 16:56:00,1051
2019-01-15 16:57:00,1038
2019-01-15 16:58:00,926
2019-01-15 16:59:00,1073
2019-01-15 17:00:00,1149
2019-01-15 17:01:00,908
2019-01-15 17:02:00,1114
2019-01-15 17:03:00,1182
2019-01-15 17:04:00,1125
2019-01-15 17:05:00,1166
2019-01-15 17:06:00,982
2019-01-15 17:07:00,889
2019-01-15 17:08:00,899
2019-01-15 17:09:00,956
2019-01-15 17:10:00,979
2019-01-15 17:11:00,970
2019-01-15 17:12:00,910
2019-01-15 17:13:00,886
2019-01-15 17:14:00,916
2019-01-15 17:15:00,912
2019-01-15 17:16:00,856
2019-01-15 17:17:00,910
2019-01-15 17:18:00,957
2019-01-15 17:19:00,961
2019-01-15 17:20:00,778
2019-01-15 17:21:00,901
2019-01-15 17:22:00,923
2019-01-15 17:23:00,918
2019-01-15 17:24:00,904
2019-01-15 17:25:00,909
2019-01-15 17:26:00,901
2019-01-15 17:27:00,935
2019-01-15 17:28:00,900
2019-01-15 17:29:00,908
2019-01-15 17:30:00,603
2019-01-15 17:31:00,95
2019-01-15 18:43:00,404
2019-01-15 18:44:00,989
2019-01-15 18:45:00,1054
2019-01-15 18:46:00,997
2019-01-15 18:47:00,1015
2019-01-15 18:48:00,1188
2019-01-15 18:49:00,1123
2019-01-15 18:50:00,1094
2019-01-15 18:51:00,1090
2019-01-15 18:52:00,1042
2019-01-15 18:53:00,1090
2019-01-15 18:54:00,1154
2019-01-15 18:55:00,1081
2019-01-15 18:56:00,1033
2019-01-15 18:57:00,1115
2019-01-15 18:58:00,1181
2019-01-15 18:59:00,1159
2019-01-15 19:00:00,811
2019-01-15 19:01:00,992
2019-01-15 19:02:00,1066
2019-01-15 19:03:00,984
2019-01-15 19:04:00,1000
2019-01-15 19:05:00,1063
2019-01-15 19:06:00,773
2019-01-15 19:07:00,907
2019-01-15 19:08:00,934
2019-01-15 19:09:00,935
2019-01-15 19:10:00,535
2019-01-15 19:11:00,935
2019-01-15 19:12:00,905
2019-01-15 19:13:00,927
2019-01-15 19:14:00,974
2019-01-15 19:15:00,959
2019-01-15 19:16:00,920
2019-01-15 19:17:00,927
2019-01-15 19:18:00,893
2019-01-15 19:19:00,943
2019-01-15 19:20:00,906
2019-01-15 19:21:00,935
2019-01-15 19:22:00,881
2019-01-15 19:23:00,935
2019-01-15 19:24:00,914
2019-01-15 19:25:00,848
2019-01-15 19:26:00,1015
2019-01-15 19:27:00,991
2019-01-15 19:28:00,1025
2019-01-15 19:29:00,1056
2019-01-15 19:30:00,1100
2019-01-15 19:31:00,499
2019-05-23 17:19:00,101
2019-05-23 17:26:00,140
2019-05-23 18:17:00,114
2019-05-23 18:18:00,842
2019-05-23 18:19:00,602
2019-05-23 18:20:00,43
2019-05-23 18:21:00,198
2019-05-23 18:22:00,1
2019-05-23 18:47:00,113
2019-05-23 18:48:00,475
2019-05-23 18:49:00,1027
2019-05-23 18:50:00,919
2019-05-23 18:51:00,866
2019-05-23 18:52:00,808
2019-05-23 18:53:00,813
2019-05-23 18:54:00,835
2019-05-23 18:55:00,865
2019-05-23 18:56:00,825
2019-05-23 18:57:00,805
2019-05-23 18:58:00,800
2019-05-23 18:59:00,853
2019-05-23 19:00:00,828
2019-05-23 19:01:00,837
2019-05-23 19:02:00,829
2019-05-23 19:03:00,803
2019-05-23 19:04:00,855
2019-05-23 19:05:00,805
2019-05-23 19:06:00,802
2019-05-23 19:07:00,823
2019-05-23 19:08:00,854
2019-05-23 19:09:00,818
2019-05-23 19:10:00,793
2019-05-23 19:11:00,896
2019-05-23 19:12:00,828
2019-05-23 19:13:00,787
2019-05-23 19:14:00,830
2019-05-23 19:15:00,794
2019-05-23 19:16:00,825
2019-05-23 19:17:00,864
2019-05-23 19:18:00,832
2019-05-23 19:19:00,797
2019-05-23 19:20:00,846
2019-05-23 19:21:00,781
2019-05-23 19:22:00,715
2019-05-23 19:23:00,839
2019-05-23 19:24:00,872
2019-05-23 19:25:00,749
2019-05-23 19:26:00,895
2019-05-23 19:27:00,806
2019-05-23 19:28:00,795
2019-05-23 19:29:00,787
2019-05-23 19:30:00,854
2019-05-23 19:31:00,855
2019-05-23 19:32:00,841
2019-05-23 19:33:00,802
2019-05-23 19:34:00,791
2019-05-23 19:35:00,837
2019-05-23 19:36:00,855
2019-05-23 19:37:00,837
2019-05-23 19:38:00,829
2019-05-23 19:39:00,585
2019-06-07 16:16:00,1387
2019-06-07 16:17:00,1766
2019-06-07 16:18:00,1635
2019-06-07 16:19:00,1676
2019-06-07 16:20:00,1714
2019-06-07 16:21:00,1898
2019-06-07 16:22:00,1696
2019-06-07 16:23:00,1892
2019-06-07 16:24:00,1924
2019-06-07 16:25:00,2007
2019-06-07 16:26:00,1875
2019-06-07 16:27:00,1930
2019-06-07 16:28:00,1941
2019-06-07 16:29:00,2020
2019-06-07 16:30:00,2147
2019-06-07 16:31:00,1851
2019-06-07 16:32:00,1942
2019-06-07 16:33:00,2063
2019-06-07 16:34:00,2240
2019-06-07 16:35:00,2057
2019-06-07 16:36:00,1947
2019-06-07 16:37:00,2117
2019-06-07 16:38:00,1945
2019-06-07 16:39:00,2091
2019-06-07 16:40:00,1993
2019-06-07 16:41:00,2008
2019-06-07 16:42:00,1927
2019-06-07 16:43:00,2141
2019-06-07 16:44:00,1976
2019-06-07 16:45:00,1967
2019-06-07 16:46:00,2062
2019-06-07 16:47:00,1909
2019-06-07 16:48:00,1896
2019-06-07 16:49:00,2002
2019-06-07 16:50:00,1981
2019-06-07 16:51:00,1453
2019-08-23 15:24:00,101
2019-08-23 15:26:00,101
