23,"SELECT ra, dec, r FROM PhotoObj WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND r > # AND clean = #"
2019-02-20 23:11:00,1
2019-02-20 23:14:00,1
2019-04-22 12:50:00,1
2019-12-10 19:35:00,1
2019-12-11 19:25:00,1
2019-12-11 19:54:00,1
2019-12-11 20:01:00,1
2019-12-11 20:11:00,1
2019-12-11 20:20:00,1
2019-12-11 20:30:00,1
2019-12-11 20:41:00,1
2019-12-11 20:52:00,1
2019-12-11 21:04:00,1
2019-12-11 21:15:00,1
2019-12-11 21:41:00,1
2019-12-11 22:21:00,1
2019-12-11 22:28:00,1
2019-12-11 22:41:00,1
2019-12-11 22:49:00,1
2019-12-11 22:57:00,1
2019-12-11 23:17:00,1
2019-12-12 14:48:00,1
2019-12-17 17:29:00,1
