34,"SELECT TOP # p.objId, p.ra, p.dec, p.petror9#_r, p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z, s.z as z_spec, s.zErr FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # and #.*s.z< #"
2019-02-06 17:44:00,1
2019-02-06 17:45:00,1
2019-02-06 18:00:00,1
2019-02-06 18:04:00,1
2019-02-07 17:25:00,1
2019-02-09 14:50:00,1
2019-02-09 14:52:00,1
2019-02-09 14:58:00,1
2019-02-09 15:24:00,1
2019-02-09 15:52:00,1
2019-02-09 17:41:00,1
2019-02-11 00:20:00,1
2019-02-14 15:30:00,1
2019-02-14 16:54:00,1
2019-02-17 19:06:00,1
2019-02-19 16:17:00,1
2019-02-20 11:22:00,1
2019-02-20 11:40:00,1
2019-02-20 11:55:00,1
2019-02-20 12:00:00,1
2019-02-20 12:22:00,1
2019-02-20 12:38:00,1
2019-02-20 14:33:00,1
2019-02-20 14:57:00,1
2019-02-20 15:25:00,1
2019-02-20 16:55:00,1
2019-02-20 17:10:00,1
2019-02-20 17:36:00,1
2019-02-20 17:39:00,1
2019-02-20 18:56:00,1
2019-02-21 12:06:00,1
2019-02-21 17:46:00,1
2019-03-15 09:17:00,1
2019-03-15 09:26:00,1
