457,select objid from photoprimary where photoprimary.dec between # and .# and photoprimary.ra between .# and #
2019-03-07 14:51:00,1
2019-03-07 14:53:00,1
2019-03-07 14:58:00,1
2019-03-07 15:02:00,1
2019-03-07 15:03:00,1
2019-03-11 16:12:00,1
2019-03-11 16:56:00,4
2019-03-11 17:22:00,1
2019-03-11 17:30:00,1
2019-03-11 17:37:00,1
2019-03-11 17:40:00,1
2019-03-11 17:47:00,1
2019-03-11 17:58:00,1
2019-03-11 18:09:00,1
2019-03-11 18:10:00,1
2019-03-11 18:23:00,1
2019-03-11 18:37:00,1
2019-03-11 18:38:00,1
2019-03-11 18:46:00,1
2019-03-11 18:53:00,1
2019-03-11 19:05:00,1
2019-03-11 19:08:00,1
2019-03-11 19:10:00,1
2019-03-11 19:29:00,1
2019-03-11 19:38:00,1
2019-03-11 19:52:00,1
2019-03-11 20:13:00,1
2019-03-11 20:17:00,1
2019-03-11 20:42:00,1
2019-03-11 20:45:00,1
2019-03-11 21:42:00,6
2019-03-11 22:02:00,1
2019-03-11 22:04:00,1
2019-03-11 22:14:00,1
2019-03-11 22:15:00,1
2019-03-11 22:28:00,1
2019-03-11 22:32:00,1
2019-03-11 22:33:00,1
2019-03-11 22:48:00,2
2019-03-11 22:53:00,1
2019-03-11 23:03:00,1
2019-03-11 23:04:00,1
2019-03-11 23:10:00,1
2019-03-11 23:15:00,1
2019-03-11 23:27:00,1
2019-03-11 23:29:00,1
2019-03-11 23:44:00,1
2019-03-11 23:45:00,1
2019-03-11 23:46:00,1
2019-03-11 23:54:00,1
2019-03-12 00:10:00,1
2019-03-12 00:12:00,2
2019-03-12 00:26:00,1
2019-03-12 00:34:00,1
2019-03-12 00:41:00,6
2019-03-12 01:04:00,1
2019-03-12 01:06:00,1
2019-03-12 01:14:00,2
2019-03-12 01:25:00,1
2019-03-12 01:34:00,1
2019-03-12 01:47:00,1
2019-03-12 01:48:00,2
2019-03-12 02:02:00,1
2019-03-12 02:17:00,1
2019-03-12 02:18:00,1
2019-03-12 02:19:00,1
2019-03-12 02:38:00,1
2019-03-12 02:43:00,1
2019-03-12 02:54:00,1
2019-03-12 02:55:00,1
2019-03-12 03:05:00,1
2019-03-12 03:19:00,1
2019-03-12 03:27:00,6
2019-03-12 03:50:00,2
2019-03-12 03:55:00,1
2019-03-12 03:57:00,1
2019-03-12 04:16:00,1
2019-03-12 04:18:00,1
2019-03-12 04:19:00,1
2019-03-12 04:23:00,1
2019-03-12 04:41:00,1
2019-03-12 04:42:00,1
2019-03-12 04:46:00,1
2019-03-12 04:54:00,1
2019-03-12 05:06:00,1
2019-03-12 05:11:00,1
2019-03-12 05:27:00,1
2019-03-12 05:28:00,1
2019-03-12 05:31:00,1
2019-03-12 05:40:00,1
2019-03-12 05:49:00,1
2019-03-12 05:52:00,1
2019-03-12 06:07:00,2
2019-03-12 06:08:00,1
2019-03-12 06:26:00,1
2019-03-12 06:27:00,1
2019-03-12 06:28:00,1
2019-03-12 06:41:00,1
2019-03-12 06:43:00,1
2019-03-12 06:59:00,1
2019-03-12 07:00:00,2
2019-03-12 07:16:00,1
2019-03-12 10:27:00,6
2019-03-12 10:28:00,1
2019-03-12 10:46:00,1
2019-03-12 10:55:00,1
2019-03-12 11:00:00,1
2019-03-12 11:08:00,1
2019-03-12 11:18:00,1
2019-03-12 11:24:00,1
2019-03-12 11:34:00,1
2019-03-12 11:44:00,7
2019-03-12 12:09:00,2
2019-03-12 12:10:00,2
2019-03-12 12:26:00,1
2019-03-12 12:34:00,1
2019-03-12 12:40:00,1
2019-03-12 12:47:00,1
2019-03-12 12:48:00,1
2019-03-12 13:01:00,1
2019-03-12 13:04:00,1
2019-03-12 13:07:00,1
2019-03-12 13:18:00,1
2019-03-12 13:28:00,2
2019-03-12 13:34:00,1
2019-03-12 13:43:00,1
2019-03-12 13:47:00,1
2019-03-12 13:54:00,1
2019-03-12 14:02:00,1
2019-03-12 14:03:00,1
2019-03-12 14:14:00,1
2019-03-12 14:22:00,1
2019-03-12 14:24:00,1
2019-03-12 14:26:00,1
2019-03-12 14:38:00,1
2019-03-12 14:43:00,1
2019-03-12 14:50:00,1
2019-03-12 14:56:00,1
2019-03-12 15:04:00,1
2019-03-12 15:05:00,1
2019-03-12 15:16:00,1
2019-03-12 15:22:00,1
2019-03-12 15:25:00,1
2019-03-12 15:42:00,1
2019-03-12 15:48:00,6
2019-03-12 16:06:00,1
2019-03-12 16:15:00,1
2019-03-12 16:19:00,1
2019-03-12 16:21:00,1
2019-03-12 16:30:00,1
2019-03-12 16:34:00,1
2019-03-12 16:35:00,1
2019-03-12 16:45:00,1
2019-03-12 16:52:00,1
2019-03-12 17:01:00,1
2019-03-12 17:06:00,1
2019-03-12 17:12:00,1
2019-03-12 17:13:00,1
2019-03-12 17:26:00,1
2019-03-12 17:30:00,1
2019-03-12 17:38:00,1
2019-03-12 17:44:00,1
2019-03-12 17:46:00,1
2019-03-12 17:48:00,1
2019-03-12 18:02:00,1
2019-03-12 18:04:00,1
2019-03-12 18:19:00,1
2019-03-12 18:20:00,1
2019-03-12 18:21:00,1
2019-03-12 18:34:00,1
2019-03-12 18:39:00,1
2019-03-12 18:52:00,5
2019-03-12 19:10:00,1
2019-03-12 19:16:00,1
2019-03-12 19:21:00,1
2019-03-12 19:31:00,1
2019-03-12 19:40:00,1
2019-03-12 19:54:00,6
2019-03-12 20:24:00,6
2019-03-12 20:28:00,8
2019-03-12 20:29:00,19
2019-03-12 20:30:00,17
2019-03-12 20:31:00,21
2019-03-12 20:32:00,14
2019-03-12 20:33:00,10
2019-03-13 16:55:00,3
2019-03-13 16:56:00,2
2019-03-13 17:02:00,6
2019-03-13 17:05:00,5
