138674,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-01-01 15:58:00,1
2019-01-01 15:59:00,1
2019-01-01 18:16:00,1
2019-01-02 01:06:00,1
2019-01-02 01:08:00,1
2019-01-02 18:38:00,7
2019-01-02 18:39:00,28
2019-01-02 18:41:00,65
2019-01-02 18:42:00,57
2019-01-02 18:43:00,44
2019-01-02 18:44:00,64
2019-01-02 18:45:00,7
2019-01-02 18:47:00,61
2019-01-02 18:48:00,66
2019-01-02 18:54:00,42
2019-01-02 18:55:00,50
2019-01-02 18:56:00,101
2019-01-02 20:41:00,1
2019-01-02 20:46:00,1
2019-01-04 15:53:00,5
2019-01-04 15:54:00,107
2019-01-04 15:55:00,102
2019-01-04 15:56:00,138
2019-01-04 15:57:00,140
2019-01-04 15:58:00,103
2019-01-04 15:59:00,61
2019-01-04 20:12:00,61
2019-01-06 17:57:00,1
2019-01-08 18:01:00,189
2019-01-08 19:04:00,13
2019-01-08 19:12:00,92
2019-01-08 19:13:00,178
2019-01-08 19:14:00,83
2019-01-08 19:32:00,42
2019-01-08 19:33:00,11
2019-01-08 19:34:00,19
2019-01-08 19:35:00,119
2019-01-08 19:36:00,85
2019-01-08 19:37:00,26
2019-01-08 19:38:00,41
2019-01-08 19:40:00,53
2019-01-08 19:41:00,89
2019-01-08 19:45:00,134
2019-01-08 19:46:00,156
2019-01-08 19:47:00,35
2019-01-08 19:48:00,75
2019-01-08 19:49:00,114
2019-01-08 19:50:00,203
2019-01-08 19:51:00,222
2019-01-08 19:52:00,223
2019-01-08 19:53:00,68
2019-01-08 19:59:00,44
2019-01-08 20:00:00,18
2019-01-08 20:04:00,66
2019-01-08 20:05:00,121
2019-01-08 20:06:00,155
2019-01-08 20:07:00,153
2019-01-08 20:08:00,149
2019-01-08 20:09:00,158
2019-01-08 20:10:00,150
2019-01-08 20:11:00,134
2019-01-08 20:12:00,163
2019-01-08 20:13:00,136
2019-01-08 20:14:00,140
2019-01-08 20:15:00,142
2019-01-08 20:16:00,168
2019-01-08 20:17:00,190
2019-01-08 20:18:00,198
2019-01-08 20:19:00,211
2019-01-08 20:20:00,211
2019-01-08 20:21:00,206
2019-01-08 20:22:00,212
2019-01-08 20:23:00,216
2019-01-08 20:24:00,222
2019-01-08 20:25:00,141
2019-01-08 20:26:00,220
2019-01-08 20:27:00,207
2019-01-08 20:28:00,224
2019-01-08 20:29:00,215
2019-01-08 20:30:00,205
2019-01-08 20:31:00,219
2019-01-08 20:32:00,209
2019-01-08 20:33:00,215
2019-01-08 20:34:00,200
2019-01-08 20:35:00,204
2019-01-08 20:36:00,215
2019-01-08 20:37:00,216
2019-01-08 20:38:00,192
2019-01-08 20:39:00,182
2019-01-08 20:40:00,174
2019-01-08 20:41:00,160
2019-01-08 20:42:00,196
2019-01-08 20:43:00,172
2019-01-08 20:44:00,176
2019-01-08 20:45:00,162
2019-01-08 20:46:00,168
2019-01-08 20:47:00,195
2019-01-08 20:48:00,219
2019-01-08 20:49:00,217
2019-01-08 20:50:00,209
2019-01-08 20:51:00,180
2019-01-08 21:53:00,1
2019-01-08 21:54:00,1
2019-01-08 21:55:00,1
2019-01-08 22:24:00,1
2019-01-08 23:12:00,1
2019-01-09 01:02:00,1
2019-01-10 15:56:00,1
2019-01-15 02:17:00,3
2019-01-15 19:18:00,1
2019-01-15 21:35:00,1
2019-01-15 21:45:00,1
2019-01-15 22:45:00,1
2019-01-16 03:28:00,1
2019-01-16 03:44:00,1
2019-01-16 03:45:00,1
2019-01-16 06:38:00,23
2019-01-16 06:53:00,25
2019-01-16 16:58:00,1
2019-01-16 17:03:00,1
2019-01-16 17:25:00,1
2019-01-16 22:20:00,1
2019-01-16 22:24:00,1
2019-01-17 15:14:00,1
2019-01-17 15:15:00,1
2019-01-17 17:16:00,3
2019-01-17 20:37:00,1
2019-01-21 11:38:00,1
2019-01-21 11:39:00,5
2019-01-21 11:40:00,3
2019-01-21 11:45:00,1
2019-01-21 11:46:00,1
2019-01-21 11:47:00,1
2019-01-21 11:48:00,1
2019-01-21 11:50:00,1
2019-01-21 20:57:00,1
2019-01-21 21:05:00,1
2019-01-21 21:25:00,1
2019-01-21 21:28:00,1
2019-01-22 02:12:00,1
2019-01-22 17:50:00,1
2019-01-22 21:39:00,1
2019-01-23 04:19:00,1
2019-01-23 04:26:00,1
2019-01-23 07:35:00,1
2019-01-23 10:51:00,1
2019-01-23 10:53:00,2
2019-01-23 10:54:00,1
2019-01-23 11:00:00,1
2019-01-23 11:13:00,1
2019-01-23 11:37:00,1
2019-01-23 11:40:00,1
2019-01-23 11:46:00,1
2019-01-23 11:52:00,1
2019-01-23 12:08:00,1
2019-01-23 20:59:00,1
2019-01-23 23:10:00,53
2019-01-23 23:17:00,36
2019-01-23 23:18:00,17
2019-01-24 01:03:00,1
