187,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid = s.bestobjid and (p.z BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-04-30 22:48:00,1
2019-04-30 23:03:00,1
2019-12-03 18:25:00,1
2019-12-03 19:30:00,1
2019-12-03 20:05:00,1
2019-12-03 21:15:00,1
2019-12-03 21:31:00,1
2019-12-03 21:36:00,1
2019-12-03 21:46:00,1
2019-12-03 22:19:00,1
2019-12-03 22:26:00,1
2019-12-03 22:34:00,1
2019-12-03 22:37:00,1
2019-12-03 22:41:00,1
2019-12-03 22:48:00,1
2019-12-03 22:52:00,1
2019-12-03 23:33:00,1
2019-12-03 23:36:00,1
2019-12-03 23:42:00,1
2019-12-03 23:47:00,1
2019-12-03 23:49:00,1
2019-12-03 23:51:00,1
2019-12-03 23:57:00,1
2019-12-04 00:10:00,1
2019-12-04 00:15:00,1
2019-12-04 00:17:00,1
2019-12-04 00:22:00,1
2019-12-04 00:24:00,1
2019-12-04 00:28:00,1
2019-12-04 00:30:00,1
2019-12-04 00:40:00,1
2019-12-04 00:45:00,1
2019-12-04 00:46:00,1
2019-12-04 00:48:00,1
2019-12-04 00:50:00,1
2019-12-04 00:53:00,1
2019-12-04 00:57:00,1
2019-12-04 01:02:00,1
2019-12-04 01:04:00,1
2019-12-04 01:12:00,1
2019-12-04 01:14:00,1
2019-12-04 01:18:00,1
2019-12-04 01:20:00,1
2019-12-04 01:23:00,1
2019-12-04 01:26:00,1
2019-12-04 01:35:00,1
2019-12-04 01:38:00,1
2019-12-04 01:40:00,1
2019-12-04 01:41:00,1
2019-12-04 01:43:00,1
2019-12-04 01:44:00,1
2019-12-04 01:47:00,1
2019-12-04 01:48:00,1
2019-12-04 01:50:00,1
2019-12-04 01:54:00,1
2019-12-04 02:02:00,1
2019-12-04 02:06:00,1
2019-12-04 02:10:00,1
2019-12-04 02:14:00,1
2019-12-04 02:18:00,1
2019-12-04 02:32:00,1
2019-12-04 02:50:00,1
2019-12-04 10:29:00,1
2019-12-04 10:35:00,1
2019-12-04 10:38:00,1
2019-12-04 10:42:00,1
2019-12-04 10:46:00,1
2019-12-04 10:48:00,1
2019-12-04 10:54:00,1
2019-12-04 10:56:00,1
2019-12-04 10:58:00,1
2019-12-04 11:02:00,1
2019-12-04 11:32:00,1
2019-12-04 11:35:00,1
2019-12-04 11:38:00,1
2019-12-04 11:41:00,1
2019-12-04 11:43:00,1
2019-12-04 11:46:00,1
2019-12-04 11:49:00,1
2019-12-04 13:16:00,1
2019-12-04 13:20:00,1
2019-12-04 13:22:00,1
2019-12-04 13:25:00,1
2019-12-04 13:30:00,1
2019-12-04 13:33:00,1
2019-12-04 13:36:00,1
2019-12-04 13:38:00,1
2019-12-04 13:40:00,1
2019-12-04 13:41:00,1
2019-12-04 13:44:00,1
2019-12-04 13:46:00,1
2019-12-04 13:53:00,1
2019-12-04 13:58:00,1
2019-12-04 14:05:00,1
2019-12-04 14:07:00,1
2019-12-04 14:09:00,1
2019-12-04 14:12:00,1
2019-12-04 14:14:00,1
2019-12-04 14:16:00,1
2019-12-04 14:20:00,1
2019-12-04 14:21:00,1
2019-12-04 14:23:00,1
2019-12-04 14:25:00,1
2019-12-04 14:27:00,1
2019-12-04 14:31:00,1
2019-12-04 14:38:00,1
2019-12-04 15:58:00,1
2019-12-04 17:15:00,1
2019-12-04 17:20:00,1
2019-12-04 17:29:00,1
2019-12-04 17:31:00,1
2019-12-04 17:33:00,1
2019-12-04 17:39:00,1
2019-12-04 17:45:00,1
2019-12-04 17:47:00,1
2019-12-04 17:51:00,1
2019-12-04 19:36:00,1
2019-12-04 19:44:00,1
2019-12-04 19:50:00,1
2019-12-04 20:00:00,1
2019-12-04 20:15:00,1
2019-12-04 20:19:00,1
2019-12-04 20:22:00,1
2019-12-04 20:53:00,1
2019-12-05 16:59:00,1
2019-12-05 17:15:00,1
2019-12-05 17:19:00,1
2019-12-05 17:24:00,1
2019-12-05 17:28:00,1
2019-12-05 17:32:00,1
2019-12-05 17:37:00,1
2019-12-05 17:46:00,1
2019-12-05 17:50:00,1
2019-12-05 17:53:00,1
2019-12-05 17:59:00,1
2019-12-05 18:14:00,1
2019-12-05 18:17:00,1
2019-12-05 18:22:00,1
2019-12-05 18:26:00,1
2019-12-05 18:30:00,1
2019-12-05 20:17:00,1
2019-12-05 20:27:00,2
2019-12-05 20:37:00,1
