9086,"select ObjID, ra, dec FROM PhotoObj WHERE ObjID = #"
2019-05-14 22:44:00,1
2019-05-14 22:48:00,1
2019-05-14 23:00:00,10
2019-05-14 23:04:00,10
2019-05-14 23:05:00,1
2019-05-14 23:08:00,10
2019-05-14 23:34:00,1
2019-05-14 23:37:00,10
2019-05-14 23:43:00,2
2019-05-14 23:51:00,150
2019-05-14 23:52:00,243
2019-05-14 23:53:00,278
2019-05-14 23:54:00,268
2019-05-14 23:55:00,268
2019-05-14 23:56:00,252
2019-05-14 23:57:00,258
2019-05-14 23:58:00,252
2019-05-14 23:59:00,261
2019-05-15 00:00:00,271
2019-05-15 00:01:00,273
2019-05-15 00:02:00,254
2019-05-15 00:03:00,252
2019-05-15 00:04:00,259
2019-05-15 00:05:00,250
2019-05-15 00:06:00,272
2019-05-15 00:07:00,277
2019-05-15 00:08:00,264
2019-05-15 00:09:00,248
2019-05-15 00:10:00,259
2019-05-15 00:11:00,257
2019-05-15 00:12:00,272
2019-05-15 00:13:00,279
2019-05-15 00:14:00,269
2019-05-15 00:15:00,253
2019-05-15 00:16:00,255
2019-05-15 00:17:00,261
2019-05-15 00:18:00,278
2019-05-15 00:19:00,280
2019-05-15 00:20:00,279
2019-05-15 00:21:00,251
2019-05-15 00:22:00,263
2019-05-15 00:23:00,262
2019-05-15 00:24:00,267
2019-05-15 00:25:00,193
2019-05-15 17:44:00,2
2019-05-15 17:48:00,1
2019-05-15 17:49:00,4
2019-05-15 17:54:00,1
2019-05-15 17:55:00,4
