18,"SELECT EID, [Pairs_matching_completion_status_#], [When_pairs_test_completed_#], [Number_of_correct_matches_in_round_#], [Number_of_incorrect_matches_in_round_#], [Time_to_complete_round_#] FROM Pairs_matching_# GO"
2019-04-15 13:26:00,1
2019-04-15 13:36:00,1
2019-04-16 08:57:00,1
2019-04-16 08:59:00,1
2019-04-16 10:13:00,1
2019-04-16 10:15:00,1
2019-04-16 10:18:00,1
2019-04-17 11:28:00,1
2019-04-23 09:45:00,1
2019-04-23 10:53:00,1
2019-04-24 09:56:00,1
2019-04-24 13:21:00,1
2019-04-29 11:39:00,1
2019-04-30 11:45:00,1
2019-04-30 15:39:00,1
2019-05-01 09:28:00,1
2019-05-02 09:35:00,1
2019-05-02 10:37:00,1
