56,"select top # p.objid, ra, dec, u, g, r, i from PhotoPrimary p, dbo.fGetNearbyObjEq (#, #, #) n where p.objID = n.objID"
2019-02-22 05:54:00,1
2019-03-03 08:08:00,1
2019-03-03 08:25:00,1
2019-03-03 08:41:00,1
2019-03-03 08:50:00,1
2019-03-03 09:03:00,1
2019-03-03 09:15:00,1
2019-03-03 09:24:00,1
2019-03-03 10:43:00,1
2019-03-03 11:47:00,1
2019-03-03 12:16:00,1
2019-03-30 14:08:00,1
2019-03-30 16:17:00,1
2019-03-30 17:03:00,1
2019-03-30 17:05:00,1
2019-03-30 17:07:00,1
2019-03-30 17:09:00,1
2019-03-30 17:10:00,1
2019-03-30 17:11:00,1
2019-03-30 17:12:00,1
2019-03-30 17:14:00,1
2019-03-30 17:15:00,1
2019-03-30 17:29:00,1
2019-03-30 17:30:00,1
2019-03-30 17:32:00,1
2019-03-30 17:38:00,1
2019-03-30 17:43:00,1
2019-03-30 17:49:00,1
2019-03-30 17:56:00,1
2019-03-30 18:37:00,1
2019-03-30 18:48:00,1
2019-03-30 18:50:00,1
2019-03-30 18:53:00,1
2019-03-30 19:08:00,1
2019-03-30 19:11:00,1
2019-03-30 19:17:00,1
2019-03-30 19:18:00,1
2019-03-30 19:20:00,1
2019-03-30 19:21:00,1
2019-03-30 19:23:00,1
2019-03-30 19:26:00,1
2019-03-30 19:29:00,1
2019-03-30 19:30:00,1
2019-03-30 19:33:00,1
2019-03-30 19:36:00,1
2019-03-30 19:38:00,1
2019-03-30 19:41:00,1
2019-03-31 06:10:00,1
2019-03-31 06:17:00,1
2019-04-02 12:38:00,1
2019-04-02 16:33:00,1
2019-06-04 17:51:00,1
2019-06-04 17:55:00,1
2019-11-14 03:33:00,1
2019-11-14 03:36:00,1
2019-11-14 04:21:00,1
