108,"SELECT ALL elpetro_absmag_f, elpetro_b3#, elpetro_b1#, field, ra, dec, nsaid FROM nsatlas WHERE nsaid = #"
2019-05-12 18:58:00,1
2019-05-12 19:00:00,1
2019-05-12 19:01:00,2
2019-05-12 19:02:00,1
2019-05-12 19:03:00,1
2019-05-12 19:04:00,4
2019-05-12 19:05:00,2
2019-05-12 19:06:00,2
2019-05-12 19:07:00,1
2019-05-12 19:08:00,6
2019-05-12 19:09:00,6
2019-05-12 19:10:00,5
2019-05-12 19:11:00,3
2019-05-12 19:12:00,1
2019-05-12 19:13:00,5
2019-05-12 19:14:00,6
2019-05-12 19:15:00,4
2019-05-12 19:16:00,6
2019-05-12 19:17:00,5
2019-05-12 19:18:00,4
2019-05-12 19:19:00,6
2019-05-12 19:20:00,5
2019-05-12 19:21:00,6
2019-05-12 19:22:00,7
2019-05-12 19:23:00,6
2019-05-12 19:24:00,5
2019-05-12 19:25:00,3
2019-05-12 19:26:00,1
2019-05-19 21:23:00,1
2019-05-20 20:50:00,1
2019-06-02 20:30:00,1
