232,select objid from photoobjall where photoobjall.dec between .# and # and photoobjall.ra between # and #
2019-02-27 06:39:00,1
2019-02-27 06:40:00,1
2019-02-27 09:22:00,3
2019-02-27 14:04:00,3
2019-02-27 20:26:00,1
2019-02-28 07:30:00,1
2019-02-28 07:31:00,12
2019-02-28 08:07:00,1
2019-02-28 08:31:00,1
2019-02-28 08:53:00,1
2019-03-03 13:49:00,2
2019-03-06 17:46:00,1
2019-03-06 21:11:00,1
2019-03-06 21:17:00,1
2019-03-06 21:23:00,1
2019-03-06 21:51:00,1
2019-03-06 21:57:00,1
2019-03-06 22:19:00,1
2019-03-06 22:23:00,1
2019-03-06 22:42:00,1
2019-03-06 22:43:00,1
2019-03-06 23:07:00,1
2019-03-06 23:08:00,1
2019-03-06 23:10:00,1
2019-03-06 23:22:00,1
2019-03-06 23:26:00,1
2019-03-06 23:47:00,1
2019-03-06 23:51:00,1
2019-03-07 00:01:00,1
2019-03-07 00:07:00,1
2019-03-07 00:08:00,1
2019-03-07 00:10:00,1
2019-03-07 00:45:00,2
2019-03-07 00:47:00,1
2019-03-07 00:54:00,1
2019-03-07 01:47:00,1
2019-03-07 02:04:00,1
2019-03-07 02:06:00,1
2019-03-07 02:19:00,1
2019-03-07 02:58:00,1
2019-03-07 03:16:00,1
2019-03-07 04:04:00,1
2019-03-07 04:27:00,1
2019-03-07 12:43:00,2
2019-03-07 12:47:00,2
2019-03-07 12:53:00,1
2019-03-14 04:25:00,1
2019-03-14 05:16:00,1
2019-03-14 06:18:00,1
2019-03-14 06:19:00,4
2019-03-14 06:20:00,2
2019-03-14 06:23:00,4
2019-03-14 06:24:00,5
2019-03-14 06:25:00,2
2019-03-14 06:27:00,1
2019-03-14 10:05:00,1
2019-03-14 11:09:00,1
2019-03-14 11:11:00,1
2019-03-14 11:20:00,1
2019-03-14 11:22:00,3
2019-03-14 11:23:00,2
2019-03-14 11:29:00,1
2019-03-14 11:36:00,1
2019-03-14 11:37:00,1
2019-03-14 11:46:00,1
2019-03-14 11:47:00,1
2019-03-14 11:51:00,2
2019-03-14 11:52:00,1
2019-03-14 11:53:00,1
2019-03-14 11:55:00,1
2019-03-14 11:56:00,2
2019-03-14 12:29:00,1
2019-03-14 12:30:00,1
2019-03-14 12:44:00,1
2019-03-14 12:45:00,1
2019-03-14 12:58:00,2
2019-03-14 12:59:00,3
2019-03-14 13:00:00,4
2019-03-14 13:01:00,4
2019-03-14 13:02:00,4
2019-03-14 13:03:00,3
2019-03-14 13:04:00,3
2019-03-14 13:05:00,5
2019-03-14 13:06:00,2
2019-03-14 13:07:00,1
2019-03-14 13:08:00,2
2019-03-14 13:09:00,2
2019-03-14 13:10:00,3
2019-03-14 13:11:00,5
2019-03-14 13:12:00,2
2019-03-14 13:13:00,2
2019-03-14 13:14:00,1
2019-03-14 13:16:00,2
2019-03-14 13:17:00,4
2019-03-14 13:18:00,2
2019-03-14 13:19:00,2
2019-03-14 13:20:00,4
2019-03-14 13:21:00,9
2019-03-14 13:22:00,6
2019-03-14 13:23:00,2
2019-03-14 13:24:00,3
2019-03-14 13:25:00,5
2019-03-14 13:26:00,3
2019-03-14 13:27:00,3
2019-03-14 13:28:00,5
2019-03-14 13:29:00,5
2019-03-14 13:30:00,2
2019-03-14 13:31:00,6
2019-03-14 13:32:00,4
2019-03-14 13:33:00,3
2019-03-14 13:34:00,3
