81,"select # as Column1, # as Column2 into MyDB.MyNewtable1"
2019-01-26 18:29:00,1
2019-01-26 18:36:00,1
2019-01-26 18:50:00,1
2019-02-05 09:18:00,1
2019-02-11 15:03:00,1
2019-02-11 15:13:00,1
2019-02-11 15:38:00,1
2019-02-27 12:51:00,1
2019-02-27 13:29:00,1
2019-03-01 13:19:00,1
2019-03-01 15:33:00,1
2019-03-03 06:37:00,1
2019-03-04 03:53:00,1
2019-03-05 18:12:00,1
2019-03-05 18:25:00,1
2019-03-25 11:58:00,1
2019-03-26 11:06:00,1
2019-04-04 15:33:00,1
2019-04-11 04:48:00,1
2019-04-11 05:09:00,1
2019-04-11 07:01:00,1
2019-04-11 07:03:00,1
2019-04-29 17:53:00,2
2019-04-30 15:54:00,1
2019-05-06 05:35:00,1
2019-05-08 04:15:00,1
2019-05-15 11:14:00,1
2019-05-17 08:41:00,1
2019-05-21 17:57:00,1
2019-05-22 08:34:00,1
2019-05-26 09:57:00,1
2019-05-26 10:04:00,1
2019-05-26 10:08:00,1
2019-06-06 08:45:00,1
2019-06-08 10:23:00,1
2019-06-10 15:24:00,1
2019-06-10 15:31:00,1
2019-06-12 04:10:00,1
2019-06-12 04:30:00,1
2019-06-14 12:52:00,1
2019-06-17 07:00:00,1
2019-06-26 17:15:00,1
2019-06-26 17:23:00,1
2019-07-08 00:10:00,1
2019-07-08 00:15:00,1
2019-07-08 00:27:00,1
2019-07-08 12:13:00,1
2019-07-14 13:23:00,1
2019-07-15 07:26:00,1
2019-07-16 09:30:00,1
2019-07-30 17:51:00,1
2019-07-30 18:03:00,1
2019-08-09 02:28:00,1
2019-08-12 16:36:00,1
2019-08-12 16:38:00,1
2019-08-12 16:40:00,1
2019-08-12 16:46:00,1
2019-08-23 12:04:00,1
2019-09-26 04:20:00,1
2019-09-26 04:39:00,1
2019-10-03 17:22:00,1
2019-10-03 19:42:00,1
2019-11-03 17:30:00,1
2019-11-09 10:50:00,1
2019-11-09 10:59:00,1
2019-11-20 12:50:00,1
2019-12-04 14:42:00,1
2019-12-04 16:45:00,1
2019-12-10 07:44:00,1
2019-12-13 16:50:00,1
2019-12-13 16:54:00,1
2019-12-13 17:00:00,1
2019-12-17 00:25:00,1
2019-12-17 00:40:00,1
2019-12-17 00:53:00,1
2019-12-17 07:24:00,1
2019-12-19 15:30:00,1
2019-12-30 09:03:00,1
2019-12-30 09:29:00,1
2019-12-30 09:32:00,1
