45,"select z, class, ObjID, specObjID, ra, dec from SpecPhotoAll where ra BETWEEN # and # AND dec BETWEEN # and # AND class = # AND z> .# AND z< .#"
2019-07-19 21:53:00,1
2019-07-29 16:06:00,1
2019-07-29 16:17:00,1
2019-07-29 16:31:00,2
2019-07-29 16:32:00,1
2019-07-29 16:43:00,1
2019-07-29 17:18:00,1
2019-07-29 17:28:00,1
2019-07-29 17:29:00,1
2019-07-29 17:44:00,1
2019-07-29 19:40:00,1
2019-07-29 19:41:00,1
2019-07-29 19:42:00,1
2019-07-29 19:55:00,1
2019-07-29 20:03:00,1
2019-07-29 20:04:00,1
2019-07-29 20:15:00,1
2019-07-29 20:19:00,1
2019-07-29 20:28:00,3
2019-07-29 20:36:00,1
2019-07-29 21:21:00,1
2019-07-29 22:10:00,1
2019-07-29 22:14:00,1
2019-07-29 22:37:00,1
2019-07-29 22:41:00,1
2019-07-30 16:10:00,1
2019-07-30 16:33:00,1
2019-07-30 17:06:00,1
2019-07-30 17:34:00,1
2019-07-30 17:59:00,1
2019-07-30 18:23:00,1
2019-07-30 18:45:00,1
2019-07-30 19:16:00,1
2019-07-30 19:17:00,1
2019-07-30 19:26:00,1
2019-07-30 19:43:00,1
2019-07-30 20:45:00,1
2019-07-30 20:49:00,1
2019-07-30 21:10:00,1
2019-07-30 21:48:00,1
2019-07-31 16:57:00,1
2019-07-31 16:58:00,1
