30,"INSERT INTO #upload values (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #) , (#, #, #"
2019-03-12 14:44:00,1
2019-03-12 14:47:00,1
2019-03-12 14:48:00,1
2019-03-12 14:51:00,1
2019-03-12 14:53:00,2
2019-03-12 14:57:00,1
2019-03-12 14:58:00,2
2019-03-12 14:59:00,5
2019-03-12 15:01:00,3
2019-03-12 15:11:00,1
2019-03-12 15:13:00,2
2019-03-12 15:14:00,1
2019-03-12 15:16:00,1
2019-03-13 15:06:00,1
2019-03-13 15:07:00,1
2019-03-13 15:17:00,1
2019-03-13 15:18:00,1
2019-03-13 15:19:00,1
2019-05-28 15:14:00,1
2019-11-01 15:02:00,1
2019-11-01 15:07:00,1
