1015,select objid from photoobj where photoobj.dec between -.# and -.# and photoobj.ra between # and #
2019-02-26 22:35:00,3
2019-02-26 23:19:00,4
2019-02-26 23:27:00,1
2019-02-27 01:02:00,1
2019-02-27 01:14:00,2
2019-02-27 01:25:00,4
2019-02-27 01:27:00,10
2019-02-27 01:28:00,1
2019-02-27 01:29:00,2
2019-02-27 01:30:00,2
2019-02-27 04:28:00,3
2019-02-27 04:29:00,2
2019-02-27 06:13:00,1
2019-02-27 06:34:00,2
2019-02-27 09:58:00,4
2019-02-27 09:59:00,6
2019-02-27 10:00:00,4
2019-02-27 10:01:00,5
2019-02-27 10:02:00,6
2019-02-27 10:06:00,7
2019-02-27 10:07:00,7
2019-02-27 11:22:00,1
2019-02-27 14:12:00,3
2019-02-27 14:17:00,2
2019-02-27 14:18:00,1
2019-02-27 14:33:00,1
2019-02-27 14:36:00,1
2019-02-27 14:38:00,1
2019-02-27 21:19:00,4
2019-02-27 21:20:00,1
2019-02-28 00:19:00,1
2019-02-28 00:20:00,7
2019-02-28 03:56:00,10
2019-02-28 04:51:00,1
2019-02-28 23:24:00,1
2019-02-28 23:25:00,2
2019-03-01 00:19:00,4
2019-03-01 00:26:00,3
2019-03-01 10:58:00,1
2019-03-01 13:52:00,1
2019-03-02 04:46:00,2
2019-03-02 04:47:00,14
2019-03-02 04:48:00,5
2019-03-02 09:15:00,5
2019-03-02 09:16:00,2
2019-03-02 16:48:00,1
2019-03-02 17:12:00,1
2019-03-02 17:13:00,1
2019-03-02 20:38:00,1
2019-03-03 13:10:00,2
2019-03-03 13:12:00,1
2019-03-03 13:14:00,4
2019-03-03 13:15:00,1
2019-03-03 13:32:00,2
2019-03-03 13:59:00,2
2019-03-03 14:27:00,9
2019-03-03 14:28:00,12
2019-03-03 14:30:00,7
2019-03-03 14:32:00,4
2019-03-03 14:33:00,30
2019-03-03 14:34:00,2
2019-03-03 14:35:00,6
2019-03-03 14:36:00,1
2019-03-03 14:37:00,7
2019-03-03 14:53:00,1
2019-03-03 16:18:00,2
2019-03-04 18:21:00,3
2019-03-04 20:50:00,2
2019-03-04 20:51:00,4
2019-03-04 22:03:00,1
2019-03-04 22:52:00,1
2019-03-04 23:04:00,2
2019-03-04 23:05:00,4
2019-03-04 23:10:00,3
2019-03-05 06:05:00,3
2019-03-05 06:08:00,13
2019-03-05 06:09:00,3
2019-03-05 07:43:00,1
2019-03-05 07:59:00,1
2019-03-05 08:12:00,21
2019-03-05 08:23:00,2
2019-03-05 10:26:00,6
2019-03-05 10:27:00,3
2019-03-05 11:57:00,4
2019-03-05 16:20:00,7
2019-03-05 16:21:00,1
2019-03-05 17:09:00,1
2019-03-05 17:23:00,3
2019-03-05 17:40:00,13
2019-03-05 17:41:00,5
2019-03-05 17:42:00,2
2019-03-06 18:51:00,6
2019-03-06 19:10:00,2
2019-03-06 19:11:00,4
2019-03-06 19:28:00,4
2019-03-06 20:02:00,4
2019-03-06 20:03:00,4
2019-03-07 04:31:00,5
2019-03-07 04:47:00,4
2019-03-07 06:08:00,5
2019-03-07 06:09:00,4
2019-03-07 07:06:00,2
2019-03-07 07:07:00,4
2019-03-07 07:08:00,6
2019-03-07 07:09:00,8
2019-03-07 07:10:00,8
2019-03-07 07:11:00,6
2019-03-07 07:12:00,12
2019-03-07 07:13:00,5
2019-03-07 07:14:00,8
2019-03-07 07:15:00,8
2019-03-07 07:16:00,4
2019-03-07 07:17:00,7
2019-03-07 07:18:00,6
2019-03-07 07:21:00,8
2019-03-07 07:22:00,12
2019-03-07 07:23:00,6
2019-03-07 10:18:00,6
2019-03-07 10:19:00,7
2019-03-07 10:20:00,2
2019-03-07 10:21:00,4
2019-03-07 10:22:00,1
2019-03-07 10:23:00,3
2019-03-07 10:24:00,7
2019-03-07 10:25:00,1
2019-03-07 10:36:00,1
2019-03-07 10:48:00,6
2019-03-07 10:49:00,4
2019-03-07 10:50:00,4
2019-03-07 10:51:00,8
2019-03-07 10:52:00,4
2019-03-07 10:53:00,7
2019-03-07 10:54:00,7
2019-03-07 10:55:00,6
2019-03-07 10:56:00,8
2019-03-07 10:57:00,5
2019-03-07 10:58:00,5
2019-03-07 10:59:00,1
2019-03-07 11:00:00,4
2019-03-07 11:01:00,9
2019-03-07 11:02:00,9
2019-03-07 11:03:00,8
2019-03-07 11:04:00,16
2019-03-07 11:05:00,6
2019-03-07 11:06:00,6
2019-03-07 11:08:00,5
2019-03-07 12:40:00,4
2019-03-07 13:28:00,1
2019-03-07 13:29:00,8
2019-03-07 13:30:00,8
2019-03-07 13:31:00,7
2019-03-07 13:32:00,2
2019-03-07 13:41:00,5
2019-03-08 02:54:00,2
2019-03-08 02:55:00,10
2019-03-08 02:56:00,1
2019-03-08 02:58:00,6
2019-03-08 02:59:00,5
2019-03-08 03:01:00,3
2019-03-08 03:11:00,2
2019-03-08 03:12:00,3
2019-03-08 03:26:00,2
2019-03-08 03:27:00,4
2019-03-08 03:59:00,4
2019-03-08 07:23:00,1
2019-03-08 07:36:00,7
2019-03-08 07:39:00,2
2019-03-08 07:41:00,5
2019-03-08 08:44:00,8
2019-03-08 08:46:00,8
2019-03-08 09:13:00,3
2019-03-08 09:18:00,5
2019-03-08 09:19:00,2
2019-03-11 21:42:00,1
2019-03-14 03:01:00,5
2019-03-14 03:12:00,4
2019-03-14 03:14:00,1
2019-03-14 03:15:00,1
2019-03-14 03:29:00,13
2019-03-14 03:31:00,3
2019-03-14 03:33:00,4
2019-03-14 04:08:00,1
2019-03-14 04:17:00,1
2019-03-14 04:18:00,1
2019-03-14 05:31:00,4
2019-03-14 05:32:00,2
2019-03-14 05:42:00,11
2019-03-14 05:43:00,11
2019-03-14 05:44:00,2
2019-03-14 05:45:00,5
2019-03-14 05:46:00,9
2019-03-14 05:54:00,2
2019-03-14 05:56:00,2
2019-03-14 05:58:00,2
2019-03-14 06:13:00,9
