23,"SELECT u.up_name as [name], p.objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoTypeN (p.type) as type, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoTag p ON p.objID = x.objID ORDER BY x.up_id"
2019-01-22 21:35:00,1
2019-01-22 22:11:00,1
2019-03-01 20:34:00,1
2019-03-06 06:08:00,1
2019-03-06 06:12:00,1
2019-03-06 06:19:00,1
2019-04-22 04:00:00,1
2019-04-22 04:05:00,1
2019-04-22 04:08:00,1
2019-04-22 04:12:00,1
2019-04-22 04:14:00,1
2019-04-22 04:16:00,1
2019-04-22 04:20:00,1
2019-04-22 04:21:00,1
2019-04-22 04:24:00,1
2019-04-22 04:26:00,1
2019-04-22 04:27:00,1
2019-04-22 04:29:00,1
2019-04-22 04:31:00,1
2019-04-22 04:33:00,1
2019-04-22 04:35:00,1
2019-04-22 04:36:00,1
2019-10-25 13:36:00,1
