2559,select count (*) as thecount
2019-05-08 12:30:00,2
2019-05-08 12:31:00,1
2019-05-08 12:33:00,1
2019-05-08 12:39:00,1
2019-05-08 12:40:00,1
2019-05-08 12:41:00,1
2019-05-08 12:42:00,1
2019-05-08 12:45:00,1
2019-05-08 12:48:00,1
2019-05-08 13:06:00,1
2019-05-08 13:07:00,1
2019-05-08 13:08:00,1
2019-05-08 13:22:00,1
2019-05-08 13:31:00,1
2019-05-08 13:56:00,1
2019-05-08 14:53:00,1
2019-05-08 15:14:00,1
2019-05-08 16:18:00,1
2019-05-08 16:40:00,1
2019-05-08 16:42:00,1
2019-05-09 14:04:00,1
2019-05-09 14:05:00,1
2019-05-09 14:28:00,1
2019-05-09 15:26:00,1
2019-05-09 15:29:00,1
2019-05-09 15:37:00,1
2019-05-09 15:50:00,1
2019-05-09 17:06:00,1
2019-05-09 17:09:00,1
2019-05-10 12:50:00,1
2019-05-10 13:26:00,1
2019-05-10 14:00:00,1
2019-05-10 15:51:00,1
2019-05-10 16:42:00,2
2019-05-15 11:03:00,1
2019-05-15 11:32:00,1
2019-05-15 11:33:00,1
2019-05-15 12:59:00,1
2019-05-15 13:04:00,1
2019-05-15 13:10:00,1
2019-05-15 13:19:00,2
2019-05-15 13:20:00,2
2019-05-15 13:23:00,2
2019-05-15 13:26:00,1
2019-05-15 13:31:00,1
2019-05-15 13:34:00,1
2019-05-15 13:39:00,1
2019-05-15 13:42:00,1
2019-05-15 13:45:00,1
2019-05-15 13:51:00,2
2019-05-15 13:55:00,2
2019-05-15 13:59:00,1
2019-05-15 14:04:00,1
2019-05-15 14:08:00,1
2019-05-15 14:12:00,1
2019-05-15 14:19:00,1
2019-05-15 14:23:00,2
2019-05-15 14:28:00,1
2019-05-15 14:41:00,1
2019-05-15 14:44:00,1
2019-05-15 14:46:00,1
2019-05-15 14:48:00,1
2019-05-15 14:53:00,1
2019-05-15 14:56:00,1
2019-05-15 14:58:00,1
2019-05-15 15:00:00,1
2019-05-15 15:01:00,1
2019-05-15 15:03:00,1
2019-05-15 15:22:00,1
2019-05-15 15:24:00,1
2019-05-15 15:27:00,1
2019-05-15 15:29:00,1
2019-05-15 16:03:00,1
2019-05-15 16:06:00,1
2019-05-15 16:09:00,1
2019-05-15 16:10:00,1
2019-05-15 16:14:00,1
2019-05-15 16:16:00,1
2019-05-15 16:19:00,1
2019-05-15 16:21:00,2
2019-05-15 16:24:00,1
2019-05-15 16:27:00,1
2019-05-15 16:29:00,1
2019-05-15 16:32:00,2
2019-05-15 16:33:00,1
2019-05-15 16:34:00,1
2019-05-15 16:38:00,3
2019-05-15 16:44:00,1
2019-05-15 16:50:00,1
2019-05-15 17:02:00,1
2019-05-15 17:16:00,1
2019-05-15 17:29:00,1
2019-05-15 17:31:00,1
2019-05-15 17:43:00,2
2019-05-15 17:57:00,1
2019-05-15 18:02:00,1
2019-05-15 18:07:00,1
2019-05-15 18:09:00,1
2019-05-15 18:12:00,1
