25,"SELECT p.objId, p.ra, p.dec, p.petror9#_r, p.expAB_r, p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i, s.z, s.plate, s.mjd, s.fiberid, pz.absMagR, pz.absMagU, pz.absMagI, pz.absMagG FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN Photoz as pz ON pz.objiD = p.objiD WHERE p.petror9#_r > # and p.ra between # and # and s.z < # and p.g < #"
2019-11-28 07:25:00,1
2019-11-29 09:43:00,1
2019-11-29 09:44:00,1
2019-11-29 09:45:00,1
2019-11-29 09:49:00,1
2019-11-29 09:51:00,1
2019-11-29 11:06:00,1
2019-11-29 14:22:00,1
2019-11-29 15:49:00,1
2019-11-29 18:00:00,1
2019-11-29 19:07:00,1
2019-11-30 12:30:00,1
2019-11-30 12:40:00,1
2019-12-01 07:15:00,1
2019-12-01 07:29:00,1
2019-12-01 07:30:00,2
2019-12-01 07:35:00,1
2019-12-01 07:36:00,1
2019-12-01 07:49:00,1
2019-12-01 10:13:00,1
2019-12-29 17:48:00,1
2019-12-29 17:50:00,1
2019-12-29 17:52:00,1
2019-12-29 17:56:00,1
