39,"SELECT p.objid, p.run, p.rerun, p.camcol, p.field, p.obj, p.type, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z FROM fGetObjFromRect (#, #, #, #) n, PhotoPrimary p WHERE n.objID = p.objID"
2019-03-22 01:20:00,1
2019-04-30 06:02:00,1
2019-04-30 06:08:00,1
2019-04-30 06:09:00,1
2019-04-30 06:31:00,1
2019-04-30 07:43:00,1
2019-04-30 13:26:00,1
2019-04-30 13:39:00,1
2019-04-30 13:46:00,1
2019-04-30 14:01:00,1
2019-04-30 14:28:00,1
2019-04-30 15:03:00,1
2019-04-30 15:08:00,1
2019-04-30 15:22:00,1
2019-08-20 14:53:00,1
2019-10-24 16:34:00,2
2019-10-24 16:40:00,1
2019-10-24 16:48:00,2
2019-10-24 16:54:00,1
2019-10-24 16:57:00,1
2019-10-24 16:58:00,1
2019-10-24 16:59:00,1
2019-10-24 17:00:00,1
2019-10-24 17:01:00,1
2019-10-24 17:05:00,1
2019-10-24 17:08:00,1
2019-10-24 17:13:00,3
2019-10-24 17:16:00,1
2019-10-24 17:17:00,2
2019-10-24 17:18:00,1
2019-10-24 17:19:00,1
2019-10-24 17:27:00,1
2019-10-24 17:39:00,1
2019-10-28 10:41:00,1
