816,"SELECT TOP # p.specobjid, p.objid, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, s.z, n.distance AS offset, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.expAB_u, p.expAB_g, p.expAB_r, p.expAB_i, p.expAB_z, p.expPhi_u, p.expPhi_g, p.expPhi_r, p.expPhi_i, p.expPhi_z, p.expRad_u, p.expRad_g, p.expRad_r, p.expRad_i, p.expRad_z, p.expFlux_u, p.expFlux_g, p.expFlux_r, p.expFlux_i, p.expFlux_z, p.expMag_u, p.expMag_g, p.expMag_r, p.expMag_i, p.expMag_z, p.petroRad_u, p.petroRad_g, p.petroRad_r, p.petroRad_i, p.petroRad_z, p.petroFlux_u, p.petroFlux_g, p.petroFlux_r, p.petroFlux_i, p.petroFlux_z, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, p.petroMag_z, p.petroR5#_u, p.petroR5#_g, p.petroR5#_r, p.petroR5#_i, p.petroR5#_z, p.petroR9#_u, p.petroR9#_g, p.petroR9#_r, p.petroR9#_i, p.petroR9#_z, p.rowc_u, p.rowc_g, p.rowc_r, p.rowc_i, p.rowc_z, p.colc_u, p.colc_g, p.colc_r, p.colc_i, p.colc_z, p.rowcErr_u, p.rowcErr_g, p.rowcErr_r, p.rowcErr_i, p.rowcErr_z, p.colcErr_u, p.colcErr_g, p.colcErr_r, p.colcErr_i, p.colcErr_z FROM fGetNearbyObjEq (#, #, #) n JOIN Galaxy p ON n.objID = p.objID JOIN SpecPhoto s ON p.specobjid = s.specobjid ORDER BY offset"
2019-04-18 06:16:00,1
2019-04-18 06:20:00,1
2019-04-18 06:21:00,1
2019-04-18 06:22:00,3
2019-04-18 06:23:00,1
2019-04-18 06:26:00,2
2019-04-18 06:27:00,3
2019-04-18 06:28:00,3
2019-04-18 06:29:00,4
2019-04-18 06:30:00,2
2019-04-18 06:31:00,3
2019-04-18 06:32:00,3
2019-04-18 06:33:00,2
2019-04-18 06:34:00,2
2019-04-18 06:35:00,4
2019-04-18 06:36:00,3
2019-04-18 06:37:00,4
2019-04-18 06:38:00,3
2019-04-18 06:39:00,4
2019-04-18 06:40:00,1
2019-04-18 06:43:00,2
2019-04-18 06:44:00,4
2019-04-18 06:45:00,3
2019-04-18 06:46:00,4
2019-04-18 06:47:00,3
2019-04-18 06:48:00,4
2019-04-18 06:49:00,4
2019-04-18 06:50:00,3
2019-04-18 06:51:00,4
2019-04-18 06:52:00,3
2019-04-18 06:53:00,3
2019-04-18 06:54:00,4
2019-04-18 06:55:00,4
2019-04-18 06:56:00,3
2019-04-18 06:57:00,5
2019-04-18 06:58:00,3
2019-04-18 06:59:00,3
2019-04-18 07:00:00,4
2019-04-18 07:01:00,3
2019-04-18 07:02:00,3
2019-04-18 07:03:00,3
2019-04-18 07:04:00,3
2019-04-18 07:05:00,3
2019-04-18 07:06:00,4
2019-04-18 07:07:00,3
2019-04-18 07:08:00,3
2019-04-18 07:09:00,4
2019-04-18 07:10:00,3
2019-04-18 07:11:00,4
2019-04-18 07:12:00,3
2019-04-18 07:13:00,3
2019-04-18 07:14:00,3
2019-04-18 07:15:00,3
2019-04-18 07:16:00,4
2019-04-18 07:17:00,3
2019-04-18 07:18:00,3
2019-04-18 07:19:00,3
2019-04-18 07:20:00,4
2019-04-18 07:21:00,5
2019-04-18 07:22:00,3
2019-04-18 07:23:00,3
2019-04-18 07:24:00,3
2019-04-18 07:25:00,2
2019-04-18 07:26:00,3
2019-04-18 07:27:00,3
2019-04-18 07:28:00,3
2019-04-18 07:29:00,4
2019-04-18 07:30:00,2
2019-04-18 07:31:00,2
2019-04-18 07:32:00,4
2019-04-18 07:33:00,3
2019-04-18 07:34:00,2
2019-04-18 07:35:00,3
2019-04-18 07:36:00,3
2019-04-18 07:37:00,4
2019-04-18 07:38:00,3
2019-04-18 07:39:00,3
2019-04-18 07:40:00,3
2019-04-18 07:41:00,3
2019-04-18 07:42:00,4
2019-04-18 07:43:00,3
2019-04-18 07:44:00,3
2019-04-18 07:45:00,4
2019-04-18 07:46:00,3
2019-04-18 07:47:00,5
2019-04-18 07:48:00,4
2019-04-18 07:49:00,3
2019-04-18 07:50:00,3
2019-04-18 07:51:00,3
2019-04-18 07:52:00,4
2019-04-18 07:53:00,3
2019-04-18 18:59:00,4
2019-04-18 19:00:00,4
2019-04-18 19:01:00,1
2019-04-18 19:03:00,3
2019-04-18 19:04:00,3
2019-04-18 19:05:00,4
2019-04-18 19:06:00,3
2019-04-18 19:07:00,3
2019-04-18 19:08:00,3
2019-04-18 19:09:00,1
2019-04-18 19:13:00,2
2019-04-18 19:14:00,2
2019-04-18 19:15:00,4
2019-04-18 19:16:00,3
2019-04-18 19:17:00,3
2019-04-18 19:18:00,4
2019-04-18 19:19:00,3
2019-04-18 19:20:00,1
2019-04-18 19:48:00,2
2019-04-18 19:49:00,4
2019-04-18 19:50:00,3
2019-04-18 19:51:00,3
2019-04-18 19:52:00,4
2019-04-18 19:53:00,3
2019-04-18 19:54:00,4
2019-04-18 19:55:00,3
2019-04-18 19:56:00,3
2019-04-18 19:57:00,4
2019-04-18 19:58:00,3
2019-04-18 19:59:00,4
2019-04-18 20:00:00,3
2019-04-18 20:01:00,4
2019-04-18 20:02:00,4
2019-04-18 20:03:00,4
2019-04-18 20:04:00,3
2019-04-18 20:05:00,3
2019-04-18 20:06:00,3
2019-04-18 20:07:00,4
2019-04-18 20:08:00,2
2019-04-18 20:09:00,4
2019-04-18 20:10:00,3
2019-04-18 20:11:00,3
2019-04-18 20:12:00,3
2019-04-18 20:13:00,4
2019-04-18 20:14:00,3
2019-04-18 20:15:00,3
2019-04-18 20:16:00,4
2019-04-18 20:17:00,3
2019-04-18 20:18:00,4
2019-04-18 20:19:00,3
2019-04-18 20:20:00,3
2019-04-18 20:21:00,3
2019-04-18 20:22:00,3
2019-04-18 20:23:00,3
2019-04-18 20:24:00,4
2019-04-18 20:25:00,3
2019-04-18 20:26:00,3
2019-04-18 20:27:00,6
2019-04-18 20:28:00,3
2019-04-18 20:29:00,3
2019-04-18 20:30:00,2
2019-04-18 20:31:00,1
2019-04-18 20:32:00,3
2019-04-18 20:33:00,3
2019-04-18 20:34:00,3
2019-04-18 20:35:00,3
2019-04-18 20:36:00,3
2019-04-18 20:37:00,3
2019-04-18 20:38:00,3
2019-04-18 20:39:00,3
2019-04-18 20:40:00,2
2019-04-18 20:41:00,3
2019-04-18 20:42:00,4
2019-04-18 20:43:00,3
2019-04-18 20:44:00,3
2019-04-18 20:45:00,2
2019-04-18 20:46:00,3
2019-04-18 20:47:00,3
2019-04-18 20:48:00,3
2019-04-18 20:49:00,3
2019-04-18 20:50:00,3
2019-04-18 20:51:00,4
2019-04-18 20:52:00,3
2019-04-18 20:53:00,3
2019-04-18 20:54:00,4
2019-04-18 20:55:00,4
2019-04-18 20:56:00,3
2019-04-18 20:57:00,3
2019-04-18 20:58:00,3
2019-04-18 20:59:00,4
2019-04-18 21:00:00,3
2019-04-18 21:01:00,1
2019-04-19 02:53:00,2
2019-04-19 02:54:00,2
2019-04-19 02:55:00,3
2019-04-19 02:56:00,2
2019-04-19 02:57:00,3
2019-04-19 02:58:00,1
2019-04-19 02:59:00,3
2019-04-19 03:00:00,2
2019-04-19 03:01:00,3
2019-04-19 03:02:00,3
2019-04-19 03:03:00,3
2019-04-19 03:04:00,2
2019-04-19 03:05:00,3
2019-04-19 03:06:00,2
2019-04-19 03:07:00,2
2019-04-19 03:08:00,3
2019-04-19 03:09:00,2
2019-04-19 03:10:00,3
2019-04-19 03:11:00,2
2019-04-19 03:12:00,2
2019-04-19 03:13:00,3
2019-04-19 03:14:00,2
2019-04-19 03:15:00,2
