10,"SELECT U.up_id, S.* FROM #upLoad U CROSS APPLY (SELECT Objid FROM dbo.fGetNearbyObjEq (U.up_ra , U.up_dec , U.up_sep) ) S SELECT TOP # p.ra, p.dec, p.psfMag_g, p.psfMag_i, p.psfMag_r, p.psfMag_u, p.psfMag_z, p.psfMagErr_g, p.psfMagErr_i, p.psfMagErr_r, p.psfMagErr_u, p.psfMagErr_z FROM ..PhotoObj AS p JOIN #x AS x ON x.objID = p.objID JOIN #upload AS u ON u.up_id = x.up_id WHERE (p.type = # OR p.type = #) ORDER BY x.up_id"
2019-04-22 16:26:00,1
2019-04-22 16:27:00,2
2019-04-22 16:28:00,3
2019-04-22 16:29:00,3
2019-04-22 16:33:00,1
