20477,"SELECT p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, d.w1mpro, d.w2mpro, d.w3mpro, d.w4mpro FROM PhotoObjAll AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS GN ON p.objID = GN.objID LEFT JOIN WISE_xmatch as c on p.ObjID = c.sdss_objid LEFT JOIN WISE_allsky as d on c.wise_cntr = d.cntr"
2019-05-09 05:50:00,13
2019-05-09 05:51:00,11
2019-05-09 05:52:00,15
2019-05-09 05:53:00,16
2019-05-09 05:54:00,14
2019-05-09 05:55:00,14
2019-05-09 05:56:00,15
2019-05-09 05:57:00,14
2019-05-09 05:58:00,14
2019-05-09 05:59:00,16
2019-05-09 06:00:00,16
2019-05-09 06:01:00,15
2019-05-09 06:02:00,12
2019-05-09 06:03:00,17
2019-05-09 06:04:00,13
2019-05-09 06:05:00,6
2019-05-09 06:06:00,11
2019-05-09 06:07:00,12
2019-05-09 06:08:00,8
2019-05-09 06:09:00,7
2019-05-09 06:10:00,6
2019-05-09 06:11:00,9
2019-05-09 06:12:00,8
2019-05-09 06:13:00,11
2019-05-09 06:14:00,8
2019-05-09 06:15:00,8
2019-05-09 06:16:00,10
2019-05-09 06:17:00,11
2019-05-09 06:18:00,8
2019-05-09 06:19:00,11
2019-05-09 06:20:00,11
2019-05-09 06:21:00,9
2019-05-09 06:22:00,10
2019-05-09 06:23:00,4
2019-05-09 06:24:00,14
2019-05-09 06:25:00,13
2019-05-09 06:26:00,10
2019-05-09 06:27:00,14
2019-05-09 06:28:00,9
2019-05-09 06:29:00,12
2019-05-09 06:30:00,12
2019-05-09 06:31:00,11
2019-05-09 06:32:00,13
2019-05-09 06:33:00,9
2019-05-09 06:34:00,7
2019-05-09 06:35:00,7
2019-05-09 06:36:00,9
2019-05-09 06:37:00,10
2019-05-09 06:38:00,16
2019-05-09 06:39:00,11
2019-05-09 06:40:00,11
2019-05-09 06:41:00,9
2019-05-09 06:42:00,10
2019-05-09 06:43:00,11
2019-05-09 06:44:00,10
2019-05-09 06:45:00,10
2019-05-09 06:46:00,9
2019-05-09 06:47:00,9
2019-05-09 06:48:00,11
2019-05-09 06:49:00,11
2019-05-09 06:50:00,12
2019-05-09 06:51:00,12
2019-05-09 06:52:00,13
2019-05-09 06:53:00,11
2019-05-09 06:54:00,11
2019-05-09 06:55:00,12
2019-05-09 06:56:00,13
2019-05-09 06:57:00,9
2019-05-09 06:58:00,11
2019-05-09 06:59:00,9
2019-05-09 07:00:00,11
2019-05-09 07:01:00,7
2019-05-09 07:02:00,11
2019-05-09 07:03:00,12
2019-05-09 07:04:00,10
2019-05-09 07:05:00,10
2019-05-09 07:06:00,13
2019-05-09 07:07:00,10
2019-05-09 07:08:00,5
2019-05-09 07:09:00,9
2019-05-09 07:10:00,12
2019-05-09 07:11:00,8
2019-05-09 07:12:00,9
2019-05-09 07:13:00,12
2019-05-09 07:14:00,13
2019-05-09 07:15:00,13
2019-05-09 07:16:00,9
2019-05-09 07:17:00,11
2019-05-09 07:18:00,13
2019-05-09 07:19:00,8
2019-05-09 07:20:00,12
2019-05-09 07:21:00,11
2019-05-09 07:22:00,13
2019-05-09 07:23:00,13
2019-05-09 07:24:00,11
2019-05-09 07:25:00,12
2019-05-09 07:26:00,15
2019-05-09 07:27:00,13
2019-05-09 07:28:00,14
2019-05-09 07:29:00,8
2019-05-09 07:30:00,9
2019-05-09 07:31:00,12
2019-05-09 07:32:00,11
2019-05-09 07:33:00,10
2019-05-09 07:34:00,11
2019-05-09 07:35:00,10
2019-05-09 07:36:00,13
2019-05-09 07:37:00,12
2019-05-09 07:38:00,13
2019-05-09 07:39:00,12
2019-05-09 07:40:00,11
2019-05-09 07:41:00,12
2019-05-09 07:42:00,10
2019-05-09 07:43:00,11
2019-05-09 07:44:00,7
2019-05-09 07:45:00,11
2019-05-09 07:46:00,10
2019-05-09 07:47:00,14
2019-05-09 07:48:00,10
