34741,"select z, ra, dec, bestObjID from specObj where class = # and zWarning = # and ra< # and ra> # and dec< # and dec> # and z > # and z < #"
2019-01-10 13:19:00,12
2019-01-10 13:20:00,199
2019-01-10 13:21:00,266
2019-01-10 13:22:00,265
2019-01-10 13:23:00,391
2019-01-10 13:24:00,451
2019-01-10 13:25:00,542
2019-01-10 13:26:00,269
2019-01-10 13:27:00,464
2019-01-10 13:28:00,569
2019-01-10 13:29:00,528
2019-01-10 13:30:00,526
2019-01-10 13:31:00,383
2019-01-10 13:32:00,373
2019-01-10 13:33:00,430
2019-01-10 13:34:00,372
2019-01-10 13:35:00,273
2019-01-10 13:36:00,248
2019-01-10 13:37:00,227
2019-01-10 13:38:00,264
2019-01-10 13:39:00,327
2019-01-10 13:40:00,353
2019-01-10 13:41:00,367
2019-01-10 13:42:00,378
2019-01-10 13:43:00,300
2019-01-10 13:44:00,345
2019-01-10 13:45:00,354
2019-01-10 13:46:00,149
2019-01-10 13:47:00,210
2019-01-10 13:48:00,148
2019-01-10 13:49:00,58
2019-01-10 13:50:00,54
2019-01-10 13:51:00,19
2019-01-10 13:52:00,9
2019-01-10 13:53:00,44
2019-01-10 13:54:00,77
2019-01-10 13:55:00,19
2019-01-13 13:58:00,50
2019-01-13 13:59:00,169
2019-01-13 14:00:00,23
2019-01-14 17:13:00,14
2019-01-14 17:15:00,13
2019-01-14 17:17:00,5
2019-01-14 17:18:00,66
2019-01-14 17:19:00,51
2019-01-14 17:20:00,43
2019-01-14 17:21:00,82
2019-01-14 17:22:00,72
2019-01-14 17:23:00,65
2019-01-14 17:24:00,72
2019-01-14 17:25:00,71
2019-01-14 17:26:00,72
2019-01-14 17:27:00,68
2019-01-14 17:28:00,67
2019-01-14 17:29:00,67
2019-01-14 17:30:00,73
2019-01-14 17:31:00,74
2019-01-14 17:32:00,70
2019-01-14 17:33:00,68
2019-01-14 17:34:00,67
2019-01-14 17:35:00,74
2019-01-14 17:36:00,70
2019-01-14 17:37:00,76
2019-01-14 17:38:00,73
2019-01-14 17:39:00,71
2019-01-14 17:40:00,54
2019-01-19 13:15:00,3
