87,select objid from photoprimary where photoprimary.dec between -.# and # and photoprimary.ra between # and # and photoprimary.r between # and #
2019-02-27 21:54:00,1
2019-02-27 22:00:00,1
2019-02-28 00:38:00,1
2019-03-06 05:08:00,1
2019-03-06 05:09:00,2
2019-03-06 05:10:00,1
2019-03-14 08:12:00,1
2019-03-14 08:14:00,2
2019-03-14 08:15:00,2
2019-03-14 08:16:00,4
2019-03-14 08:19:00,4
2019-03-14 08:21:00,1
2019-03-14 08:29:00,2
2019-03-14 08:30:00,2
2019-03-14 08:34:00,4
2019-03-14 08:35:00,6
2019-03-14 08:36:00,3
2019-03-14 08:37:00,1
2019-03-14 08:47:00,1
2019-03-14 08:48:00,1
2019-03-14 08:49:00,5
2019-03-14 08:55:00,1
2019-03-14 08:56:00,2
2019-03-14 08:57:00,2
2019-03-14 09:00:00,3
2019-03-14 09:01:00,3
2019-03-14 09:02:00,5
2019-03-14 09:03:00,5
2019-03-14 09:04:00,1
2019-03-14 09:05:00,2
2019-03-14 09:06:00,1
2019-03-14 09:07:00,3
2019-03-14 09:08:00,2
2019-03-14 09:09:00,9
2019-03-14 09:10:00,1
2019-03-14 09:14:00,1
