816,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID"
2019-01-04 15:46:00,1
2019-01-08 18:53:00,1
2019-01-31 04:49:00,1
2019-01-31 04:59:00,1
2019-01-31 06:11:00,1
2019-01-31 06:39:00,1
2019-01-31 06:54:00,1
2019-01-31 07:34:00,1
2019-01-31 08:06:00,1
2019-01-31 08:40:00,1
2019-01-31 09:16:00,1
2019-01-31 09:56:00,1
2019-01-31 10:12:00,1
2019-01-31 10:39:00,1
2019-01-31 11:17:00,1
2019-01-31 11:56:00,1
2019-02-12 07:08:00,1
2019-02-12 07:17:00,1
2019-02-12 07:40:00,1
2019-02-22 00:49:00,1
2019-02-22 00:57:00,1
2019-02-22 05:53:00,4
2019-02-22 05:54:00,1
2019-02-22 05:55:00,2
2019-03-03 04:03:00,2
2019-03-03 04:04:00,1
2019-03-03 04:36:00,3
2019-03-03 04:57:00,2
2019-03-03 04:58:00,1
2019-03-03 05:36:00,3
2019-03-03 05:57:00,1
2019-03-03 08:07:00,5
2019-03-03 08:08:00,1
2019-03-03 08:09:00,1
2019-03-03 08:23:00,1
2019-03-03 08:24:00,4
2019-03-03 08:25:00,2
2019-03-03 08:31:00,2
2019-03-03 08:38:00,2
2019-03-03 08:40:00,5
2019-03-03 08:41:00,1
2019-03-03 08:42:00,1
2019-03-03 08:49:00,5
2019-03-03 08:50:00,1
2019-03-03 08:51:00,1
2019-03-03 08:59:00,1
2019-03-03 09:00:00,1
2019-03-03 09:01:00,2
2019-03-03 09:02:00,1
2019-03-03 09:03:00,2
2019-03-03 09:05:00,1
2019-03-03 09:07:00,1
2019-03-03 09:13:00,2
2019-03-03 09:14:00,3
2019-03-03 09:15:00,2
2019-03-03 09:17:00,2
2019-03-03 09:18:00,1
2019-03-03 09:20:00,1
2019-03-03 09:22:00,1
2019-03-03 09:23:00,4
2019-03-03 09:25:00,2
2019-03-03 09:27:00,2
2019-03-03 09:29:00,1
2019-03-03 09:30:00,1
2019-03-03 09:31:00,3
2019-03-03 09:32:00,1
2019-03-03 09:36:00,1
2019-03-03 09:37:00,1
2019-03-03 09:40:00,1
2019-03-03 10:41:00,2
2019-03-03 10:42:00,3
2019-03-03 10:44:00,2
2019-03-03 10:47:00,2
2019-03-03 10:48:00,1
2019-03-03 10:51:00,2
2019-03-03 10:52:00,2
2019-03-03 10:54:00,1
2019-03-03 10:58:00,1
2019-03-03 11:03:00,2
2019-03-03 11:04:00,3
2019-03-03 11:06:00,2
2019-03-03 11:09:00,2
2019-03-03 11:11:00,1
2019-03-03 11:13:00,1
2019-03-03 11:14:00,3
2019-03-03 11:17:00,1
2019-03-03 11:21:00,1
2019-03-03 11:23:00,1
2019-03-03 11:25:00,1
2019-03-03 11:31:00,1
2019-03-03 11:44:00,2
2019-03-03 11:45:00,3
2019-03-03 11:47:00,1
2019-03-03 11:48:00,1
2019-03-03 11:51:00,2
2019-03-03 11:52:00,1
2019-03-03 11:55:00,1
2019-03-03 11:56:00,3
2019-03-03 11:58:00,1
2019-03-03 12:02:00,1
2019-03-03 12:13:00,2
2019-03-03 12:14:00,3
2019-03-03 12:16:00,2
2019-03-03 12:19:00,1
2019-03-03 12:20:00,1
2019-03-03 12:21:00,1
2019-03-03 12:23:00,1
2019-03-03 12:24:00,2
2019-03-03 12:25:00,1
2019-03-03 12:27:00,1
2019-03-03 12:31:00,1
2019-03-03 12:32:00,1
2019-03-03 12:35:00,1
2019-03-03 12:40:00,1
2019-04-16 21:09:00,2
2019-04-26 05:42:00,1
2019-04-26 06:34:00,1
2019-04-26 13:14:00,1
2019-04-26 17:38:00,1
