17,"SELECT p.ra, p.dec, p.psfMag_u, p.psfMagErr_u, p.psfMag_g, p.psfMagErr_g, p.psfMag_r, p.psfMagErr_r, p.psfMag_i, p.psfMagErr_i, p.psfMag_z, p.psfMagErr_z FROM fGetNearbyObjEq (#, +#, #) n, Star p WHERE n.objID = p.objID AND p.psfMag_i BETWEEN # and #"
2019-02-26 16:25:00,1
2019-02-28 17:28:00,1
2019-03-04 16:51:00,1
2019-03-05 16:50:00,1
2019-03-11 09:04:00,1
2019-03-29 11:54:00,1
2019-05-06 12:59:00,1
2019-08-05 14:55:00,1
2019-08-06 18:33:00,1
2019-08-08 13:25:00,1
2019-08-13 11:56:00,1
2019-08-13 19:43:00,1
2019-08-14 13:44:00,1
2019-08-14 17:48:00,1
2019-08-15 14:25:00,1
2019-08-26 20:47:00,1
2019-12-09 22:03:00,1
