6876,select max (Id) from public.ncarey.FramePathProcessing where Processed = # and (goodMeltScore ! = # or fastBottomScore ! = # or fastTopScore ! = #) )
2019-06-10 15:28:00,1
2019-06-10 15:32:00,1
2019-06-10 15:33:00,13
2019-06-10 15:34:00,14
2019-06-10 15:35:00,15
2019-06-10 15:36:00,15
2019-06-10 15:37:00,15
2019-06-10 15:38:00,15
2019-06-10 15:39:00,15
2019-06-10 15:40:00,15
2019-06-10 15:41:00,15
2019-06-10 15:42:00,15
2019-06-10 15:43:00,13
2019-06-10 15:44:00,16
2019-06-10 15:45:00,15
2019-06-10 15:46:00,15
2019-06-10 15:47:00,4
2019-06-10 15:49:00,13
2019-06-10 15:50:00,16
2019-06-10 15:51:00,15
2019-06-10 15:52:00,15
2019-06-10 15:53:00,15
2019-06-10 15:54:00,13
2019-06-10 15:55:00,15
2019-06-10 15:56:00,13
2019-06-10 15:57:00,14
2019-06-10 15:58:00,14
2019-06-10 15:59:00,14
2019-06-10 16:00:00,15
2019-06-10 16:01:00,15
2019-06-10 16:02:00,15
2019-06-10 16:03:00,14
2019-06-10 16:04:00,16
2019-06-10 16:05:00,15
2019-06-10 16:06:00,15
2019-06-10 16:07:00,15
2019-06-10 16:08:00,15
2019-06-10 16:09:00,15
2019-06-10 16:10:00,14
2019-06-10 16:11:00,16
2019-06-10 16:12:00,14
2019-06-10 16:13:00,16
2019-06-10 16:14:00,14
2019-06-10 16:15:00,15
2019-06-10 16:16:00,14
2019-06-10 16:17:00,15
2019-06-10 16:18:00,12
2019-06-10 16:19:00,14
2019-06-10 16:20:00,14
2019-06-10 16:21:00,12
2019-06-10 16:22:00,15
2019-06-10 16:23:00,12
2019-06-10 16:24:00,15
2019-06-10 16:25:00,14
2019-06-10 16:26:00,12
2019-06-10 16:27:00,15
2019-06-10 16:28:00,15
2019-06-10 16:29:00,14
2019-06-10 16:30:00,13
2019-06-10 16:31:00,14
2019-06-10 16:32:00,14
2019-06-10 16:33:00,13
2019-06-10 16:34:00,11
2019-06-10 16:35:00,14
2019-06-10 16:36:00,12
2019-06-10 16:37:00,10
2019-06-10 16:38:00,12
2019-06-10 16:39:00,13
2019-06-10 16:40:00,16
2019-06-10 16:41:00,14
2019-06-10 16:42:00,13
2019-06-10 16:43:00,13
2019-06-10 16:44:00,14
2019-06-10 16:45:00,10
2019-06-10 16:46:00,13
2019-06-10 16:47:00,10
2019-06-10 16:48:00,10
2019-06-10 16:49:00,12
2019-06-10 16:50:00,8
2019-06-10 16:51:00,12
2019-06-10 16:52:00,11
2019-06-10 16:53:00,10
2019-06-10 16:54:00,11
2019-06-10 16:55:00,13
2019-06-10 16:56:00,9
2019-06-10 16:57:00,13
2019-06-10 16:58:00,10
2019-06-10 16:59:00,2
2019-06-13 13:54:00,6
2019-06-13 13:55:00,15
2019-06-13 13:56:00,13
2019-06-13 13:57:00,15
2019-06-13 13:58:00,13
2019-06-13 13:59:00,17
2019-06-13 14:00:00,15
2019-06-13 14:01:00,15
2019-06-13 14:02:00,15
2019-06-13 14:03:00,15
2019-06-13 14:04:00,15
2019-06-13 14:05:00,15
2019-06-13 14:06:00,15
2019-06-13 14:07:00,15
2019-06-13 14:08:00,15
2019-06-13 14:09:00,15
2019-06-13 14:10:00,15
2019-06-13 14:11:00,15
2019-06-13 14:12:00,15
2019-06-13 14:13:00,15
2019-06-13 14:14:00,15
2019-06-13 14:15:00,15
2019-06-13 14:16:00,15
2019-06-13 14:17:00,15
2019-06-13 14:18:00,15
2019-06-13 14:19:00,15
2019-06-13 14:20:00,15
2019-06-13 14:21:00,15
2019-06-13 14:22:00,15
2019-06-13 14:23:00,15
2019-06-13 14:24:00,15
2019-06-13 14:25:00,15
2019-06-13 14:26:00,15
2019-06-13 14:27:00,15
2019-06-13 14:28:00,15
2019-06-13 14:29:00,15
2019-06-13 14:30:00,15
2019-06-13 14:31:00,15
2019-06-13 14:32:00,15
2019-06-13 14:33:00,15
2019-06-13 14:34:00,15
2019-06-13 14:35:00,15
2019-06-13 14:36:00,15
2019-07-10 14:12:00,7
2019-07-10 14:13:00,1
2019-07-10 14:21:00,3
2019-07-10 14:22:00,14
2019-07-10 14:23:00,16
2019-07-10 14:24:00,15
2019-07-10 14:25:00,15
2019-07-10 14:26:00,15
2019-07-10 14:27:00,15
2019-07-10 14:28:00,15
2019-07-10 14:29:00,15
2019-07-10 14:30:00,15
2019-07-10 14:31:00,15
2019-07-10 14:32:00,15
2019-07-10 14:33:00,15
2019-07-10 14:34:00,15
2019-07-10 14:35:00,15
2019-07-10 14:36:00,15
2019-07-10 14:37:00,15
2019-07-10 14:38:00,15
2019-07-10 14:39:00,15
2019-07-10 14:40:00,15
2019-07-10 14:41:00,15
2019-07-10 14:42:00,15
2019-07-10 14:43:00,15
2019-07-10 14:44:00,15
2019-07-10 14:45:00,15
2019-07-10 14:46:00,15
2019-07-10 14:47:00,15
2019-07-10 14:48:00,15
2019-07-10 14:49:00,15
2019-07-10 14:50:00,15
2019-07-10 14:51:00,15
2019-07-10 14:52:00,15
2019-07-10 14:53:00,15
2019-07-10 14:54:00,15
2019-07-10 14:55:00,15
2019-07-10 14:56:00,15
2019-07-10 14:57:00,15
2019-07-10 14:58:00,15
2019-07-10 14:59:00,14
2019-07-10 15:00:00,15
2019-07-10 15:01:00,15
2019-07-10 15:02:00,15
2019-07-10 15:03:00,15
2019-07-10 15:04:00,15
2019-07-10 15:05:00,15
2019-07-10 15:06:00,15
2019-07-10 15:07:00,15
2019-07-10 15:08:00,15
2019-07-10 15:09:00,15
2019-07-10 15:10:00,15
2019-07-10 15:11:00,15
2019-07-10 15:12:00,15
2019-07-10 15:13:00,15
2019-07-10 15:14:00,15
2019-07-10 15:15:00,15
2019-07-10 15:16:00,15
2019-07-10 15:17:00,15
2019-07-10 15:18:00,15
2019-07-10 15:19:00,15
2019-07-10 15:20:00,15
2019-07-10 15:21:00,15
2019-07-10 15:22:00,15
2019-07-10 15:23:00,15
2019-07-10 15:24:00,15
2019-07-10 15:25:00,15
2019-07-10 15:26:00,15
2019-07-10 15:27:00,15
2019-07-10 15:28:00,15
2019-07-10 15:29:00,15
2019-07-10 15:30:00,15
2019-07-10 15:31:00,14
2019-07-10 15:32:00,15
2019-07-10 15:33:00,16
2019-07-10 15:34:00,15
2019-07-10 15:35:00,15
2019-07-10 15:36:00,15
2019-07-10 15:37:00,14
2019-07-10 15:38:00,15
2019-07-10 15:39:00,16
2019-07-10 15:40:00,15
2019-07-10 15:41:00,15
2019-07-10 15:42:00,15
