1399,"SELECT DISTINCT p.ra, p.dec, p.type FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-01-24 18:12:00,1
2019-02-15 19:11:00,1
2019-03-04 20:08:00,1
2019-06-18 14:43:00,1
2019-06-18 14:45:00,1
2019-06-18 14:54:00,4
2019-06-18 14:58:00,11
2019-06-18 15:46:00,31
2019-06-18 15:47:00,21
2019-06-18 16:28:00,39
2019-06-18 16:29:00,84
2019-06-18 16:51:00,175
2019-06-18 16:52:00,193
2019-06-18 16:53:00,9
2019-06-18 16:54:00,9
2019-06-18 16:55:00,23
2019-06-18 16:56:00,163
2019-06-18 16:57:00,5
2019-06-18 17:17:00,82
2019-06-18 17:18:00,150
2019-06-18 17:19:00,48
2019-06-18 21:32:00,99
2019-06-18 21:33:00,217
2019-06-19 15:29:00,27
2019-08-15 21:18:00,1
2019-08-15 22:39:00,1
2019-08-15 22:42:00,1
2019-10-28 23:18:00,1
