52,"SELECT TOP # p.objid, p.ra, p.dec, p.petror9#_r, p.dered_g, s.z as z_spec, s.zErr, zns.nvote, zns.p_el as elliptical, zns.p_cw as spiralclock, zns.p_acw as spiralanticlock, zns.p_edge as edgeon, zns.p_dk as dontknow, zns.p_mg as merger FROM Galaxy as p JOIN ZooNoSpec AS zns ON p.objid = zns.objid JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.clean = # and zns.nvote > = # and zns.p_el > #"
2019-02-14 18:20:00,2
2019-02-20 12:46:00,1
2019-02-20 14:04:00,1
2019-02-20 14:12:00,1
2019-02-20 14:13:00,1
2019-02-20 14:16:00,1
2019-02-20 14:25:00,1
2019-02-20 14:26:00,1
2019-02-20 14:27:00,1
2019-02-20 16:56:00,1
2019-02-21 11:48:00,1
2019-02-21 11:49:00,1
2019-02-21 16:01:00,1
2019-02-21 16:13:00,1
2019-02-21 16:26:00,1
2019-02-21 16:31:00,2
2019-02-21 16:36:00,1
2019-02-21 16:37:00,1
2019-02-21 16:58:00,1
2019-02-21 17:06:00,3
2019-02-21 17:08:00,1
2019-02-21 17:10:00,1
2019-02-21 17:12:00,1
2019-02-21 17:13:00,4
2019-02-21 17:14:00,1
2019-02-21 17:23:00,1
2019-02-21 17:26:00,3
2019-02-21 17:27:00,2
2019-02-25 13:51:00,1
2019-02-25 13:52:00,1
2019-02-25 13:53:00,1
2019-02-25 15:16:00,3
2019-02-25 15:17:00,1
2019-02-27 13:00:00,1
2019-02-27 13:08:00,1
2019-02-27 14:39:00,1
2019-02-27 14:43:00,1
2019-02-27 16:11:00,1
2019-02-28 11:36:00,1
2019-03-19 14:01:00,1
