3151,"SELECT s.ra, s.dec, s.plate, s.mjd, s.fiberid, s.z, s.zerr, s.class, s.subclass, s.tfile, s.snmedian FROM SpecObj as s WHERE s.specObjID = dbo.fGetNearestSpecObjIdEq (#, #, #) AND s.zWarning = # AND s.class = #"
2019-11-05 22:43:00,3
2019-11-05 22:44:00,10
2019-11-05 22:45:00,1
2019-11-11 20:12:00,2
2019-11-11 20:13:00,11
2019-11-11 20:30:00,1
2019-11-11 20:31:00,4
2019-11-11 20:32:00,5
2019-11-11 20:36:00,7
2019-11-11 20:37:00,3
2019-11-11 20:38:00,11
2019-11-11 20:39:00,1
2019-11-11 20:47:00,4
2019-11-11 20:48:00,1
2019-11-11 20:49:00,10
2019-11-11 20:50:00,2
2019-11-11 20:51:00,7
2019-11-11 20:52:00,11
2019-11-11 20:53:00,5
2019-11-11 21:22:00,4
2019-11-11 21:23:00,7
2019-11-11 21:24:00,6
2019-11-11 21:25:00,6
2019-11-11 21:26:00,6
2019-11-11 21:27:00,3
2019-11-11 21:28:00,1
2019-11-11 21:29:00,3
2019-11-11 21:30:00,3
2019-11-11 22:31:00,1
2019-11-11 22:32:00,1
2019-11-11 22:35:00,4
2019-11-11 22:36:00,2
2019-11-12 00:01:00,6
2019-11-12 00:02:00,10
2019-11-12 00:03:00,9
2019-11-12 00:04:00,10
2019-11-12 00:05:00,10
2019-11-12 00:06:00,10
2019-11-12 00:07:00,11
2019-11-12 00:08:00,10
2019-11-12 00:09:00,11
2019-11-12 00:10:00,10
2019-11-12 00:11:00,10
2019-11-12 00:12:00,11
2019-11-12 00:13:00,10
2019-11-12 00:14:00,10
2019-11-12 00:15:00,11
2019-11-12 00:16:00,4
2019-11-12 01:02:00,2
2019-11-12 01:03:00,6
2019-11-12 01:04:00,6
2019-11-12 01:07:00,7
2019-11-12 01:08:00,10
2019-11-12 01:09:00,9
2019-11-12 01:10:00,9
2019-11-12 01:11:00,6
2019-11-12 01:17:00,4
2019-11-12 01:18:00,5
2019-11-12 01:19:00,6
2019-11-12 01:20:00,9
2019-11-12 01:21:00,3
2019-11-12 01:24:00,8
2019-11-12 01:25:00,9
2019-11-12 01:26:00,9
2019-11-12 01:27:00,9
2019-11-12 01:28:00,9
2019-11-12 01:29:00,9
2019-11-12 01:30:00,9
2019-11-12 01:31:00,9
2019-11-12 01:32:00,10
2019-11-12 01:33:00,8
2019-11-12 01:34:00,10
2019-11-12 01:35:00,9
2019-11-12 01:36:00,9
2019-11-12 01:37:00,8
2019-11-12 01:38:00,9
2019-11-12 01:39:00,9
2019-11-12 01:40:00,10
2019-11-12 01:41:00,11
2019-11-12 01:42:00,10
2019-11-12 01:43:00,11
2019-11-12 01:44:00,10
2019-11-12 01:48:00,6
2019-11-12 01:49:00,8
2019-11-12 01:50:00,9
2019-11-12 01:51:00,9
2019-11-12 01:52:00,9
2019-11-12 01:53:00,9
2019-11-12 01:54:00,9
2019-11-12 01:55:00,9
2019-11-12 01:56:00,9
2019-11-12 01:57:00,10
2019-11-12 01:58:00,8
2019-11-12 01:59:00,10
2019-11-12 02:00:00,10
2019-11-12 02:01:00,8
2019-11-12 02:02:00,9
2019-11-12 02:03:00,9
2019-11-12 02:04:00,8
2019-11-12 02:05:00,11
2019-11-12 02:06:00,11
2019-11-12 02:07:00,10
2019-11-12 02:08:00,11
2019-11-12 02:09:00,10
2019-11-12 02:10:00,11
2019-11-12 02:11:00,11
2019-11-12 02:12:00,10
2019-11-12 02:13:00,10
2019-11-12 02:14:00,11
2019-11-12 02:15:00,11
2019-11-12 02:16:00,10
2019-11-12 02:17:00,4
2019-11-14 18:38:00,2
2019-11-14 18:39:00,2
2019-11-14 18:40:00,7
2019-11-14 18:41:00,9
2019-11-14 18:42:00,3
2019-11-14 18:44:00,11
2019-11-14 18:45:00,10
2019-11-14 18:46:00,4
2019-11-14 20:13:00,2
2019-11-14 20:14:00,8
2019-11-14 20:15:00,10
2019-11-14 20:16:00,3
2019-11-14 20:44:00,9
2019-11-14 20:45:00,11
2019-11-14 20:46:00,11
2019-11-14 20:47:00,2
2019-11-14 21:02:00,4
2019-11-14 21:04:00,3
2019-11-14 21:05:00,1
2019-11-14 21:13:00,1
2019-11-14 21:14:00,3
2019-11-14 21:18:00,2
2019-11-14 21:19:00,11
2019-11-14 21:20:00,11
2019-11-14 21:21:00,1
2019-11-14 21:24:00,7
2019-11-14 21:25:00,10
2019-11-14 21:26:00,11
2019-11-14 21:27:00,11
2019-11-14 21:28:00,11
2019-11-14 21:29:00,8
2019-11-14 21:33:00,3
2019-11-14 21:34:00,8
2019-11-14 21:35:00,9
2019-11-14 21:36:00,6
2019-11-14 21:38:00,6
2019-11-14 21:39:00,5
2019-11-14 21:40:00,1
2019-11-14 21:48:00,8
2019-11-14 21:49:00,6
2019-11-14 21:53:00,4
2019-11-14 21:54:00,2
2019-11-14 21:56:00,6
2019-11-14 22:00:00,7
2019-11-14 22:01:00,4
2019-11-14 22:05:00,3
2019-11-14 22:06:00,10
2019-11-14 22:07:00,10
2019-11-14 22:08:00,11
2019-11-14 22:09:00,10
2019-11-14 22:10:00,11
2019-11-14 22:11:00,10
2019-11-14 22:12:00,11
2019-11-14 22:13:00,10
2019-11-14 22:14:00,7
2019-11-14 22:15:00,9
2019-11-14 22:16:00,8
2019-11-14 22:17:00,10
2019-11-14 22:18:00,9
2019-11-14 22:19:00,10
2019-11-14 22:20:00,11
2019-11-14 22:21:00,10
2019-11-14 22:22:00,11
2019-11-14 22:23:00,10
2019-11-14 22:24:00,10
2019-11-14 22:25:00,11
2019-11-14 22:26:00,11
2019-11-14 22:27:00,10
2019-11-14 22:28:00,10
2019-11-14 22:29:00,11
2019-11-14 22:30:00,11
2019-11-14 22:31:00,10
2019-11-14 22:32:00,7
2019-11-14 22:33:00,10
2019-11-14 22:34:00,9
2019-11-14 22:35:00,7
2019-11-14 22:36:00,8
2019-11-14 22:37:00,10
2019-11-14 22:38:00,11
2019-11-14 22:39:00,10
2019-11-14 22:40:00,10
2019-11-14 22:41:00,10
2019-11-14 22:42:00,11
2019-11-14 22:43:00,11
2019-11-14 22:44:00,10
2019-11-14 22:45:00,10
2019-11-14 22:46:00,11
2019-11-14 22:47:00,10
2019-11-14 22:48:00,9
2019-11-14 22:49:00,11
2019-11-14 22:50:00,11
2019-11-14 22:51:00,10
2019-11-14 22:52:00,11
2019-11-14 22:53:00,8
2019-11-14 22:54:00,8
2019-11-14 22:55:00,8
2019-11-14 22:56:00,10
2019-11-14 22:57:00,11
2019-11-14 22:58:00,10
2019-11-14 22:59:00,11
2019-11-14 23:00:00,10
2019-11-14 23:01:00,11
2019-11-14 23:02:00,10
2019-11-14 23:03:00,10
2019-11-14 23:04:00,8
2019-11-14 23:05:00,8
2019-11-14 23:06:00,11
2019-11-14 23:07:00,12
2019-11-14 23:08:00,10
2019-11-14 23:09:00,11
2019-11-14 23:10:00,11
2019-11-14 23:11:00,12
2019-11-14 23:12:00,11
2019-11-14 23:13:00,11
2019-11-14 23:14:00,11
2019-11-14 23:15:00,11
2019-11-14 23:16:00,11
2019-11-14 23:17:00,11
2019-11-14 23:18:00,9
2019-11-14 23:19:00,11
2019-11-14 23:20:00,10
2019-11-14 23:21:00,10
2019-11-14 23:22:00,5
2019-11-18 20:49:00,2
2019-11-18 20:50:00,10
2019-11-18 20:51:00,10
2019-11-18 20:52:00,7
2019-11-18 20:53:00,6
2019-11-18 20:54:00,6
2019-11-18 20:55:00,6
2019-11-18 20:56:00,4
2019-11-18 20:57:00,4
2019-11-18 20:58:00,1
2019-11-18 20:59:00,3
2019-11-18 21:00:00,2
2019-11-18 21:01:00,3
2019-11-18 21:02:00,2
2019-11-18 21:03:00,2
2019-11-18 21:04:00,2
2019-11-18 21:05:00,3
2019-11-18 21:06:00,2
2019-11-18 21:07:00,4
2019-11-18 21:08:00,6
2019-11-18 21:09:00,7
2019-11-18 21:10:00,4
2019-11-18 21:11:00,2
2019-11-18 21:12:00,1
2019-11-18 21:13:00,11
2019-11-18 21:14:00,11
2019-11-18 21:15:00,10
2019-11-18 21:16:00,10
2019-11-18 21:17:00,10
2019-11-18 21:18:00,7
2019-11-18 21:19:00,9
2019-11-18 21:20:00,8
2019-11-18 21:21:00,10
2019-11-18 21:22:00,9
2019-11-18 21:23:00,10
2019-11-18 21:24:00,10
2019-11-18 21:25:00,9
2019-11-18 21:26:00,10
