9704,"SELECT DISTINCT p.ra, p.dec, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, s.Z, s.class, s.BestObjID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-03-07 19:53:00,51
2019-03-07 19:54:00,137
2019-03-07 19:55:00,130
2019-03-07 19:56:00,129
2019-03-07 19:57:00,126
2019-03-07 19:58:00,130
2019-03-07 19:59:00,141
2019-03-07 20:00:00,139
2019-03-07 20:01:00,131
2019-03-07 20:02:00,126
2019-03-07 20:03:00,128
2019-03-07 20:04:00,134
2019-03-07 20:05:00,124
2019-03-07 20:06:00,110
2019-03-07 20:07:00,134
2019-03-07 20:08:00,137
2019-03-07 20:09:00,131
2019-03-07 20:10:00,119
2019-03-07 20:11:00,120
2019-03-07 20:12:00,120
2019-03-07 20:13:00,111
2019-03-07 20:14:00,133
2019-03-07 20:15:00,142
2019-03-07 20:16:00,150
2019-03-07 20:17:00,141
2019-03-07 20:18:00,144
2019-03-07 20:19:00,138
2019-03-07 20:20:00,151
2019-03-07 20:21:00,136
2019-03-07 21:00:00,158
2019-03-07 21:01:00,154
2019-03-07 21:02:00,171
2019-03-07 21:03:00,176
2019-03-07 21:04:00,147
2019-03-07 21:05:00,150
2019-03-07 21:06:00,150
2019-03-07 21:07:00,3
2019-03-11 11:46:00,112
2019-03-11 11:47:00,104
2019-03-11 11:48:00,102
2019-03-11 11:49:00,53
2019-03-11 11:50:00,68
2019-03-11 11:51:00,62
2019-03-11 11:52:00,106
2019-03-11 11:53:00,137
2019-03-11 11:54:00,104
2019-03-11 11:55:00,118
2019-03-11 11:56:00,129
2019-03-11 11:57:00,89
2019-03-11 11:58:00,103
2019-03-11 11:59:00,103
2019-03-11 12:00:00,114
2019-03-11 12:01:00,92
2019-03-11 12:02:00,75
2019-03-11 12:03:00,128
2019-03-11 12:04:00,175
2019-03-11 12:05:00,140
2019-03-11 12:06:00,120
2019-03-11 12:07:00,101
2019-03-11 12:08:00,128
2019-03-11 12:09:00,84
2019-03-11 12:10:00,83
2019-03-11 12:11:00,109
2019-03-11 12:12:00,121
2019-03-11 12:13:00,146
2019-03-11 12:14:00,166
2019-03-11 12:15:00,187
2019-03-11 12:16:00,205
2019-03-11 12:17:00,213
2019-03-11 12:18:00,210
2019-03-11 12:19:00,160
2019-03-11 12:20:00,197
2019-03-11 12:21:00,153
2019-03-11 12:22:00,160
2019-03-11 12:23:00,146
2019-03-11 12:24:00,49
