1996,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between .# and #
2019-02-27 11:08:00,3
2019-02-27 11:09:00,1
2019-02-27 13:05:00,1
2019-02-27 13:31:00,1
2019-02-27 13:33:00,1
2019-02-27 13:41:00,1
2019-02-28 03:45:00,9
2019-02-28 03:46:00,20
2019-02-28 03:47:00,22
2019-02-28 03:55:00,3
2019-02-28 03:56:00,4
2019-02-28 07:39:00,16
2019-02-28 07:40:00,1
2019-03-02 16:45:00,1
2019-03-02 20:16:00,2
2019-03-03 17:28:00,1
2019-03-03 17:29:00,2
2019-03-03 17:30:00,3
2019-03-03 17:31:00,2
2019-03-03 17:32:00,1
2019-03-03 17:33:00,2
2019-03-03 17:34:00,1
2019-03-03 17:42:00,1
2019-03-03 17:43:00,1
2019-03-03 17:44:00,3
2019-03-03 17:45:00,3
2019-03-03 17:46:00,2
2019-03-03 17:47:00,1
2019-03-03 17:48:00,1
2019-03-03 17:49:00,1
2019-03-03 17:51:00,1
2019-03-03 17:54:00,1
2019-03-03 17:55:00,1
2019-03-03 18:00:00,3
2019-03-03 18:04:00,1
2019-03-03 18:20:00,3
2019-03-03 18:22:00,4
2019-03-03 18:23:00,2
2019-03-03 18:24:00,3
2019-03-03 18:25:00,2
2019-03-03 18:26:00,2
2019-03-03 18:27:00,2
2019-03-03 18:28:00,1
2019-03-03 18:30:00,1
2019-03-03 18:31:00,1
2019-03-03 18:33:00,3
2019-03-03 18:34:00,7
2019-03-03 18:35:00,6
2019-03-03 18:36:00,7
2019-03-03 18:37:00,4
2019-03-03 18:38:00,2
2019-03-03 19:42:00,2
2019-03-03 19:43:00,1
2019-03-03 19:48:00,1
2019-03-03 19:50:00,2
2019-03-03 19:52:00,1
2019-03-03 19:53:00,1
2019-03-03 19:55:00,3
2019-03-03 19:59:00,3
2019-03-03 20:05:00,8
2019-03-03 20:06:00,5
2019-03-03 20:07:00,4
2019-03-03 20:08:00,4
2019-03-03 20:09:00,4
2019-03-03 20:10:00,6
2019-03-03 20:11:00,1
2019-03-03 21:01:00,3
2019-03-03 21:02:00,7
2019-03-03 21:03:00,2
2019-03-03 21:04:00,4
2019-03-03 21:05:00,2
2019-03-03 21:06:00,8
2019-03-03 21:07:00,4
2019-03-03 21:08:00,7
2019-03-03 21:09:00,6
2019-03-03 21:10:00,5
2019-03-03 21:11:00,6
2019-03-03 21:12:00,5
2019-03-03 21:38:00,1
2019-03-03 21:56:00,1
2019-03-07 11:06:00,7
2019-03-07 11:07:00,39
2019-03-07 11:08:00,1
2019-03-07 11:09:00,2
2019-03-07 11:11:00,41
2019-03-07 11:12:00,1
2019-03-07 11:13:00,1
2019-03-07 11:15:00,78
2019-03-07 11:16:00,110
2019-03-07 11:17:00,40
2019-03-07 11:18:00,33
2019-03-07 11:19:00,7
2019-03-07 11:20:00,5
2019-03-07 11:21:00,5
2019-03-07 11:22:00,12
2019-03-07 11:24:00,3
2019-03-07 11:25:00,3
2019-03-07 11:26:00,3
2019-03-07 11:27:00,7
2019-03-07 11:28:00,2
2019-03-07 11:29:00,1
2019-03-07 11:30:00,2
2019-03-07 11:31:00,1
2019-03-07 11:32:00,2
2019-03-07 11:33:00,2
2019-03-07 11:34:00,1
2019-03-07 11:35:00,2
2019-03-07 11:37:00,1
2019-03-07 11:39:00,6
2019-03-07 11:41:00,3
2019-03-07 11:43:00,4
2019-03-07 11:45:00,2
2019-03-07 11:46:00,1
2019-03-07 11:47:00,2
2019-03-07 11:48:00,1
2019-03-07 11:49:00,1
2019-03-07 11:50:00,2
2019-03-07 11:52:00,1
2019-03-07 11:53:00,2
2019-03-07 11:54:00,2
2019-03-07 11:56:00,1
2019-03-07 11:57:00,1
2019-03-07 11:58:00,2
2019-03-07 12:00:00,2
2019-03-07 12:01:00,1
2019-03-07 12:02:00,1
2019-03-07 12:03:00,2
2019-03-07 12:04:00,2
2019-03-07 12:05:00,1
2019-03-07 12:06:00,1
2019-03-07 12:07:00,1
2019-03-07 12:09:00,4
2019-03-07 12:11:00,3
2019-03-07 12:12:00,1
2019-03-07 12:13:00,1
2019-03-07 12:14:00,3
2019-03-07 12:15:00,1
2019-03-07 12:16:00,2
2019-03-07 12:17:00,1
2019-03-07 12:18:00,1
2019-03-07 12:19:00,2
2019-03-07 12:20:00,1
2019-03-07 12:22:00,3
2019-03-07 12:24:00,3
2019-03-07 12:25:00,1
2019-03-07 12:27:00,1
2019-03-07 12:28:00,1
2019-03-07 12:29:00,2
2019-03-07 12:30:00,1
2019-03-07 12:31:00,1
2019-03-07 12:32:00,3
2019-03-07 12:33:00,1
2019-03-07 12:34:00,1
2019-03-07 12:35:00,2
2019-03-07 12:36:00,3
2019-03-07 12:38:00,1
2019-03-07 12:39:00,2
2019-03-07 14:27:00,12
2019-03-07 14:30:00,4
2019-03-07 14:33:00,1
2019-03-07 14:34:00,1
2019-03-07 14:35:00,2
