477,"SELECT DISTINCT p.ra, p.dec, p.type, p.mode, p.modelMag_z, p.modelMag_i, p.modelMag_r, p.modelMag_g, p.psfMag_z, p.psfMag_i, p.psfMag_r, p.psfMag_g FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-06-22 16:39:00,1
2019-06-22 16:45:00,31
2019-06-22 16:46:00,12
2019-06-22 16:49:00,1
2019-06-22 16:59:00,23
2019-06-22 19:32:00,1
2019-06-22 19:37:00,2
2019-06-22 19:38:00,1
2019-06-22 19:43:00,1
2019-06-22 20:10:00,1
2019-06-22 20:11:00,1
2019-06-22 21:00:00,2
2019-06-22 21:01:00,6
2019-06-22 21:02:00,7
2019-06-22 21:03:00,5
2019-06-22 21:04:00,5
2019-06-22 21:05:00,6
2019-06-22 21:06:00,7
2019-06-22 21:07:00,6
2019-06-23 00:56:00,6
2019-06-23 00:57:00,8
2019-06-23 00:58:00,7
2019-06-23 00:59:00,9
2019-06-23 01:00:00,8
2019-06-23 01:01:00,9
2019-06-23 01:02:00,9
2019-06-23 01:03:00,7
2019-06-23 01:04:00,9
2019-06-23 01:05:00,8
2019-06-23 01:06:00,10
2019-06-23 01:07:00,7
2019-06-23 01:08:00,8
2019-06-23 01:09:00,9
2019-06-23 01:10:00,8
2019-06-23 01:11:00,8
2019-06-23 01:12:00,9
2019-06-23 01:13:00,8
2019-06-23 01:14:00,8
2019-06-23 01:15:00,9
2019-06-23 01:16:00,8
2019-06-23 01:17:00,9
2019-06-23 01:18:00,10
2019-06-23 01:19:00,10
2019-06-23 01:20:00,9
2019-06-23 01:21:00,9
2019-06-23 01:22:00,9
2019-06-23 01:23:00,10
2019-06-23 01:24:00,7
2019-06-23 01:25:00,3
2019-06-23 02:02:00,1
2019-06-23 02:03:00,10
2019-06-23 02:04:00,7
2019-06-23 02:05:00,10
2019-06-23 02:06:00,9
2019-06-23 02:07:00,10
2019-06-23 02:08:00,9
2019-06-23 02:09:00,7
2019-06-23 02:10:00,8
2019-06-23 02:11:00,8
2019-06-23 02:12:00,9
2019-06-23 02:13:00,8
2019-06-23 02:14:00,7
2019-06-23 02:15:00,7
