4478,"SELECT p.objid, p.psfMag_u AS u, p.psfMagErr_u as u_err, p.psfMag_g AS g, p.psfMagErr_g as g_err, s.elodieTEff, s.elodieLogG, p.dered_r AS r, p.psfMagErr_r as r_err, p.dered_i AS i, p.psfMagErr_i as i_err, p.dered_z AS z, p.psfMagErr_z as z_err, p.b AS b, p.l as l FROM photoObj p JOIN segue1SpecObjAll s ON s.bestObjID = p.objid WHERE p.type = # AND p.psfMag_g BETWEEN # AND # AND p.psfMag_u/p.psfMagerr_u > # AND p.psfMag_g/p.psfMagerr_g > # AND p.psfMag_r/p.psfMagerr_r > # AND p.psfMag_i/p.psfMagerr_i > # AND p.psfMag_z/p.psfMagerr_z > # AND p.b BETWEEN # AND #"
2019-11-05 19:00:00,29
2019-11-05 19:01:00,40
2019-11-05 19:02:00,39
2019-11-05 19:03:00,39
2019-11-05 19:04:00,37
2019-11-05 19:05:00,39
2019-11-05 19:06:00,38
2019-11-05 19:07:00,17
2019-11-06 14:54:00,8
2019-11-06 14:55:00,33
2019-11-06 14:56:00,38
2019-11-06 14:57:00,38
2019-11-06 14:58:00,39
2019-11-06 14:59:00,38
2019-11-06 15:00:00,35
2019-11-06 15:01:00,38
2019-11-06 15:02:00,39
2019-11-06 15:03:00,38
2019-11-06 15:04:00,39
2019-11-06 15:05:00,39
2019-11-06 15:06:00,39
2019-11-06 15:07:00,38
2019-11-06 15:08:00,40
2019-11-06 15:09:00,39
2019-11-06 15:10:00,39
2019-11-06 15:11:00,39
2019-11-06 15:12:00,38
2019-11-06 15:13:00,39
2019-11-06 15:14:00,39
2019-11-06 15:15:00,39
2019-11-06 15:16:00,38
2019-11-06 15:17:00,30
2019-11-14 13:16:00,1
2019-11-14 13:17:00,1
2019-11-14 13:18:00,1
2019-11-14 13:19:00,15
2019-11-14 13:20:00,34
2019-11-14 13:21:00,37
2019-11-14 13:22:00,36
2019-11-14 13:23:00,37
2019-11-14 13:24:00,37
2019-11-14 13:25:00,21
2019-11-14 13:28:00,12
2019-11-14 13:29:00,8
2019-11-21 13:17:00,1
2019-11-23 15:45:00,1
2019-11-23 17:29:00,1
2019-11-27 15:41:00,1
2019-12-01 18:03:00,1
2019-12-02 10:05:00,2
